cavia_porcellus ENSCPOG00000038251
cavia_aperea ENSCAPG00000016947
octodon_degus ENSODEG00000007128
chinchilla_lanigera ENSCLAG00000006720
spermophilus_dauricus ENSSDAG00000000739
urocitellus_parryii ENSUPAG00010011468
marmota_marmota_marmota ENSMMMG00000021515
cricetulus_griseus_crigri-picr ENSCGRG00015007073
cricetulus_griseus_crigri_1.0 ENSCGRG00000001059
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017352
mesocricetus_auratus ENSMAUG00000021696
peromyscus_maniculatus_bairdii ENSPEMG00000023644
microtus_ochrogaster ENSMOCG00000019843
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070532
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015639
mus_spicilegus ENSMSIG00000012470
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014833
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028070
rattus_norvegicus ENSRNOG00000025005
meriones_unguiculatus ENSMUGG00000009893
nannospalax_galili ENSNGAG00000000184
jaculus_jaculus ENSJJAG00000013635
dipodomys_ordii ENSDORG00000004973
oryctolagus_cuniculus ENSOCUG00000009524
ochotona_princeps ENSOPRG00000002585
pan_paniscus ENSPPAG00000041751
pan_troglodytes ENSPTRG00000047448
gorilla_gorilla ENSGGOG00000001952
homo_sapiens ENSG00000185860
pongo_abelii ENSPPYG00000000577
nomascus_leucogenys ENSNLEG00000014616
mandrillus_leucophaeus ENSMLEG00000037508
cercocebus_atys ENSCATG00000025970
macaca_fascicularis ENSMFAG00000002602
macaca_mulatta ENSMMUG00000002585
macaca_nemestrina ENSMNEG00000036972
papio_anubis ENSPANG00000005960
theropithecus_gelada ENSTGEG00000009990
chlorocebus_sabaeus ENSCSAG00000010652
piliocolobus_tephrosceles ENSPTEG00000023189
colobus_angolensis_palliatus ENSCANG00000035298
rhinopithecus_roxellana ENSRROG00000041631
rhinopithecus_bieti ENSRBIG00000040561
callithrix_jacchus ENSCJAG00000004163
saimiri_boliviensis_boliviensis ENSSBOG00000003369
cebus_capucinus_imitator ENSCCAG00000037082
aotus_nancymaae ENSANAG00000023182
carlito_syrichta ENSTSYG00000009470
propithecus_coquereli ENSPCOG00000014443
microcebus_murinus ENSMICG00000041856
prolemur_simus ENSPSMG00000005002
otolemur_garnettii ENSOGAG00000010997
loxodonta_africana ENSLAFG00000012498
procavia_capensis ENSPCAG00000009830
echinops_telfairi ENSETEG00000014727
choloepus_hoffmanni ENSCHOG00000012318
dasypus_novemcinctus ENSDNOG00000032133
ovis_aries ENSOARG00000010949
capra_hircus ENSCHIG00000016871
bos_taurus ENSBTAG00000027425
bos_mutus ENSBMUG00000012459
bison_bison_bison ENSBBBG00000023000
tursiops_truncatus ENSTTRG00000008611
sus_scrofa ENSSSCG00000006336
equus_asinus_asinus ENSEASG00005010387
equus_caballus ENSECAG00000024873
ursus_maritimus ENSUMAG00000022761
ursus_americanus ENSUAMG00000006149
ailuropoda_melanoleuca ENSAMEG00000001441
neovison_vison ENSNVIG00000016807
mustela_putorius_furo ENSMPUG00000003748
canis_lupus_familiaris ENSCAFG00000013223
canis_lupus_dingo ENSCAFG00020001732
vulpes_vulpes ENSVVUG00000010024
panthera_tigris_altaica ENSPTIG00000015375
panthera_pardus ENSPPRG00000005591
felis_catus ENSFCAG00000009378
myotis_lucifugus ENSMLUG00000024294
phascolarctos_cinereus ENSPCIG00000031246
monodelphis_domestica ENSMODG00000001176
sarcophilus_harrisii ENSSHAG00000014153
notamacropus_eugenii ENSMEUG00000004986
gopherus_agassizii ENSGAGG00000014516
