gambusia_affinis ENSGAFG00000019556
xiphophorus_maculatus ENSXMAG00000012406
poecilia_formosa ENSPFOG00000011928
poecilia_mexicana ENSPMEG00000020627
poecilia_latipinna ENSPLAG00000014090
poecilia_reticulata ENSPREG00000015292
fundulus_heteroclitus ENSFHEG00000006609
cyprinodon_variegatus ENSCVAG00000014248
astatotilapia_calliptera ENSACLG00000014635
maylandia_zebra ENSMZEG00005011914
pundamilia_nyererei ENSPNYG00000014818
haplochromis_burtoni ENSHBUG00000008447
neolamprologus_brichardi ENSNBRG00000006560
oreochromis_niloticus ENSONIG00000000254
amphilophus_citrinellus ENSACIG00000014526
kryptolebias_marmoratus ENSKMAG00000014520
amphiprion_ocellaris ENSAOCG00000002648
amphiprion_percula ENSAPEG00000021682
oryzias_latipes_asm223471v1 ENSORLG00020007602
oryzias_latipes_asm223467v1 ENSORLG00000009330
oryzias_latipes_asm223469v1 ENSORLG00015003437
oryzias_melastigma ENSOMEG00000002088
tetraodon_nigroviridis ENSTNIG00000002993
cynoglossus_semilaevis ENSCSEG00000020347
periophthalmus_magnuspinnatus ENSPMGG00000016337
stegastes_partitus ENSSPAG00000021961
acanthochromis_polyacanthus ENSAPOG00000019574
anabas_testudineus ENSATEG00000009751
mastacembelus_armatus ENSMAMG00000009347
mola_mola ENSMMOG00000013231
seriola_lalandi_dorsalis ENSSLDG00000022361
seriola_dumerili ENSSDUG00000018505
scophthalmus_maximus ENSSMAG00000006707
monopterus_albus ENSMALG00000020772
labrus_bergylta ENSLBEG00000005805
gasterosteus_aculeatus ENSGACG00000003290
hippocampus_comes ENSHCOG00000014848
gadus_morhua ENSGMOG00000018194
gadus_morhua ENSGMOG00000008029
pygocentrus_nattereri ENSPNAG00000026514
astyanax_mexicanus ENSAMXG00000029052
ictalurus_punctatus ENSIPUG00000024760
danio_rerio ENSDARG00000114670
esox_lucius ENSELUG00000014737
paramormyrops_kingsleyae ENSPKIG00000002925
scleropages_formosus ENSSFOG00015002673
lepisosteus_oculatus ENSLOCG00000006709
seriola_lalandi_dorsalis ENSSLDG00000008007
notechis_scutatus ENSNSUG00000000819
salvator_merianae ENSSMRG00000002053
dromaius_novaehollandiae ENSDNVG00000006296
crocodylus_porosus ENSCPRG00005008259
notechis_scutatus ENSNSUG00000019694
prolemur_simus ENSPSMG00000001584
anser_brachyrhynchus ENSABRG00000009149
anas_platyrhynchos_platyrhynchos ENSAPLG00000021006
manacus_vitellinus ENSMVIG00005006125
cyanistes_caeruleus ENSCCEG00000005334
pogona_vitticeps ENSPVIG00000017409
ornithorhynchus_anatinus ENSOANG00000031758
parus_major ENSPMJG00000005897
lepidothrix_coronata ENSLCOG00000009925
serinus_canaria ENSSCAG00000013926
junco_hyemalis ENSJHYG00000000228
calidris_pygmaea ENSCPGG00000002790
melopsittacus_undulatus ENSMUNG00000007314
gallus_gallus ENSGALG00000026380
coturnix_japonica ENSCJPG00005006373
numida_meleagris ENSNMEG00000016447
apteryx_haastii ENSAHAG00000000843
ficedula_albicollis ENSFALG00000004562
zonotrichia_albicollis ENSZALG00000004491
lonchura_striata_domestica ENSLSDG00000010157
meleagris_gallopavo ENSMGAG00000008070
calidris_pugnax ENSCPUG00000005815
apteryx_rowi ENSARWG00000011426
gopherus_agassizii ENSGAGG00000020454
chelonoidis_abingdonii ENSCABG00000020902
chrysemys_picta_bellii ENSCPBG00000027262
pelodiscus_sinensis ENSPSIG00000015428
pelodiscus_sinensis ENSPSIG00000011172
meriones_unguiculatus ENSMUGG00000017460
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026107
castor_canadensis ENSCCNG00000016679
piliocolobus_tephrosceles ENSPTEG00000034910
colobus_angolensis_palliatus ENSCANG00000032592
pan_troglodytes ENSPTRG00000013564
prolemur_simus ENSPSMG00000017589
pan_troglodytes ENSPTRG00000048834
peromyscus_maniculatus_bairdii ENSPEMG00000014414
mesocricetus_auratus ENSMAUG00000005354
bos_taurus ENSBTAG00000016746
choloepus_hoffmanni ENSCHOG00000005054
phascolarctos_cinereus ENSPCIG00000027329
aotus_nancymaae ENSANAG00000028578
cebus_capucinus_imitator ENSCCAG00000024616
piliocolobus_tephrosceles ENSPTEG00000034168
microcebus_murinus ENSMICG00000046767
jaculus_jaculus ENSJJAG00000018968
jaculus_jaculus ENSJJAG00000006838
jaculus_jaculus ENSJJAG00000000175
cavia_aperea ENSCAPG00000010230
oryctolagus_cuniculus ENSOCUG00000012176
dipodomys_ordii ENSDORG00000029597
urocitellus_parryii ENSUPAG00010002649
panthera_tigris_altaica ENSPTIG00000013836
phascolarctos_cinereus ENSPCIG00000005129
sarcophilus_harrisii ENSSHAG00000002117
callithrix_jacchus ENSCJAG00000040516
cercocebus_atys ENSCATG00000043967
propithecus_coquereli ENSPCOG00000012505
dipodomys_ordii ENSDORG00000011774
bison_bison_bison ENSBBBG00000012553
phascolarctos_cinereus ENSPCIG00000020528
phascolarctos_cinereus ENSPCIG00000030430
phascolarctos_cinereus ENSPCIG00000014411
carlito_syrichta ENSTSYG00000026322
carlito_syrichta ENSTSYG00000035497
propithecus_coquereli ENSPCOG00000027609
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004811
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006013
marmota_marmota_marmota ENSMMMG00000005371
ictidomys_tridecemlineatus ENSSTOG00000006502
spermophilus_dauricus ENSSDAG00000005064
spermophilus_dauricus ENSSDAG00000008996
equus_asinus_asinus ENSEASG00005023377
prolemur_simus ENSPSMG00000007055
microcebus_murinus ENSMICG00000011218
castor_canadensis ENSCCNG00000022990
castor_canadensis ENSCCNG00000011808
panthera_pardus ENSPPRG00000001395
felis_catus ENSFCAG00000001885
otolemur_garnettii ENSOGAG00000032426
carlito_syrichta ENSTSYG00000036734
myotis_lucifugus ENSMLUG00000006715
vulpes_vulpes ENSVVUG00000016205
canis_lupus_dingo ENSCAFG00020014117
ursus_americanus ENSUAMG00000010284
ursus_maritimus ENSUMAG00000025162
equus_caballus ENSECAG00000014619
erinaceus_europaeus ENSEEUG00000010643
tursiops_truncatus ENSTTRG00000015987
peromyscus_maniculatus_bairdii ENSPEMG00000020525
macaca_mulatta ENSMMUG00000021023
cercocebus_atys ENSCATG00000030842
dipodomys_ordii ENSDORG00000027505
dipodomys_ordii ENSDORG00000028626
dipodomys_ordii ENSDORG00000026512
cavia_porcellus ENSCPOG00000014102
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025585
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000001403
mus_spicilegus ENSMSIG00000022382
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024665
rattus_norvegicus ENSRNOG00000015131
nannospalax_galili ENSNGAG00000010401
cricetulus_griseus_crigri-picr ENSCGRG00015021714
cricetulus_griseus_crigri_1.0 ENSCGRG00000012003
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012976
meriones_unguiculatus ENSMUGG00000007058
microtus_ochrogaster ENSMOCG00000013468
peromyscus_maniculatus_bairdii ENSPEMG00000007155
ochotona_princeps ENSOPRG00000014284
otolemur_garnettii ENSOGAG00000004989
microcebus_murinus ENSMICG00000035780
mustela_putorius_furo ENSMPUG00000017619
