cyanistes_caeruleus ENSCCEG00000007510
parus_major ENSPMJG00000008797
zonotrichia_albicollis ENSZALG00000005543
junco_hyemalis ENSJHYG00000013751
taeniopygia_guttata ENSTGUG00000000757
ficedula_albicollis ENSFALG00000005302
calidris_pugnax ENSCPUG00000015991
anser_brachyrhynchus ENSABRG00000018903
anas_platyrhynchos_platyrhynchos ENSAPLG00000012529
numida_meleagris ENSNMEG00000012054
coturnix_japonica ENSCJPG00005005447
gallus_gallus ENSGALG00000043088
meleagris_gallopavo ENSMGAG00000000786
coturnix_japonica ENSCJPG00005005446
apteryx_haastii ENSAHAG00000016462
