sorex_araneus ENSSARG00000011602
erinaceus_europaeus ENSEEUG00000002051
bos_taurus ENSBTAG00000000442
bos_mutus ENSBMUG00000023810
bison_bison_bison ENSBBBG00000017047
ovis_aries ENSOARG00000003236
capra_hircus ENSCHIG00000023599
tursiops_truncatus ENSTTRG00000008358
sus_scrofa ENSSSCG00000010479
vicugna_pacos ENSVPAG00000010107
equus_caballus ENSECAG00000034419
equus_caballus ENSECAG00000016270
equus_asinus_asinus ENSEASG00005011476
ursus_americanus ENSUAMG00000001116
ursus_maritimus ENSUMAG00000003910
ailuropoda_melanoleuca ENSAMEG00000013822
mustela_putorius_furo ENSMPUG00000017192
neovison_vison ENSNVIG00000002711
canis_lupus_dingo ENSCAFG00020004397
canis_lupus_familiaris ENSCAFG00000007893
panthera_tigris_altaica ENSPTIG00000020520
panthera_pardus ENSPPRG00000009153
felis_catus ENSFCAG00000045563
myotis_lucifugus ENSMLUG00000025373
pteropus_vampyrus ENSPVAG00000011196
cebus_capucinus_imitator ENSCCAG00000024080
callithrix_jacchus ENSCJAG00000009170
saimiri_boliviensis_boliviensis ENSSBOG00000023869
aotus_nancymaae ENSANAG00000033539
macaca_nemestrina ENSMNEG00000031052
macaca_fascicularis ENSMFAG00000042546
macaca_mulatta ENSMMUG00000014711
theropithecus_gelada ENSTGEG00000009779
papio_anubis ENSPANG00000021538
cercocebus_atys ENSCATG00000036680
mandrillus_leucophaeus ENSMLEG00000031668
chlorocebus_sabaeus ENSCSAG00000006283
rhinopithecus_bieti ENSRBIG00000032922
rhinopithecus_roxellana ENSRROG00000032971
colobus_angolensis_palliatus ENSCANG00000037673
piliocolobus_tephrosceles ENSPTEG00000035270
pan_troglodytes ENSPTRG00000002768
pan_paniscus ENSPPAG00000041588
homo_sapiens ENSG00000138207
gorilla_gorilla ENSGGOG00000008167
pongo_abelii ENSPPYG00000002493
nomascus_leucogenys ENSNLEG00000012849
carlito_syrichta ENSTSYG00000034086
propithecus_coquereli ENSPCOG00000027515
microcebus_murinus ENSMICG00000005500
prolemur_simus ENSPSMG00000012152
otolemur_garnettii ENSOGAG00000013351
oryctolagus_cuniculus ENSOCUG00000010524
ochotona_princeps ENSOPRG00000004332
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024990
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022922
mus_spicilegus ENSMSIG00000001369
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023840
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014415
rattus_norvegicus ENSRNOG00000015518
meriones_unguiculatus ENSMUGG00000016044
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020916
cricetulus_griseus_crigri-picr ENSCGRG00015002537
cricetulus_griseus_crigri_1.0 ENSCGRG00000005802
mesocricetus_auratus ENSMAUG00000020714
microtus_ochrogaster ENSMOCG00000014912
peromyscus_maniculatus_bairdii ENSPEMG00000013876
nannospalax_galili ENSNGAG00000009810
jaculus_jaculus ENSJJAG00000019150
ictidomys_tridecemlineatus ENSSTOG00000016094
urocitellus_parryii ENSUPAG00010015686
spermophilus_dauricus ENSSDAG00000011599
marmota_marmota_marmota ENSMMMG00000016408
chinchilla_lanigera ENSCLAG00000003692
octodon_degus ENSODEG00000015640
cavia_aperea ENSCAPG00000012274
cavia_porcellus ENSCPOG00000002134
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008358
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010654
fukomys_damarensis ENSFDAG00000015661
castor_canadensis ENSCCNG00000003562
dipodomys_ordii ENSDORG00000004057
tupaia_belangeri ENSTBEG00000006747
procavia_capensis ENSPCAG00000007939
loxodonta_africana ENSLAFG00000015168
echinops_telfairi ENSETEG00000001759
choloepus_hoffmanni ENSCHOG00000006919
dasypus_novemcinctus ENSDNOG00000008437
phascolarctos_cinereus ENSPCIG00000012666
notamacropus_eugenii ENSMEUG00000008619
sarcophilus_harrisii ENSSHAG00000016992
monodelphis_domestica ENSMODG00000028966
ornithorhynchus_anatinus ENSOANG00000008964
chelonoidis_abingdonii ENSCABG00000012052
gopherus_agassizii ENSGAGG00000021741
chrysemys_picta_bellii ENSCPBG00000015566
pelodiscus_sinensis ENSPSIG00000009948
pelodiscus_sinensis ENSPSIG00000004572
cyanistes_caeruleus ENSCCEG00000018088
parus_major ENSPMJG00000002895
ficedula_albicollis ENSFALG00000007863
taeniopygia_guttata ENSTGUG00000008768
lonchura_striata_domestica ENSLSDG00000016937
serinus_canaria ENSSCAG00000016859
junco_hyemalis ENSJHYG00000018212
zonotrichia_albicollis ENSZALG00000012815
manacus_vitellinus ENSMVIG00005000608
manacus_vitellinus ENSMVIG00005000614
manacus_vitellinus ENSMVIG00005017471
lepidothrix_coronata ENSLCOG00000005798
gallus_gallus ENSGALG00000006629
coturnix_japonica ENSCJPG00005019183
meleagris_gallopavo ENSMGAG00000008841
numida_meleagris ENSNMEG00000014641
anser_brachyrhynchus ENSABRG00000011570
anas_platyrhynchos_platyrhynchos ENSAPLG00000015498
melopsittacus_undulatus ENSMUNG00000006715
calidris_pygmaea ENSCPGG00000017214
calidris_pugnax ENSCPUG00000013574
apteryx_rowi ENSARWG00000015878
apteryx_owenii ENSAOWG00000004362
apteryx_haastii ENSAHAG00000011830
nothoprocta_perdicaria ENSNPEG00000013840
dromaius_novaehollandiae ENSDNVG00000004244
sphenodon_punctatus ENSSPUG00000002473
sphenodon_punctatus ENSSPUG00000016557
pogona_vitticeps ENSPVIG00000013314
anolis_carolinensis ENSACAG00000007043
notechis_scutatus ENSNSUG00000013003
salvator_merianae ENSSMRG00000013443
crocodylus_porosus ENSCPRG00005017094
xenopus_tropicalis ENSXETG00000003731
latimeria_chalumnae ENSLACG00000016645
periophthalmus_magnuspinnatus ENSPMGG00000016774
hippocampus_comes ENSHCOG00000002918
scophthalmus_maximus ENSSMAG00000019074
cynoglossus_semilaevis ENSCSEG00000006560
oryzias_latipes_asm223471v1 ENSORLG00020018632
oryzias_latipes_asm223469v1 ENSORLG00015016606
oryzias_latipes_asm223467v1 ENSORLG00000005072
oryzias_melastigma ENSOMEG00000023412
tetraodon_nigroviridis ENSTNIG00000018906
takifugu_rubripes ENSTRUG00000010764
mola_mola ENSMMOG00000014125
gasterosteus_aculeatus ENSGACG00000006673
monopterus_albus ENSMALG00000021905
mastacembelus_armatus ENSMAMG00000015008
anabas_testudineus ENSATEG00000021293
seriola_dumerili ENSSDUG00000022195
seriola_lalandi_dorsalis ENSSLDG00000006828
amphiprion_percula ENSAPEG00000017510
amphiprion_ocellaris ENSAOCG00000000311
acanthochromis_polyacanthus ENSAPOG00000016926
stegastes_partitus ENSSPAG00000019067
astatotilapia_calliptera ENSACLG00000012932
maylandia_zebra ENSMZEG00005015171
pundamilia_nyererei ENSPNYG00000001097
haplochromis_burtoni ENSHBUG00000005567
neolamprologus_brichardi ENSNBRG00000018579
oreochromis_niloticus ENSONIG00000016418
amphilophus_citrinellus ENSACIG00000011393
cyprinodon_variegatus ENSCVAG00000022636
fundulus_heteroclitus ENSFHEG00000005741
xiphophorus_maculatus ENSXMAG00000021003
xiphophorus_couchianus ENSXCOG00000006521
gambusia_affinis ENSGAFG00000002124
poecilia_formosa ENSPFOG00000012481
poecilia_mexicana ENSPMEG00000020447
poecilia_latipinna ENSPLAG00000022590
poecilia_reticulata ENSPREG00000022724
kryptolebias_marmoratus ENSKMAG00000018276
labrus_bergylta ENSLBEG00000006342
gadus_morhua ENSGMOG00000014866
esox_lucius ENSELUG00000004445
pygocentrus_nattereri ENSPNAG00000002608
astyanax_mexicanus ENSAMXG00000032567
ictalurus_punctatus ENSIPUG00000011463
danio_rerio ENSDARG00000101199
paramormyrops_kingsleyae ENSPKIG00000005298
lepisosteus_oculatus ENSLOCG00000005811
scleropages_formosus ENSSFOG00015013280
eptatretus_burgeri ENSEBUG00000005411
pygocentrus_nattereri ENSPNAG00000010156
astyanax_mexicanus ENSAMXG00000000279
ictalurus_punctatus ENSIPUG00000004609
danio_rerio ENSDARG00000044684
esox_lucius ENSELUG00000002138
maylandia_zebra ENSMZEG00005018812
astatotilapia_calliptera ENSACLG00000020853
pundamilia_nyererei ENSPNYG00000002963
haplochromis_burtoni ENSHBUG00000011530
neolamprologus_brichardi ENSNBRG00000001260
oreochromis_niloticus ENSONIG00000011148
amphilophus_citrinellus ENSACIG00000018696
scophthalmus_maximus ENSSMAG00000019120
amphiprion_ocellaris ENSAOCG00000010170
amphiprion_percula ENSAPEG00000006525
acanthochromis_polyacanthus ENSAPOG00000020000
stegastes_partitus ENSSPAG00000015014
poecilia_formosa ENSPFOG00000012603
poecilia_latipinna ENSPLAG00000014357
poecilia_mexicana ENSPMEG00000018628
poecilia_reticulata ENSPREG00000019933
xiphophorus_couchianus ENSXCOG00000015198
xiphophorus_maculatus ENSXMAG00000015428
gambusia_affinis ENSGAFG00000006147
fundulus_heteroclitus ENSFHEG00000022079
cyprinodon_variegatus ENSCVAG00000017650
seriola_lalandi_dorsalis ENSSLDG00000017342
seriola_dumerili ENSSDUG00000001514
mastacembelus_armatus ENSMAMG00000001820
anabas_testudineus ENSATEG00000016316
periophthalmus_magnuspinnatus ENSPMGG00000001193
labrus_bergylta ENSLBEG00000008293
mola_mola ENSMMOG00000010436
hippocampus_comes ENSHCOG00000011618
esox_lucius ENSELUG00000008179
scleropages_formosus ENSSFOG00015018987
scleropages_formosus ENSSFOG00015019366
paramormyrops_kingsleyae ENSPKIG00000015567
tetraodon_nigroviridis ENSTNIG00000009136
takifugu_rubripes ENSTRUG00000006802
mola_mola ENSMMOG00000021326
gasterosteus_aculeatus ENSGACG00000017329
