bison_bison_bison ENSBBBG00000009687
bos_taurus ENSBTAG00000052831
sus_scrofa ENSSSCG00000031465
mustela_putorius_furo ENSMPUG00000012584
neovison_vison ENSNVIG00000018309
canis_lupus_dingo ENSCAFG00020024468
ailuropoda_melanoleuca ENSAMEG00000016434
felis_catus ENSFCAG00000034542
panthera_pardus ENSPPRG00000005555
homo_sapiens ENSG00000283526
pan_troglodytes ENSPTRG00000051275
gorilla_gorilla ENSGGOG00000026372
nomascus_leucogenys ENSNLEG00000012825
rhinopithecus_roxellana ENSRROG00000028892
rhinopithecus_bieti ENSRBIG00000035844
piliocolobus_tephrosceles ENSPTEG00000039090
papio_anubis ENSPANG00000025986
theropithecus_gelada ENSTGEG00000014265
cercocebus_atys ENSCATG00000014149
macaca_nemestrina ENSMNEG00000042784
macaca_fascicularis ENSMFAG00000031676
callithrix_jacchus ENSCJAG00000042543
saimiri_boliviensis_boliviensis ENSSBOG00000026276
cebus_capucinus_imitator ENSCCAG00000030500
aotus_nancymaae ENSANAG00000033367
microcebus_murinus ENSMICG00000044047
propithecus_coquereli ENSPCOG00000020619
mus_spicilegus ENSMSIG00000009424
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079497
meriones_unguiculatus ENSMUGG00000006540
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019828
cricetulus_griseus_crigri_1.0 ENSCGRG00000007928
cricetulus_griseus_crigri-picr ENSCGRG00015013991
mesocricetus_auratus ENSMAUG00000020023
microtus_ochrogaster ENSMOCG00000016999
peromyscus_maniculatus_bairdii ENSPEMG00000011970
nannospalax_galili ENSNGAG00000012226
jaculus_jaculus ENSJJAG00000019008
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012902
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014409
fukomys_damarensis ENSFDAG00000009865
octodon_degus ENSODEG00000016405
cavia_porcellus ENSCPOG00000022704
loxodonta_africana ENSLAFG00000027336
dasypus_novemcinctus ENSDNOG00000046344
pan_paniscus ENSPPAG00000033521
phascolarctos_cinereus ENSPCIG00000019754
notechis_scutatus ENSNSUG00000012908
pogona_vitticeps ENSPVIG00000014320
salvator_merianae ENSSMRG00000007570
sphenodon_punctatus ENSSPUG00000017149
gopherus_agassizii ENSGAGG00000012385
ornithorhynchus_anatinus ENSOANG00000031008
anas_platyrhynchos_platyrhynchos ENSAPLG00000029937
calidris_pygmaea ENSCPGG00000012228
parus_major ENSPMJG00000006804
cyanistes_caeruleus ENSCCEG00000002865
latimeria_chalumnae ENSLACG00000017529
astyanax_mexicanus ENSAMXG00000036574
pygocentrus_nattereri ENSPNAG00000000342
esox_lucius ENSELUG00000001955
paramormyrops_kingsleyae ENSPKIG00000023889
