colobus_angolensis_palliatus ENSCANG00000038890
rhinopithecus_roxellana ENSRROG00000042624
piliocolobus_tephrosceles ENSPTEG00000016632
piliocolobus_tephrosceles ENSPTEG00000012737
piliocolobus_tephrosceles ENSPTEG00000012788
piliocolobus_tephrosceles ENSPTEG00000016594
mandrillus_leucophaeus ENSMLEG00000034451
cercocebus_atys ENSCATG00000042378
macaca_mulatta ENSMMUG00000041279
papio_anubis ENSPANG00000012361
homo_sapiens ENSG00000204677
gorilla_gorilla ENSGGOG00000024689
pongo_abelii ENSPPYG00000016102
