vicugna_pacos ENSVPAG00000000841
sus_scrofa ENSSSCG00000003652
capra_hircus ENSCHIG00000016168
bos_taurus ENSBTAG00000004715
tursiops_truncatus ENSTTRG00000002293
mustela_putorius_furo ENSMPUG00000014440
neovison_vison ENSNVIG00000013340
ursus_americanus ENSUAMG00000018191
canis_lupus_familiaris ENSCAFG00000003186
canis_lupus_dingo ENSCAFG00020024541
canis_lupus_dingo ENSCAFG00020006133
vulpes_vulpes ENSVVUG00000004767
felis_catus ENSFCAG00000030569
panthera_pardus ENSPPRG00000019520
equus_caballus ENSECAG00000035155
equus_caballus ENSECAG00000012589
equus_asinus_asinus ENSEASG00005013289
erinaceus_europaeus ENSEEUG00000004136
pteropus_vampyrus ENSPVAG00000001991
myotis_lucifugus ENSMLUG00000013427
dipodomys_ordii ENSDORG00000025387
castor_canadensis ENSCCNG00000031125
ictidomys_tridecemlineatus ENSSTOG00000023219
urocitellus_parryii ENSUPAG00010016799
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010032
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010758
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016946
fukomys_damarensis ENSFDAG00000017449
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012418
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010272
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009626
fukomys_damarensis ENSFDAG00000019582
chinchilla_lanigera ENSCLAG00000014736
octodon_degus ENSODEG00000006600
octodon_degus ENSODEG00000015444
cavia_porcellus ENSCPOG00000031693
mus_spicilegus ENSMSIG00000014798
mus_spicilegus ENSMSIG00000011045
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027419
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000023075
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026439
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028770
rattus_norvegicus ENSRNOG00000026610
meriones_unguiculatus ENSMUGG00000025151
meriones_unguiculatus ENSMUGG00000025162
peromyscus_maniculatus_bairdii ENSPEMG00000030900
microtus_ochrogaster ENSMOCG00000003567
cricetulus_griseus_crigri-picr ENSCGRG00015005899
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019740
mesocricetus_auratus ENSMAUG00000021503
nannospalax_galili ENSNGAG00000007993
jaculus_jaculus ENSJJAG00000008584
oryctolagus_cuniculus ENSOCUG00000005500
oryctolagus_cuniculus ENSOCUG00000023190
microcebus_murinus ENSMICG00000016510
prolemur_simus ENSPSMG00000013764
propithecus_coquereli ENSPCOG00000028364
otolemur_garnettii ENSOGAG00000007962
cercocebus_atys ENSCATG00000036878
theropithecus_gelada ENSTGEG00000021140
papio_anubis ENSPANG00000004583
chlorocebus_sabaeus ENSCSAG00000001126
macaca_fascicularis ENSMFAG00000038417
macaca_mulatta ENSMMUG00000009373
macaca_nemestrina ENSMNEG00000038763
