marmota_marmota_marmota ENSMMMG00000004799
spermophilus_dauricus ENSSDAG00000022524
urocitellus_parryii ENSUPAG00010021952
ictidomys_tridecemlineatus ENSSTOG00000014757
propithecus_coquereli ENSPCOG00000014547
prolemur_simus ENSPSMG00000003616
pan_troglodytes ENSPTRG00000015088
pan_paniscus ENSPPAG00000032744
gorilla_gorilla ENSGGOG00000011732
homo_sapiens ENSG00000183662
pongo_abelii ENSPPYG00000013733
mandrillus_leucophaeus ENSMLEG00000028061
theropithecus_gelada ENSTGEG00000025759
cercocebus_atys ENSCATG00000043084
macaca_mulatta ENSMMUG00000013847
macaca_nemestrina ENSMNEG00000037377
macaca_fascicularis ENSMFAG00000034201
papio_anubis ENSPANG00000021491
colobus_angolensis_palliatus ENSCANG00000039912
piliocolobus_tephrosceles ENSPTEG00000028035
rhinopithecus_bieti ENSRBIG00000033651
cebus_capucinus_imitator ENSCCAG00000026684
callithrix_jacchus ENSCJAG00000013607
aotus_nancymaae ENSANAG00000028819
tupaia_belangeri ENSTBEG00000012443
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028673
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000059187
mus_spicilegus ENSMSIG00000031602
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029700
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022423
nannospalax_galili ENSNGAG00000017655
peromyscus_maniculatus_bairdii ENSPEMG00000004313
microtus_ochrogaster ENSMOCG00000005890
cricetulus_griseus_crigri_1.0 ENSCGRG00000012975
cricetulus_griseus_crigri-picr ENSCGRG00015015407
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014933
mesocricetus_auratus ENSMAUG00000019067
jaculus_jaculus ENSJJAG00000023297
dipodomys_ordii ENSDORG00000008222
octodon_degus ENSODEG00000006092
chinchilla_lanigera ENSCLAG00000011025
cavia_porcellus ENSCPOG00000014183
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007920
fukomys_damarensis ENSFDAG00000017830
ursus_americanus ENSUAMG00000021107
bos_taurus ENSBTAG00000048492
bison_bison_bison ENSBBBG00000024819
bos_taurus ENSBTAG00000019041
tursiops_truncatus ENSTTRG00000007566
vicugna_pacos ENSVPAG00000005684
panthera_pardus ENSPPRG00000010607
panthera_tigris_altaica ENSPTIG00000021377
felis_catus ENSFCAG00000041196
erinaceus_europaeus ENSEEUG00000004344
ochotona_princeps ENSOPRG00000016239
choloepus_hoffmanni ENSCHOG00000002108
sorex_araneus ENSSARG00000007789
procavia_capensis ENSPCAG00000007093
echinops_telfairi ENSETEG00000014310
parus_major ENSPMJG00000005221
ficedula_albicollis ENSFALG00000013355
manacus_vitellinus ENSMVIG00005017469
lepidothrix_coronata ENSLCOG00000005578
serinus_canaria ENSSCAG00000007834
junco_hyemalis ENSJHYG00000013339
zonotrichia_albicollis ENSZALG00000013660
gallus_gallus ENSGALG00000049667
calidris_pygmaea ENSCPGG00000008369
cyanistes_caeruleus ENSCCEG00000021023
meleagris_gallopavo ENSMGAG00000009329
numida_meleagris ENSNMEG00000020820
taeniopygia_guttata ENSTGUG00000009669
calidris_pugnax ENSCPUG00000019589
melopsittacus_undulatus ENSMUNG00000015404
apteryx_rowi ENSARWG00000018806
apteryx_owenii ENSAOWG00000013131
nothoprocta_perdicaria ENSNPEG00000002964
dromaius_novaehollandiae ENSDNVG00000012160
xiphophorus_maculatus ENSXMAG00000010521
gambusia_affinis ENSGAFG00000020404
cyprinodon_variegatus ENSCVAG00000013600
fundulus_heteroclitus ENSFHEG00000004881
oryzias_latipes_asm223467v1 ENSORLG00000007990
