pongo_abelii ENSPPYG00000015003
pan_paniscus ENSPPAG00000040833
macaca_mulatta ENSMMUG00000011322
rhinopithecus_bieti ENSRBIG00000043361
otolemur_garnettii ENSOGAG00000029102
felis_catus ENSFCAG00000007195
panthera_tigris_altaica ENSPTIG00000014476
mustela_putorius_furo ENSMPUG00000008491
mus_spicilegus ENSMSIG00000006428
anolis_carolinensis ENSACAG00000010590
sphenodon_punctatus ENSSPUG00000017364
amphilophus_citrinellus ENSACIG00000002632
lepisosteus_oculatus ENSLOCG00000011731
fukomys_damarensis ENSFDAG00000011340
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005967
cavia_aperea ENSCAPG00000012375
choloepus_hoffmanni ENSCHOG00000011257
mesocricetus_auratus ENSMAUG00000000316
microtus_ochrogaster ENSMOCG00000000185
jaculus_jaculus ENSJJAG00000018533
castor_canadensis ENSCCNG00000004148
dipodomys_ordii ENSDORG00000002323
spermophilus_dauricus ENSSDAG00000014063
oryctolagus_cuniculus ENSOCUG00000012685
tupaia_belangeri ENSTBEG00000012057
cebus_capucinus_imitator ENSCCAG00000026914
callithrix_jacchus ENSCJAG00000003830
saimiri_boliviensis_boliviensis ENSSBOG00000026969
aotus_nancymaae ENSANAG00000034020
macaca_fascicularis ENSMFAG00000002699
macaca_nemestrina ENSMNEG00000037961
mandrillus_leucophaeus ENSMLEG00000029081
cercocebus_atys ENSCATG00000024726
papio_anubis ENSPANG00000025865
theropithecus_gelada ENSTGEG00000003400
chlorocebus_sabaeus ENSCSAG00000003844
piliocolobus_tephrosceles ENSPTEG00000032072
colobus_angolensis_palliatus ENSCANG00000031121
rhinopithecus_roxellana ENSRROG00000042320
pan_troglodytes ENSPTRG00000016371
homo_sapiens ENSG00000164093
gorilla_gorilla ENSGGOG00000008770
carlito_syrichta ENSTSYG00000002370
propithecus_coquereli ENSPCOG00000022739
microcebus_murinus ENSMICG00000002070
prolemur_simus ENSPSMG00000010083
ovis_aries ENSOARG00000003437
capra_hircus ENSCHIG00000010484
bos_mutus ENSBMUG00000017012
bos_taurus ENSBTAG00000009059
bison_bison_bison ENSBBBG00000006652
sus_scrofa ENSSSCG00000034708
tursiops_truncatus ENSTTRG00000015405
vicugna_pacos ENSVPAG00000003542
myotis_lucifugus ENSMLUG00000013956
pteropus_vampyrus ENSPVAG00000011068
equus_asinus_asinus ENSEASG00005005562
equus_caballus ENSECAG00000008407
ursus_americanus ENSUAMG00000007738
ursus_maritimus ENSUMAG00000002143
ailuropoda_melanoleuca ENSAMEG00000014836
vulpes_vulpes ENSVVUG00000001959
panthera_pardus ENSPPRG00000010348
dasypus_novemcinctus ENSDNOG00000045602
chinchilla_lanigera ENSCLAG00000006555
octodon_degus ENSODEG00000010082
anser_brachyrhynchus ENSABRG00000017989
calidris_pugnax ENSCPUG00000016413
zonotrichia_albicollis ENSZALG00000004680
cyanistes_caeruleus ENSCCEG00000011887
melopsittacus_undulatus ENSMUNG00000002032
manacus_vitellinus ENSMVIG00005015199
dromaius_novaehollandiae ENSDNVG00000008850
notamacropus_eugenii ENSMEUG00000002044
nomascus_leucogenys ENSNLEG00000016466
amphilophus_citrinellus ENSACIG00000020749
