amphiprion_ocellaris ENSAOCG00000012248
amphiprion_percula ENSAPEG00000008456
acanthochromis_polyacanthus ENSAPOG00000015635
stegastes_partitus ENSSPAG00000003179
maylandia_zebra ENSMZEG00005018022
astatotilapia_calliptera ENSACLG00000019269
haplochromis_burtoni ENSHBUG00000015843
pundamilia_nyererei ENSPNYG00000011701
neolamprologus_brichardi ENSNBRG00000000377
amphilophus_citrinellus ENSACIG00000019282
labrus_bergylta ENSLBEG00000023376
monopterus_albus ENSMALG00000016830
anabas_testudineus ENSATEG00000018603
mastacembelus_armatus ENSMAMG00000009670
seriola_lalandi_dorsalis ENSSLDG00000016807
seriola_dumerili ENSSDUG00000016572
scophthalmus_maximus ENSSMAG00000020279
mola_mola ENSMMOG00000021336
takifugu_rubripes ENSTRUG00000023741
xiphophorus_maculatus ENSXMAG00000028448
xiphophorus_couchianus ENSXCOG00000005150
gambusia_affinis ENSGAFG00000007939
poecilia_mexicana ENSPMEG00000007550
poecilia_latipinna ENSPLAG00000019254
poecilia_reticulata ENSPREG00000009644
cyprinodon_variegatus ENSCVAG00000007245
fundulus_heteroclitus ENSFHEG00000022267
oryzias_latipes_asm223471v1 ENSORLG00020013937
oryzias_latipes_asm223469v1 ENSORLG00015002175
oryzias_latipes_asm223467v1 ENSORLG00000030498
oryzias_melastigma ENSOMEG00000001630
cynoglossus_semilaevis ENSCSEG00000016747
periophthalmus_magnuspinnatus ENSPMGG00000006653
hippocampus_comes ENSHCOG00000003379
esox_lucius ENSELUG00000001722
astyanax_mexicanus ENSAMXG00000035071
pygocentrus_nattereri ENSPNAG00000007331
ictalurus_punctatus ENSIPUG00000008139
danio_rerio ENSDARG00000102894
scleropages_formosus ENSSFOG00015021563
paramormyrops_kingsleyae ENSPKIG00000008008
