amphiprion_percula ENSAPEG00000009093
amphiprion_ocellaris ENSAOCG00000023840
acanthochromis_polyacanthus ENSAPOG00000008492
gasterosteus_aculeatus ENSGACG00000009287
maylandia_zebra ENSMZEG00005027562
pundamilia_nyererei ENSPNYG00000006230
haplochromis_burtoni ENSHBUG00000018181
pundamilia_nyererei ENSPNYG00000006287
haplochromis_burtoni ENSHBUG00000018402
oreochromis_niloticus ENSONIG00000006695
neolamprologus_brichardi ENSNBRG00000017673
poecilia_latipinna ENSPLAG00000011977
poecilia_mexicana ENSPMEG00000006956
poecilia_reticulata ENSPREG00000013910
xiphophorus_maculatus ENSXMAG00000012943
xiphophorus_couchianus ENSXCOG00000004189
gambusia_affinis ENSGAFG00000010687
fundulus_heteroclitus ENSFHEG00000002116
cyprinodon_variegatus ENSCVAG00000018586
fundulus_heteroclitus ENSFHEG00000000059
cyprinodon_variegatus ENSCVAG00000018594
poecilia_latipinna ENSPLAG00000011969
poecilia_mexicana ENSPMEG00000006935
poecilia_reticulata ENSPREG00000013631
poecilia_formosa ENSPFOG00000015790
xiphophorus_maculatus ENSXMAG00000012942
xiphophorus_couchianus ENSXCOG00000000723
gambusia_affinis ENSGAFG00000010705
poecilia_latipinna ENSPLAG00000011946
poecilia_formosa ENSPFOG00000024219
poecilia_mexicana ENSPMEG00000006920
poecilia_reticulata ENSPREG00000013405
kryptolebias_marmoratus ENSKMAG00000019683
oryzias_latipes_asm223467v1 ENSORLG00000006192
oryzias_latipes_asm223469v1 ENSORLG00015000378
oryzias_latipes_asm223471v1 ENSORLG00020008295
oryzias_melastigma ENSOMEG00000006381
oryzias_latipes_asm223469v1 ENSORLG00015012874
oryzias_latipes_asm223467v1 ENSORLG00000025328
oryzias_latipes_asm223471v1 ENSORLG00020008277
oryzias_melastigma ENSOMEG00000006363
takifugu_rubripes ENSTRUG00000009691
tetraodon_nigroviridis ENSTNIG00000013320
mola_mola ENSMMOG00000008954
mola_mola ENSMMOG00000009828
mola_mola ENSMMOG00000015309
anabas_testudineus ENSATEG00000005919
periophthalmus_magnuspinnatus ENSPMGG00000007042
gadus_morhua ENSGMOG00000016016
esox_lucius ENSELUG00000022497
astyanax_mexicanus ENSAMXG00000036436
paramormyrops_kingsleyae ENSPKIG00000001925
scleropages_formosus ENSSFOG00015012731
xenopus_tropicalis ENSXETG00000026601
xenopus_tropicalis ENSXETG00000016907
xenopus_tropicalis ENSXETG00000026602
petromyzon_marinus ENSPMAG00000004186
eptatretus_burgeri ENSEBUG00000005995
ciona_intestinalis ENSCING00000017495
ciona_intestinalis ENSCING00000011241
ciona_intestinalis ENSCING00000005510
ciona_intestinalis ENSCING00000005508
ciona_savignyi ENSCSAVG00000011554
ciona_savignyi ENSCSAVG00000011553
ciona_intestinalis ENSCING00000008645
drosophila_melanogaster FBgn0086348
drosophila_melanogaster FBgn0035907
drosophila_melanogaster FBgn0035904
drosophila_melanogaster FBgn0035906
caenorhabditis_elegans_strain_n2 WBGene00043097
caenorhabditis_elegans_strain_n2 WBGene00015337
caenorhabditis_elegans_strain_n2 WBGene00001792
