vulpes_vulpes ENSVVUG00000000776
felis_catus ENSFCAG00000035642
equus_caballus ENSECAG00000033172
bos_mutus ENSBMUG00000007475
macaca_fascicularis ENSMFAG00000031834
macaca_nemestrina ENSMNEG00000037930
pan_paniscus ENSPPAG00000033156
pan_troglodytes ENSPTRG00000032453
homo_sapiens ENSG00000174156
pongo_abelii ENSPPYG00000016714
nomascus_leucogenys ENSNLEG00000003666
colobus_angolensis_palliatus ENSCANG00000028698
piliocolobus_tephrosceles ENSPTEG00000006541
rhinopithecus_bieti ENSRBIG00000034719
macaca_mulatta ENSMMUG00000041584
theropithecus_gelada ENSTGEG00000002492
mandrillus_leucophaeus ENSMLEG00000037252
cebus_capucinus_imitator ENSCCAG00000024288
saimiri_boliviensis_boliviensis ENSSBOG00000013765
callithrix_jacchus ENSCJAG00000011287
saimiri_boliviensis_boliviensis ENSSBOG00000015840
aotus_nancymaae ENSANAG00000037760
cebus_capucinus_imitator ENSCCAG00000003496
aotus_nancymaae ENSANAG00000016846
carlito_syrichta ENSTSYG00000036899
carlito_syrichta ENSTSYG00000028736
prolemur_simus ENSPSMG00000002288
ochotona_princeps ENSOPRG00000010036
