meleagris_gallopavo ENSMGAG00000000969
coturnix_japonica ENSCJPG00005012257
gallus_gallus ENSGALG00000037776
numida_meleagris ENSNMEG00000009684
anser_brachyrhynchus ENSABRG00000014248
calidris_pugnax ENSCPUG00000011166
melopsittacus_undulatus ENSMUNG00000010292
taeniopygia_guttata ENSTGUG00000001595
lonchura_striata_domestica ENSLSDG00000013748
junco_hyemalis ENSJHYG00000006450
zonotrichia_albicollis ENSZALG00000016595
serinus_canaria ENSSCAG00000009320
cyanistes_caeruleus ENSCCEG00000014678
parus_major ENSPMJG00000014553
ficedula_albicollis ENSFALG00000009495
lepidothrix_coronata ENSLCOG00000012516
apteryx_haastii ENSAHAG00000011595
apteryx_rowi ENSARWG00000013102
apteryx_owenii ENSAOWG00000010024
dromaius_novaehollandiae ENSDNVG00000006836
manacus_vitellinus ENSMVIG00005018638
crocodylus_porosus ENSCPRG00005000926
chelonoidis_abingdonii ENSCABG00000018938
gopherus_agassizii ENSGAGG00000000082
chrysemys_picta_bellii ENSCPBG00000007651
pelodiscus_sinensis ENSPSIG00000013434
pogona_vitticeps ENSPVIG00000015899
anolis_carolinensis ENSACAG00000012987
notechis_scutatus ENSNSUG00000012103
salvator_merianae ENSSMRG00000006863
pan_paniscus ENSPPAG00000037562
pan_troglodytes ENSPTRG00000017320
homo_sapiens ENSG00000113119
gorilla_gorilla ENSGGOG00000013364
pongo_abelii ENSPPYG00000015859
nomascus_leucogenys ENSNLEG00000009308
piliocolobus_tephrosceles ENSPTEG00000029157
colobus_angolensis_palliatus ENSCANG00000012509
rhinopithecus_roxellana ENSRROG00000035531
rhinopithecus_bieti ENSRBIG00000026478
mandrillus_leucophaeus ENSMLEG00000043597
cercocebus_atys ENSCATG00000032823
theropithecus_gelada ENSTGEG00000025653
papio_anubis ENSPANG00000003022
macaca_mulatta ENSMMUG00000018246
macaca_fascicularis ENSMFAG00000034339
macaca_nemestrina ENSMNEG00000037241
chlorocebus_sabaeus ENSCSAG00000012735
cebus_capucinus_imitator ENSCCAG00000019619
saimiri_boliviensis_boliviensis ENSSBOG00000029470
callithrix_jacchus ENSCJAG00000016529
aotus_nancymaae ENSANAG00000034193
carlito_syrichta ENSTSYG00000034411
propithecus_coquereli ENSPCOG00000014352
microcebus_murinus ENSMICG00000014064
prolemur_simus ENSPSMG00000019851
otolemur_garnettii ENSOGAG00000014285
tupaia_belangeri ENSTBEG00000005500
octodon_degus ENSODEG00000003263
chinchilla_lanigera ENSCLAG00000011852
cavia_porcellus ENSCPOG00000009172
cavia_aperea ENSCAPG00000011306
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007817
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002311
fukomys_damarensis ENSFDAG00000009574
ictidomys_tridecemlineatus ENSSTOG00000028988
spermophilus_dauricus ENSSDAG00000015518
urocitellus_parryii ENSUPAG00010007603
marmota_marmota_marmota ENSMMMG00000010677
castor_canadensis ENSCCNG00000015477
dipodomys_ordii ENSDORG00000006580
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023045
mus_spicilegus ENSMSIG00000031677
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000006850
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022133
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018867
rattus_norvegicus ENSRNOG00000017718
meriones_unguiculatus ENSMUGG00000023623
cricetulus_griseus_crigri-picr ENSCGRG00015003453
cricetulus_griseus_crigri_1.0 ENSCGRG00000013329
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014120
mesocricetus_auratus ENSMAUG00000016479
peromyscus_maniculatus_bairdii ENSPEMG00000007871
microtus_ochrogaster ENSMOCG00000019750
nannospalax_galili ENSNGAG00000023279
jaculus_jaculus ENSJJAG00000024300
oryctolagus_cuniculus ENSOCUG00000004236
ochotona_princeps ENSOPRG00000006762
equus_caballus ENSECAG00000035934
equus_caballus ENSECAG00000039506
equus_caballus ENSECAG00000031163
equus_caballus ENSECAG00000037730
equus_caballus ENSECAG00000023144
equus_asinus_asinus ENSEASG00005017504
ursus_americanus ENSUAMG00000005622
ursus_maritimus ENSUMAG00000013237
ailuropoda_melanoleuca ENSAMEG00000010956
mustela_putorius_furo ENSMPUG00000008448
neovison_vison ENSNVIG00000013502
canis_lupus_dingo ENSCAFG00020001449
canis_lupus_familiaris ENSCAFG00000005855
vulpes_vulpes ENSVVUG00000012955
panthera_tigris_altaica ENSPTIG00000017178
panthera_pardus ENSPPRG00000012430
felis_catus ENSFCAG00000001280
tursiops_truncatus ENSTTRG00000010367
tursiops_truncatus ENSTTRG00000005578
bos_mutus ENSBMUG00000015453
bos_taurus ENSBTAG00000030589
bison_bison_bison ENSBBBG00000012174
ovis_aries ENSOARG00000018316
capra_hircus ENSCHIG00000012882
vicugna_pacos ENSVPAG00000002459
sus_scrofa ENSSSCG00000014370
pteropus_vampyrus ENSPVAG00000009705
myotis_lucifugus ENSMLUG00000003184
erinaceus_europaeus ENSEEUG00000014987
sorex_araneus ENSSARG00000007399
choloepus_hoffmanni ENSCHOG00000002948
dasypus_novemcinctus ENSDNOG00000009762
loxodonta_africana ENSLAFG00000013487
procavia_capensis ENSPCAG00000001349
phascolarctos_cinereus ENSPCIG00000017486
notamacropus_eugenii ENSMEUG00000016227
sarcophilus_harrisii ENSSHAG00000016414
monodelphis_domestica ENSMODG00000011453
ornithorhynchus_anatinus ENSOANG00000011665
xenopus_tropicalis ENSXETG00000032759
latimeria_chalumnae ENSLACG00000005941
scleropages_formosus ENSSFOG00015011913
paramormyrops_kingsleyae ENSPKIG00000020502
monopterus_albus ENSMALG00000010861
monopterus_albus ENSMALG00000002823
mastacembelus_armatus ENSMAMG00000007008
anabas_testudineus ENSATEG00000008647
scophthalmus_maximus ENSSMAG00000002543
