oryzias_latipes_asm223469v1 ENSORLG00015018457
oryzias_latipes_asm223471v1 ENSORLG00020000501
oryzias_latipes_asm223467v1 ENSORLG00000014774
oryzias_melastigma ENSOMEG00000019620
gasterosteus_aculeatus ENSGACG00000015369
xiphophorus_couchianus ENSXCOG00000008137
xiphophorus_maculatus ENSXMAG00000019982
gambusia_affinis ENSGAFG00000008164
poecilia_latipinna ENSPLAG00000013477
poecilia_reticulata ENSPREG00000013038
poecilia_formosa ENSPFOG00000019979
poecilia_mexicana ENSPMEG00000000534
cyprinodon_variegatus ENSCVAG00000004620
kryptolebias_marmoratus ENSKMAG00000007572
takifugu_rubripes ENSTRUG00000009479
anabas_testudineus ENSATEG00000016408
mastacembelus_armatus ENSMAMG00000009033
labrus_bergylta ENSLBEG00000001941
mola_mola ENSMMOG00000010513
seriola_dumerili ENSSDUG00000014975
seriola_lalandi_dorsalis ENSSLDG00000018755
cynoglossus_semilaevis ENSCSEG00000013669
amphiprion_ocellaris ENSAOCG00000019151
amphiprion_percula ENSAPEG00000013324
acanthochromis_polyacanthus ENSAPOG00000024335
stegastes_partitus ENSSPAG00000003015
maylandia_zebra ENSMZEG00005025660
astatotilapia_calliptera ENSACLG00000003596
haplochromis_burtoni ENSHBUG00000020652
pundamilia_nyererei ENSPNYG00000006034
neolamprologus_brichardi ENSNBRG00000000089
neolamprologus_brichardi ENSNBRG00000020601
oreochromis_niloticus ENSONIG00000021435
amphilophus_citrinellus ENSACIG00000017192
monopterus_albus ENSMALG00000021705
scophthalmus_maximus ENSSMAG00000003774
hippocampus_comes ENSHCOG00000001516
gadus_morhua ENSGMOG00000019730
fundulus_heteroclitus ENSFHEG00000021350
scleropages_formosus ENSSFOG00015016027
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004030
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006543
fukomys_damarensis ENSFDAG00000011547
octodon_degus ENSODEG00000014717
chinchilla_lanigera ENSCLAG00000006945
cavia_aperea ENSCAPG00000001296
cavia_porcellus ENSCPOG00000002697
dipodomys_ordii ENSDORG00000016191
castor_canadensis ENSCCNG00000030327
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010179
cricetulus_griseus_crigri_1.0 ENSCGRG00000019920
mesocricetus_auratus ENSMAUG00000008605
microtus_ochrogaster ENSMOCG00000001639
peromyscus_maniculatus_bairdii ENSPEMG00000017948
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043683
mus_spicilegus ENSMSIG00000012002
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021771
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000078157
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020760
rattus_norvegicus ENSRNOG00000050646
meriones_unguiculatus ENSMUGG00000005302
nannospalax_galili ENSNGAG00000018411
jaculus_jaculus ENSJJAG00000000960
urocitellus_parryii ENSUPAG00010010026
ictidomys_tridecemlineatus ENSSTOG00000002965
marmota_marmota_marmota ENSMMMG00000018489
echinops_telfairi ENSETEG00000004174
bos_taurus ENSBTAG00000003476
bos_mutus ENSBMUG00000010317
bison_bison_bison ENSBBBG00000022081
capra_hircus ENSCHIG00000013500
ovis_aries ENSOARG00000000640
ovis_aries ENSOARG00000012770
sus_scrofa ENSSSCG00000037153
mustela_putorius_furo ENSMPUG00000005251
neovison_vison ENSNVIG00000008279
ursus_americanus ENSUAMG00000014719
vulpes_vulpes ENSVVUG00000009032
canis_lupus_dingo ENSCAFG00020018826
panthera_pardus ENSPPRG00000016297
felis_catus ENSFCAG00000010143
pteropus_vampyrus ENSPVAG00000016718
myotis_lucifugus ENSMLUG00000011483
equus_caballus ENSECAG00000025083
pan_paniscus ENSPPAG00000040031
pan_troglodytes ENSPTRG00000009897
homo_sapiens ENSG00000141965
gorilla_gorilla ENSGGOG00000008707
pongo_abelii ENSPPYG00000009417
pongo_abelii ENSPPYG00000008976
pongo_abelii ENSPPYG00000011282
pongo_abelii ENSPPYG00000005179
pan_troglodytes ENSPTRG00000043350
pan_troglodytes ENSPTRG00000049695
pan_troglodytes ENSPTRG00000051578
gorilla_gorilla ENSGGOG00000027670
piliocolobus_tephrosceles ENSPTEG00000024518
colobus_angolensis_palliatus ENSCANG00000000174
