equus_asinus_asinus ENSEASG00005000239
equus_caballus ENSECAG00000028989
mustela_putorius_furo ENSMPUG00000006424
marmota_marmota_marmota ENSMMMG00000009041
spermophilus_dauricus ENSSDAG00000021141
castor_canadensis ENSCCNG00000022949
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058159
mus_spicilegus ENSMSIG00000026128
rattus_norvegicus ENSRNOG00000024172
meriones_unguiculatus ENSMUGG00000027046
peromyscus_maniculatus_bairdii ENSPEMG00000027563
cricetulus_griseus_crigri-picr ENSCGRG00015013577
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003504
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015652
dasypus_novemcinctus ENSDNOG00000037957
