ochotona_princeps ENSOPRG00000007332
oryctolagus_cuniculus ENSOCUG00000029586
erinaceus_europaeus ENSEEUG00000011792
choloepus_hoffmanni ENSCHOG00000000764
tursiops_truncatus ENSTTRG00000017073
castor_canadensis ENSCCNG00000002365
dipodomys_ordii ENSDORG00000023782
octodon_degus ENSODEG00000015836
chinchilla_lanigera ENSCLAG00000010694
cavia_porcellus ENSCPOG00000031144
cavia_aperea ENSCAPG00000014375
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018231
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013800
fukomys_damarensis ENSFDAG00000008401
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027676
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026696
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028750
mus_spicilegus ENSMSIG00000014081
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029027
rattus_norvegicus ENSRNOG00000016647
meriones_unguiculatus ENSMUGG00000024165
peromyscus_maniculatus_bairdii ENSPEMG00000008986
microtus_ochrogaster ENSMOCG00000015850
cricetulus_griseus_crigri_1.0 ENSCGRG00000008566
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013829
cricetulus_griseus_crigri-picr ENSCGRG00015024480
mesocricetus_auratus ENSMAUG00000001804
nannospalax_galili ENSNGAG00000002500
jaculus_jaculus ENSJJAG00000013402
urocitellus_parryii ENSUPAG00010016368
macaca_fascicularis ENSMFAG00000045153
papio_anubis ENSPANG00000006167
chlorocebus_sabaeus ENSCSAG00000000890
rhinopithecus_bieti ENSRBIG00000028997
theropithecus_gelada ENSTGEG00000000119
piliocolobus_tephrosceles ENSPTEG00000004770
pan_paniscus ENSPPAG00000031431
mandrillus_leucophaeus ENSMLEG00000041448
cercocebus_atys ENSCATG00000031453
macaca_nemestrina ENSMNEG00000007201
macaca_mulatta ENSMMUG00000004136
colobus_angolensis_palliatus ENSCANG00000042930
rhinopithecus_roxellana ENSRROG00000032646
gorilla_gorilla ENSGGOG00000013833
homo_sapiens ENSG00000187980
pongo_abelii ENSPPYG00000001776
nomascus_leucogenys ENSNLEG00000007903
pan_troglodytes ENSPTRG00000000282
carlito_syrichta ENSTSYG00000006176
propithecus_coquereli ENSPCOG00000026581
microcebus_murinus ENSMICG00000008237
otolemur_garnettii ENSOGAG00000002454
tupaia_belangeri ENSTBEG00000007026
bos_mutus ENSBMUG00000022367
prolemur_simus ENSPSMG00000003420
loxodonta_africana ENSLAFG00000003395
equus_caballus ENSECAG00000019094
equus_asinus_asinus ENSEASG00005014866
pteropus_vampyrus ENSPVAG00000011951
ovis_aries ENSOARG00000009381
capra_hircus ENSCHIG00000027239
bos_taurus ENSBTAG00000016877
bison_bison_bison ENSBBBG00000016066
sus_scrofa ENSSSCG00000003499
myotis_lucifugus ENSMLUG00000014938
ursus_americanus ENSUAMG00000011669
ursus_maritimus ENSUMAG00000018854
ailuropoda_melanoleuca ENSAMEG00000003227
mustela_putorius_furo ENSMPUG00000016111
neovison_vison ENSNVIG00000015221
canis_lupus_dingo ENSCAFG00020008438
canis_lupus_familiaris ENSCAFG00000028882
vulpes_vulpes ENSVVUG00000029475
panthera_tigris_altaica ENSPTIG00000009160
panthera_pardus ENSPPRG00000016547
felis_catus ENSFCAG00000002894
procavia_capensis ENSPCAG00000002809
dasypus_novemcinctus ENSDNOG00000018867
phascolarctos_cinereus ENSPCIG00000029125
notamacropus_eugenii ENSMEUG00000006138
sarcophilus_harrisii ENSSHAG00000012451
monodelphis_domestica ENSMODG00000015929
taeniopygia_guttata ENSTGUG00000017056
