haplochromis_burtoni ENSHBUG00000006797
pundamilia_nyererei ENSPNYG00000007000
astatotilapia_calliptera ENSACLG00000026666
neolamprologus_brichardi ENSNBRG00000011178
mola_mola ENSMMOG00000008434
seriola_lalandi_dorsalis ENSSLDG00000011780
amphiprion_percula ENSAPEG00000003005
amphiprion_ocellaris ENSAOCG00000003506
acanthochromis_polyacanthus ENSAPOG00000012555
poecilia_mexicana ENSPMEG00000006993
poecilia_reticulata ENSPREG00000019665
gambusia_affinis ENSGAFG00000002070
xiphophorus_couchianus ENSXCOG00000017753
cynoglossus_semilaevis ENSCSEG00000014242
monopterus_albus ENSMALG00000017380
mastacembelus_armatus ENSMAMG00000003513
takifugu_rubripes ENSTRUG00000020317
scleropages_formosus ENSSFOG00015013346
chelonoidis_abingdonii ENSCABG00000017040
gopherus_agassizii ENSGAGG00000011541
chrysemys_picta_bellii ENSCPBG00000006406
apteryx_haastii ENSAHAG00000016164
apteryx_owenii ENSAOWG00000010736
dromaius_novaehollandiae ENSDNVG00000019124
melopsittacus_undulatus ENSMUNG00000015413
phascolarctos_cinereus ENSPCIG00000036418
