tetraodon_nigroviridis ENSTNIG00000013814
takifugu_rubripes ENSTRUG00000003204
cynoglossus_semilaevis ENSCSEG00000014787
gasterosteus_aculeatus ENSGACG00000015990
labrus_bergylta ENSLBEG00000002479
mola_mola ENSMMOG00000016033
monopterus_albus ENSMALG00000003128
mastacembelus_armatus ENSMAMG00000020500
anabas_testudineus ENSATEG00000000456
amphiprion_ocellaris ENSAOCG00000016909
amphiprion_percula ENSAPEG00000008111
acanthochromis_polyacanthus ENSAPOG00000014280
stegastes_partitus ENSSPAG00000013851
stegastes_partitus ENSSPAG00000004809
haplochromis_burtoni ENSHBUG00000016418
pundamilia_nyererei ENSPNYG00000018447
maylandia_zebra ENSMZEG00005012177
astatotilapia_calliptera ENSACLG00000007296
neolamprologus_brichardi ENSNBRG00000007540
oreochromis_niloticus ENSONIG00000005578
amphilophus_citrinellus ENSACIG00000005420
xiphophorus_maculatus ENSXMAG00000006973
xiphophorus_couchianus ENSXCOG00000016026
gambusia_affinis ENSGAFG00000001884
poecilia_formosa ENSPFOG00000017357
poecilia_latipinna ENSPLAG00000009302
poecilia_mexicana ENSPMEG00000018694
poecilia_reticulata ENSPREG00000013355
fundulus_heteroclitus ENSFHEG00000020876
cyprinodon_variegatus ENSCVAG00000019987
kryptolebias_marmoratus ENSKMAG00000010630
oryzias_latipes_asm223467v1 ENSORLG00000026461
oryzias_latipes_asm223471v1 ENSORLG00020005778
oryzias_latipes_asm223469v1 ENSORLG00015003768
oryzias_melastigma ENSOMEG00000003700
seriola_dumerili ENSSDUG00000020296
seriola_lalandi_dorsalis ENSSLDG00000025646
scophthalmus_maximus ENSSMAG00000001982
hippocampus_comes ENSHCOG00000015295
periophthalmus_magnuspinnatus ENSPMGG00000000089
gadus_morhua ENSGMOG00000013410
pygocentrus_nattereri ENSPNAG00000028925
astyanax_mexicanus ENSAMXG00000003147
ictalurus_punctatus ENSIPUG00000006012
danio_rerio ENSDARG00000010029
paramormyrops_kingsleyae ENSPKIG00000023766
paramormyrops_kingsleyae ENSPKIG00000024272
scleropages_formosus ENSSFOG00015022054
calidris_pygmaea ENSCPGG00000014487
calidris_pugnax ENSCPUG00000017178
lepidothrix_coronata ENSLCOG00000001965
manacus_vitellinus ENSMVIG00005014238
taeniopygia_guttata ENSTGUG00000005111
taeniopygia_guttata ENSTGUG00000016135
lonchura_striata_domestica ENSLSDG00000008802
serinus_canaria ENSSCAG00000007979
zonotrichia_albicollis ENSZALG00000002386
junco_hyemalis ENSJHYG00000015856
ficedula_albicollis ENSFALG00000010710
parus_major ENSPMJG00000001329
cyanistes_caeruleus ENSCCEG00000009149
melopsittacus_undulatus ENSMUNG00000004642
anser_brachyrhynchus ENSABRG00000017512
anas_platyrhynchos_platyrhynchos ENSAPLG00000006849
gallus_gallus ENSGALG00000038775
coturnix_japonica ENSCJPG00005015318
meleagris_gallopavo ENSMGAG00000001171
numida_meleagris ENSNMEG00000009340
apteryx_rowi ENSARWG00000018473
apteryx_owenii ENSAOWG00000007922
apteryx_haastii ENSAHAG00000017875
dromaius_novaehollandiae ENSDNVG00000009025
nothoprocta_perdicaria ENSNPEG00000007111
crocodylus_porosus ENSCPRG00005006526
gopherus_agassizii ENSGAGG00000008700
gopherus_agassizii ENSGAGG00000005723
chelonoidis_abingdonii ENSCABG00000001391
chrysemys_picta_bellii ENSCPBG00000015434
pelodiscus_sinensis ENSPSIG00000003220
sphenodon_punctatus ENSSPUG00000001690
apteryx_owenii ENSAOWG00000008041
pogona_vitticeps ENSPVIG00000016515
anolis_carolinensis ENSACAG00000003254
notechis_scutatus ENSNSUG00000012587
salvator_merianae ENSSMRG00000000930
sphenodon_punctatus ENSSPUG00000001633
notamacropus_eugenii ENSMEUG00000008243
phascolarctos_cinereus ENSPCIG00000014058
sarcophilus_harrisii ENSSHAG00000008067
monodelphis_domestica ENSMODG00000006127
pan_troglodytes ENSPTRG00000043466
pan_paniscus ENSPPAG00000038730
homo_sapiens ENSG00000262655
gorilla_gorilla ENSGGOG00000012110
pongo_abelii ENSPPYG00000003469
nomascus_leucogenys ENSNLEG00000017696
piliocolobus_tephrosceles ENSPTEG00000011438
colobus_angolensis_palliatus ENSCANG00000029722
rhinopithecus_roxellana ENSRROG00000045521
rhinopithecus_bieti ENSRBIG00000026984
macaca_fascicularis ENSMFAG00000045029
macaca_mulatta ENSMMUG00000021914
macaca_nemestrina ENSMNEG00000035429
cercocebus_atys ENSCATG00000031426
mandrillus_leucophaeus ENSMLEG00000032226
papio_anubis ENSPANG00000002502
theropithecus_gelada ENSTGEG00000013983
chlorocebus_sabaeus ENSCSAG00000004699
cebus_capucinus_imitator ENSCCAG00000035761
saimiri_boliviensis_boliviensis ENSSBOG00000033038
callithrix_jacchus ENSCJAG00000010055
aotus_nancymaae ENSANAG00000021897
carlito_syrichta ENSTSYG00000006292
prolemur_simus ENSPSMG00000001222
microcebus_murinus ENSMICG00000013787
propithecus_coquereli ENSPCOG00000018088
tupaia_belangeri ENSTBEG00000000640
urocitellus_parryii ENSUPAG00010015160
ictidomys_tridecemlineatus ENSSTOG00000029199
spermophilus_dauricus ENSSDAG00000017109
marmota_marmota_marmota ENSMMMG00000002900
dipodomys_ordii ENSDORG00000003471
chinchilla_lanigera ENSCLAG00000017261
octodon_degus ENSODEG00000010476
cavia_porcellus ENSCPOG00000001095
cavia_aperea ENSCAPG00000016180
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011552
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010146
fukomys_damarensis ENSFDAG00000008195
peromyscus_maniculatus_bairdii ENSPEMG00000013759
microtus_ochrogaster ENSMOCG00000013869
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021186
cricetulus_griseus_crigri-picr ENSCGRG00015008809
cricetulus_griseus_crigri_1.0 ENSCGRG00000004212
mesocricetus_auratus ENSMAUG00000019672
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038156
mus_spicilegus ENSMSIG00000028779
