sarcophilus_harrisii ENSSHAG00000018429
phascolarctos_cinereus ENSPCIG00000019524
monodelphis_domestica ENSMODG00000023305
pan_troglodytes ENSPTRG00000043406
pan_troglodytes ENSPTRG00000021536
pan_paniscus ENSPPAG00000002608
homo_sapiens ENSG00000160345
gorilla_gorilla ENSGGOG00000013397
pongo_abelii ENSPPYG00000019757
nomascus_leucogenys ENSNLEG00000032198
papio_anubis ENSPANG00000032034
theropithecus_gelada ENSTGEG00000009500
macaca_nemestrina ENSMNEG00000042571
macaca_fascicularis ENSMFAG00000042970
mandrillus_leucophaeus ENSMLEG00000031879
cercocebus_atys ENSCATG00000034266
chlorocebus_sabaeus ENSCSAG00000015618
piliocolobus_tephrosceles ENSPTEG00000029218
colobus_angolensis_palliatus ENSCANG00000036783
rhinopithecus_bieti ENSRBIG00000027529
rhinopithecus_roxellana ENSRROG00000030155
cebus_capucinus_imitator ENSCCAG00000033105
saimiri_boliviensis_boliviensis ENSSBOG00000028308
callithrix_jacchus ENSCJAG00000010430
aotus_nancymaae ENSANAG00000029888
carlito_syrichta ENSTSYG00000032091
propithecus_coquereli ENSPCOG00000018856
prolemur_simus ENSPSMG00000017721
microcebus_murinus ENSMICG00000031679
otolemur_garnettii ENSOGAG00000000548
tupaia_belangeri ENSTBEG00000003559
chinchilla_lanigera ENSCLAG00000009620
octodon_degus ENSODEG00000016088
cavia_aperea ENSCAPG00000012321
cavia_porcellus ENSCPOG00000031034
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010952
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007348
fukomys_damarensis ENSFDAG00000007058
ictidomys_tridecemlineatus ENSSTOG00000024831
urocitellus_parryii ENSUPAG00010008429
marmota_marmota_marmota ENSMMMG00000012808
spermophilus_dauricus ENSSDAG00000009194
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023750
cricetulus_griseus_crigri_1.0 ENSCGRG00000017589
cricetulus_griseus_crigri-picr ENSCGRG00015012862
peromyscus_maniculatus_bairdii ENSPEMG00000027353
microtus_ochrogaster ENSMOCG00000020023
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024266
mus_spicilegus ENSMSIG00000020180
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026831
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023349
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024806
rattus_norvegicus ENSRNOG00000010152
meriones_unguiculatus ENSMUGG00000005491
jaculus_jaculus ENSJJAG00000024395
castor_canadensis ENSCCNG00000026877
dipodomys_ordii ENSDORG00000025281
bos_taurus ENSBTAG00000049410
bos_mutus ENSBMUG00000001910
capra_hircus ENSCHIG00000015336
tursiops_truncatus ENSTTRG00000000012
sus_scrofa ENSSSCG00000036914
ursus_americanus ENSUAMG00000015492
ailuropoda_melanoleuca ENSAMEG00000006239
mustela_putorius_furo ENSMPUG00000012047
vulpes_vulpes ENSVVUG00000027557
canis_lupus_dingo ENSCAFG00020024806
panthera_tigris_altaica ENSPTIG00000010948
panthera_pardus ENSPPRG00000000913
felis_catus ENSFCAG00000037561
ovis_aries ENSOARG00000001942
bison_bison_bison ENSBBBG00000021061
neovison_vison ENSNVIG00000017623
pteropus_vampyrus ENSPVAG00000003484
equus_asinus_asinus ENSEASG00005010708
equus_caballus ENSECAG00000029848
erinaceus_europaeus ENSEEUG00000007865
loxodonta_africana ENSLAFG00000029858
procavia_capensis ENSPCAG00000014231
echinops_telfairi ENSETEG00000003872
dasypus_novemcinctus ENSDNOG00000041283
ornithorhynchus_anatinus ENSOANG00000030678
apteryx_haastii ENSAHAG00000008376
apteryx_rowi ENSARWG00000008431
apteryx_owenii ENSAOWG00000004924
nothoprocta_perdicaria ENSNPEG00000013482
dromaius_novaehollandiae ENSDNVG00000012280
calidris_pugnax ENSCPUG00000014666
calidris_pygmaea ENSCPGG00000007244
lepidothrix_coronata ENSLCOG00000014162
