monodelphis_domestica ENSMODG00000028185
notamacropus_eugenii ENSMEUG00000000181
procavia_capensis ENSPCAG00000002494
echinops_telfairi ENSETEG00000004285
spermophilus_dauricus ENSSDAG00000013840
castor_canadensis ENSCCNG00000011931
bos_taurus ENSBTAG00000015880
ovis_aries ENSOARG00000014031
ursus_americanus ENSUAMG00000018937
canis_lupus_dingo ENSCAFG00020014518
pteropus_vampyrus ENSPVAG00000003429
chlorocebus_sabaeus ENSCSAG00000011016
dasypus_novemcinctus ENSDNOG00000035847
ornithorhynchus_anatinus ENSOANG00000029711
lonchura_striata_domestica ENSLSDG00000004417
taeniopygia_guttata ENSTGUG00000012630
parus_major ENSPMJG00000016945
dromaius_novaehollandiae ENSDNVG00000014970
pelodiscus_sinensis ENSPSIG00000008885
sphenodon_punctatus ENSSPUG00000000878
