taeniopygia_guttata ENSTGUG00000010572
serinus_canaria ENSSCAG00000001161
nothoprocta_perdicaria ENSNPEG00000000348
chelonoidis_abingdonii ENSCABG00000011848
pogona_vitticeps ENSPVIG00000010154
anolis_carolinensis ENSACAG00000023669
notechis_scutatus ENSNSUG00000019001
salvator_merianae ENSSMRG00000005672
manacus_vitellinus ENSMVIG00005007700
lepidothrix_coronata ENSLCOG00000001313
parus_major ENSPMJG00000019102
cyanistes_caeruleus ENSCCEG00000023004
junco_hyemalis ENSJHYG00000018413
zonotrichia_albicollis ENSZALG00000004396
lonchura_striata_domestica ENSLSDG00000009600
melopsittacus_undulatus ENSMUNG00000012486
calidris_pugnax ENSCPUG00000003767
calidris_pygmaea ENSCPGG00000008730
gallus_gallus ENSGALG00000007732
coturnix_japonica ENSCJPG00005014826
meleagris_gallopavo ENSMGAG00000015497
numida_meleagris ENSNMEG00000022648
anser_brachyrhynchus ENSABRG00000003496
anas_platyrhynchos_platyrhynchos ENSAPLG00000007913
apteryx_haastii ENSAHAG00000001958
apteryx_rowi ENSARWG00000009311
apteryx_owenii ENSAOWG00000000047
dromaius_novaehollandiae ENSDNVG00000000422
crocodylus_porosus ENSCPRG00005006415
chrysemys_picta_bellii ENSCPBG00000027115
gopherus_agassizii ENSGAGG00000018393
ficedula_albicollis ENSFALG00000014439
pelodiscus_sinensis ENSPSIG00000001881
sphenodon_punctatus ENSSPUG00000016004
phascolarctos_cinereus ENSPCIG00000034636
notamacropus_eugenii ENSMEUG00000001021
sarcophilus_harrisii ENSSHAG00000018715
monodelphis_domestica ENSMODG00000009275
bos_taurus ENSBTAG00000046677
bos_mutus ENSBMUG00000004527
bison_bison_bison ENSBBBG00000005392
capra_hircus ENSCHIG00000025804
ovis_aries ENSOARG00000018410
tursiops_truncatus ENSTTRG00000008148
sus_scrofa ENSSSCG00000034656
pteropus_vampyrus ENSPVAG00000015703
myotis_lucifugus ENSMLUG00000029378
ursus_americanus ENSUAMG00000010787
ailuropoda_melanoleuca ENSAMEG00000011833
canis_lupus_dingo ENSCAFG00020007696
vulpes_vulpes ENSVVUG00000025427
neovison_vison ENSNVIG00000022759
mustela_putorius_furo ENSMPUG00000004270
panthera_pardus ENSPPRG00000013418
panthera_tigris_altaica ENSPTIG00000019691
felis_catus ENSFCAG00000032911
equus_caballus ENSECAG00000004778
equus_asinus_asinus ENSEASG00005010530
piliocolobus_tephrosceles ENSPTEG00000022204
piliocolobus_tephrosceles ENSPTEG00000022183
piliocolobus_tephrosceles ENSPTEG00000022155
piliocolobus_tephrosceles ENSPTEG00000022129
colobus_angolensis_palliatus ENSCANG00000033445
rhinopithecus_roxellana ENSRROG00000034795
theropithecus_gelada ENSTGEG00000005104
cercocebus_atys ENSCATG00000030255
macaca_fascicularis ENSMFAG00000002996
macaca_nemestrina ENSMNEG00000041125
macaca_mulatta ENSMMUG00000011547
mandrillus_leucophaeus ENSMLEG00000042754
papio_anubis ENSPANG00000019636
chlorocebus_sabaeus ENSCSAG00000019271
pan_troglodytes ENSPTRG00000014079
pan_paniscus ENSPPAG00000005770
homo_sapiens ENSG00000040608
gorilla_gorilla ENSGGOG00000006055
pongo_abelii ENSPPYG00000011597
nomascus_leucogenys ENSNLEG00000005706
cebus_capucinus_imitator ENSCCAG00000018734
saimiri_boliviensis_boliviensis ENSSBOG00000032491
callithrix_jacchus ENSCJAG00000047001
aotus_nancymaae ENSANAG00000032599
carlito_syrichta ENSTSYG00000029385
microcebus_murinus ENSMICG00000027043
prolemur_simus ENSPSMG00000002832
propithecus_coquereli ENSPCOG00000013486
otolemur_garnettii ENSOGAG00000033465
castor_canadensis ENSCCNG00000024769
dipodomys_ordii ENSDORG00000012342
mus_spicilegus ENSMSIG00000020177
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021432
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043811
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020537
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016242
rattus_norvegicus ENSRNOG00000030920
meriones_unguiculatus ENSMUGG00000018792
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002500
cricetulus_griseus_crigri-picr ENSCGRG00015006903
cricetulus_griseus_crigri_1.0 ENSCGRG00000004531
mesocricetus_auratus ENSMAUG00000004777
peromyscus_maniculatus_bairdii ENSPEMG00000014362
microtus_ochrogaster ENSMOCG00000018155
nannospalax_galili ENSNGAG00000012587
jaculus_jaculus ENSJJAG00000017834
ictidomys_tridecemlineatus ENSSTOG00000021308
urocitellus_parryii ENSUPAG00010011108
marmota_marmota_marmota ENSMMMG00000004602
spermophilus_dauricus ENSSDAG00000012043
spermophilus_dauricus ENSSDAG00000001086
octodon_degus ENSODEG00000015875
chinchilla_lanigera ENSCLAG00000015372
cavia_aperea ENSCAPG00000018021
cavia_porcellus ENSCPOG00000020767
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013597
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008026
fukomys_damarensis ENSFDAG00000007201
tupaia_belangeri ENSTBEG00000008243
loxodonta_africana ENSLAFG00000027673
procavia_capensis ENSPCAG00000000192
erinaceus_europaeus ENSEEUG00000013824
xenopus_tropicalis ENSXETG00000012179
latimeria_chalumnae ENSLACG00000008757
scleropages_formosus ENSSFOG00015017660
paramormyrops_kingsleyae ENSPKIG00000012374
scleropages_formosus ENSSFOG00015017286
paramormyrops_kingsleyae ENSPKIG00000023748
fundulus_heteroclitus ENSFHEG00000009385
cyprinodon_variegatus ENSCVAG00000022356
poecilia_formosa ENSPFOG00000015819
poecilia_mexicana ENSPMEG00000007148
poecilia_latipinna ENSPLAG00000002019
poecilia_reticulata ENSPREG00000005551
xiphophorus_couchianus ENSXCOG00000009958
xiphophorus_maculatus ENSXMAG00000003460
gambusia_affinis ENSGAFG00000008402
kryptolebias_marmoratus ENSKMAG00000008979
oryzias_latipes_asm223471v1 ENSORLG00020011002
oryzias_latipes_asm223469v1 ENSORLG00015020315
oryzias_latipes_asm223467v1 ENSORLG00000029641
oryzias_melastigma ENSOMEG00000011325
cynoglossus_semilaevis ENSCSEG00000006397
cynoglossus_semilaevis ENSCSEG00000007433
monopterus_albus ENSMALG00000006359
mastacembelus_armatus ENSMAMG00000005111
anabas_testudineus ENSATEG00000003521
seriola_lalandi_dorsalis ENSSLDG00000018030
seriola_dumerili ENSSDUG00000016715
scophthalmus_maximus ENSSMAG00000011343
labrus_bergylta ENSLBEG00000009477
gasterosteus_aculeatus ENSGACG00000014064
mola_mola ENSMMOG00000000037
takifugu_rubripes ENSTRUG00000016501
pundamilia_nyererei ENSPNYG00000008729
astatotilapia_calliptera ENSACLG00000022520
haplochromis_burtoni ENSHBUG00000011315
maylandia_zebra ENSMZEG00005014340
neolamprologus_brichardi ENSNBRG00000013514
oreochromis_niloticus ENSONIG00000010637
amphilophus_citrinellus ENSACIG00000022734
amphiprion_percula ENSAPEG00000010143
amphiprion_ocellaris ENSAOCG00000006372
acanthochromis_polyacanthus ENSAPOG00000012218
stegastes_partitus ENSSPAG00000022484
periophthalmus_magnuspinnatus ENSPMGG00000020529
hippocampus_comes ENSHCOG00000018641
gadus_morhua ENSGMOG00000015478
esox_lucius ENSELUG00000004062
pygocentrus_nattereri ENSPNAG00000010932
astyanax_mexicanus ENSAMXG00000034932
ictalurus_punctatus ENSIPUG00000019461
danio_rerio ENSDARG00000090035
esox_lucius ENSELUG00000001554
lepisosteus_oculatus ENSLOCG00000003749
xenopus_tropicalis ENSXETG00000022982
eptatretus_burgeri ENSEBUG00000003284
