periophthalmus_magnuspinnatus ENSPMGG00000019947
hippocampus_comes ENSHCOG00000001785
seriola_lalandi_dorsalis ENSSLDG00000008038
seriola_dumerili ENSSDUG00000011278
scophthalmus_maximus ENSSMAG00000005603
mastacembelus_armatus ENSMAMG00000019471
monopterus_albus ENSMALG00000001606
anabas_testudineus ENSATEG00000004266
takifugu_rubripes ENSTRUG00000013216
tetraodon_nigroviridis ENSTNIG00000015710
mola_mola ENSMMOG00000019679
labrus_bergylta ENSLBEG00000006918
poecilia_formosa ENSPFOG00000015858
poecilia_mexicana ENSPMEG00000003154
poecilia_latipinna ENSPLAG00000010720
xiphophorus_maculatus ENSXMAG00000001056
xiphophorus_couchianus ENSXCOG00000018517
poecilia_reticulata ENSPREG00000003639
gambusia_affinis ENSGAFG00000003933
cyprinodon_variegatus ENSCVAG00000021846
fundulus_heteroclitus ENSFHEG00000015317
oryzias_latipes_asm223467v1 ENSORLG00000010184
oryzias_latipes_asm223471v1 ENSORLG00020016321
oryzias_latipes_asm223469v1 ENSORLG00015019064
oryzias_melastigma ENSOMEG00000016135
astatotilapia_calliptera ENSACLG00000021015
maylandia_zebra ENSMZEG00005018694
haplochromis_burtoni ENSHBUG00000000970
pundamilia_nyererei ENSPNYG00000012527
oreochromis_niloticus ENSONIG00000017074
amphilophus_citrinellus ENSACIG00000021811
stegastes_partitus ENSSPAG00000009429
kryptolebias_marmoratus ENSKMAG00000004788
amphiprion_ocellaris ENSAOCG00000012836
amphiprion_percula ENSAPEG00000001871
acanthochromis_polyacanthus ENSAPOG00000001981
gasterosteus_aculeatus ENSGACG00000000255
cynoglossus_semilaevis ENSCSEG00000005842
gadus_morhua ENSGMOG00000009280
esox_lucius ENSELUG00000008542
pygocentrus_nattereri ENSPNAG00000008009
astyanax_mexicanus ENSAMXG00000013520
ictalurus_punctatus ENSIPUG00000002256
danio_rerio ENSDARG00000040453
scleropages_formosus ENSSFOG00015002927
paramormyrops_kingsleyae ENSPKIG00000020320
lepisosteus_oculatus ENSLOCG00000010340
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020286
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000014547
mus_spicilegus ENSMSIG00000013924
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019394
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030412
rattus_norvegicus ENSRNOG00000010042
meriones_unguiculatus ENSMUGG00000026144
cricetulus_griseus_crigri_1.0 ENSCGRG00000018258
cricetulus_griseus_crigri-picr ENSCGRG00015010584
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016257
mesocricetus_auratus ENSMAUG00000009631
microtus_ochrogaster ENSMOCG00000021575
peromyscus_maniculatus_bairdii ENSPEMG00000000485
nannospalax_galili ENSNGAG00000016638
jaculus_jaculus ENSJJAG00000018746
castor_canadensis ENSCCNG00000025914
dipodomys_ordii ENSDORG00000010977
