mustela_putorius_furo ENSMPUG00000016145
neovison_vison ENSNVIG00000014890
vicugna_pacos ENSVPAG00000002291
spermophilus_dauricus ENSSDAG00000004008
marmota_marmota_marmota ENSMMMG00000000626
piliocolobus_tephrosceles ENSPTEG00000010092
dasypus_novemcinctus ENSDNOG00000044755
dasypus_novemcinctus ENSDNOG00000036601
dasypus_novemcinctus ENSDNOG00000038015
dasypus_novemcinctus ENSDNOG00000039456
capra_hircus ENSCHIG00000009598
ovis_aries ENSOARG00000003940
capra_hircus ENSCHIG00000020460
ailuropoda_melanoleuca ENSAMEG00000000424
equus_asinus_asinus ENSEASG00005011498
equus_caballus ENSECAG00000040384
prolemur_simus ENSPSMG00000002536
choloepus_hoffmanni ENSCHOG00000013510
