mustela_putorius_furo ENSMPUG00000000732
neovison_vison ENSNVIG00000010395
ursus_maritimus ENSUMAG00000023923
ursus_americanus ENSUAMG00000000212
ailuropoda_melanoleuca ENSAMEG00000009107
canis_lupus_familiaris ENSCAFG00000031000
canis_lupus_dingo ENSCAFG00020003589
vulpes_vulpes ENSVVUG00000001168
panthera_pardus ENSPPRG00000011698
panthera_tigris_altaica ENSPTIG00000021645
felis_catus ENSFCAG00000043514
erinaceus_europaeus ENSEEUG00000008362
erinaceus_europaeus ENSEEUG00000013740
sus_scrofa ENSSSCG00000036688
vicugna_pacos ENSVPAG00000011106
capra_hircus ENSCHIG00000020391
ovis_aries ENSOARG00000006794
bos_mutus ENSBMUG00000002471
bos_taurus ENSBTAG00000006428
bison_bison_bison ENSBBBG00000007645
tursiops_truncatus ENSTTRG00000010631
myotis_lucifugus ENSMLUG00000013294
pteropus_vampyrus ENSPVAG00000016750
equus_caballus ENSECAG00000012431
equus_asinus_asinus ENSEASG00005012606
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003500
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007345
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013916
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012284
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005975
fukomys_damarensis ENSFDAG00000015190
cavia_porcellus ENSCPOG00000034791
cavia_aperea ENSCAPG00000013118
chinchilla_lanigera ENSCLAG00000014648
octodon_degus ENSODEG00000008278
urocitellus_parryii ENSUPAG00010017149
ictidomys_tridecemlineatus ENSSTOG00000024118
spermophilus_dauricus ENSSDAG00000017407
spermophilus_dauricus ENSSDAG00000010252
marmota_marmota_marmota ENSMMMG00000000853
castor_canadensis ENSCCNG00000002287
dipodomys_ordii ENSDORG00000009396
peromyscus_maniculatus_bairdii ENSPEMG00000024167
peromyscus_maniculatus_bairdii ENSPEMG00000030672
microtus_ochrogaster ENSMOCG00000003692
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021088
cricetulus_griseus_crigri_1.0 ENSCGRG00000015037
cricetulus_griseus_crigri-picr ENSCGRG00015025752
mesocricetus_auratus ENSMAUG00000000735
mus_spicilegus ENSMSIG00000006077
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017150
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020364
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016306
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017441
rattus_norvegicus ENSRNOG00000003634
meriones_unguiculatus ENSMUGG00000002554
nannospalax_galili ENSNGAG00000011769
jaculus_jaculus ENSJJAG00000001494
ochotona_princeps ENSOPRG00000004995
ochotona_princeps ENSOPRG00000017155
ochotona_princeps ENSOPRG00000001049
oryctolagus_cuniculus ENSOCUG00000029378
pan_paniscus ENSPPAG00000039371
pan_troglodytes ENSPTRG00000017606
homo_sapiens ENSG00000169131
gorilla_gorilla ENSGGOG00000002534
pongo_abelii ENSPPYG00000016111
piliocolobus_tephrosceles ENSPTEG00000028679
colobus_angolensis_palliatus ENSCANG00000033815
rhinopithecus_bieti ENSRBIG00000033996
rhinopithecus_roxellana ENSRROG00000035557
papio_anubis ENSPANG00000032762
theropithecus_gelada ENSTGEG00000017002
mandrillus_leucophaeus ENSMLEG00000038806
cercocebus_atys ENSCATG00000029919
macaca_mulatta ENSMMUG00000041519
macaca_nemestrina ENSMNEG00000036763
macaca_fascicularis ENSMFAG00000013407
chlorocebus_sabaeus ENSCSAG00000008589
homo_sapiens ENSG00000285978
callithrix_jacchus ENSCJAG00000012077
cebus_capucinus_imitator ENSCCAG00000021720
saimiri_boliviensis_boliviensis ENSSBOG00000036215
aotus_nancymaae ENSANAG00000022081
carlito_syrichta ENSTSYG00000008405
carlito_syrichta ENSTSYG00000035358
prolemur_simus ENSPSMG00000013548
microcebus_murinus ENSMICG00000006390
propithecus_coquereli ENSPCOG00000021744
otolemur_garnettii ENSOGAG00000024624
choloepus_hoffmanni ENSCHOG00000008173
choloepus_hoffmanni ENSCHOG00000008579
choloepus_hoffmanni ENSCHOG00000003898
dasypus_novemcinctus ENSDNOG00000043806
loxodonta_africana ENSLAFG00000002909
echinops_telfairi ENSETEG00000020249
