ictidomys_tridecemlineatus ENSSTOG00000015043
spermophilus_dauricus ENSSDAG00000016112
urocitellus_parryii ENSUPAG00010014923
marmota_marmota_marmota ENSMMMG00000003956
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012146
cricetulus_griseus_crigri-picr ENSCGRG00015027766
cricetulus_griseus_crigri_1.0 ENSCGRG00000018963
peromyscus_maniculatus_bairdii ENSPEMG00000026506
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026984
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000089717
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026021
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028357
rattus_norvegicus ENSRNOG00000049788
rattus_norvegicus ENSRNOG00000005666
meriones_unguiculatus ENSMUGG00000000848
meriones_unguiculatus ENSMUGG00000000835
chinchilla_lanigera ENSCLAG00000017722
fukomys_damarensis ENSFDAG00000013148
oryctolagus_cuniculus ENSOCUG00000006906
otolemur_garnettii ENSOGAG00000026486
otolemur_garnettii ENSOGAG00000034640
prolemur_simus ENSPSMG00000002481
pan_troglodytes ENSPTRG00000021208
pan_paniscus ENSPPAG00000003401
homo_sapiens ENSG00000186881
gorilla_gorilla ENSGGOG00000024226
nomascus_leucogenys ENSNLEG00000017185
theropithecus_gelada ENSTGEG00000001403
chlorocebus_sabaeus ENSCSAG00000000461
piliocolobus_tephrosceles ENSPTEG00000034522
cebus_capucinus_imitator ENSCCAG00000016561
saimiri_boliviensis_boliviensis ENSSBOG00000014730
tupaia_belangeri ENSTBEG00000001764
ursus_americanus ENSUAMG00000014688
ursus_maritimus ENSUMAG00000013081
ailuropoda_melanoleuca ENSAMEG00000019862
mustela_putorius_furo ENSMPUG00000018541
neovison_vison ENSNVIG00000006401
canis_lupus_familiaris ENSCAFG00000030606
canis_lupus_dingo ENSCAFG00020019978
vulpes_vulpes ENSVVUG00000008240
bison_bison_bison ENSBBBG00000023709
bos_taurus ENSBTAG00000013445
bos_mutus ENSBMUG00000024526
equus_asinus_asinus ENSEASG00005022922
equus_caballus ENSECAG00000036114
equus_caballus ENSECAG00000028565
equus_asinus_asinus ENSEASG00005022928
equus_asinus_asinus ENSEASG00005022935
bos_taurus ENSBTAG00000050829
bison_bison_bison ENSBBBG00000023701
bos_taurus ENSBTAG00000016173
bison_bison_bison ENSBBBG00000023689
capra_hircus ENSCHIG00000014287
vicugna_pacos ENSVPAG00000005350
sus_scrofa ENSSSCG00000030554
sus_scrofa ENSSSCG00000028838
ursus_americanus ENSUAMG00000014696
ursus_maritimus ENSUMAG00000013093
ailuropoda_melanoleuca ENSAMEG00000019833
mustela_putorius_furo ENSMPUG00000018547
neovison_vison ENSNVIG00000006418
canis_lupus_familiaris ENSCAFG00000031077
panthera_pardus ENSPPRG00000010010
panthera_pardus ENSPPRG00000009791
panthera_tigris_altaica ENSPTIG00000001507
felis_catus ENSFCAG00000042591
felis_catus ENSFCAG00000045974
erinaceus_europaeus ENSEEUG00000006035
choloepus_hoffmanni ENSCHOG00000012453
choloepus_hoffmanni ENSCHOG00000003179
choloepus_hoffmanni ENSCHOG00000002483
choloepus_hoffmanni ENSCHOG00000007679
choloepus_hoffmanni ENSCHOG00000007835
dasypus_novemcinctus ENSDNOG00000024462
dasypus_novemcinctus ENSDNOG00000017229
loxodonta_africana ENSLAFG00000012346
loxodonta_africana ENSLAFG00000027433
loxodonta_africana ENSLAFG00000032686
notamacropus_eugenii ENSMEUG00000010831
