chlorocebus_sabaeus ENSCSAG00000009915
macaca_mulatta ENSMMUG00000045214
macaca_mulatta ENSMMUG00000048699
macaca_mulatta ENSMMUG00000039948
macaca_mulatta ENSMMUG00000044891
macaca_mulatta ENSMMUG00000048880
colobus_angolensis_palliatus ENSCANG00000032682
pongo_abelii ENSPPYG00000020055
homo_sapiens ENSG00000185940
gorilla_gorilla ENSGGOG00000014898
pan_paniscus ENSPPAG00000031483
pongo_abelii ENSPPYG00000002904
nomascus_leucogenys ENSNLEG00000013307
callithrix_jacchus ENSCJAG00000043367
carlito_syrichta ENSTSYG00000019483
nomascus_leucogenys ENSNLEG00000031546
nomascus_leucogenys ENSNLEG00000028347
cebus_capucinus_imitator ENSCCAG00000037638
homo_sapiens ENSG00000205867
tupaia_belangeri ENSTBEG00000012473
felis_catus ENSFCAG00000046722
ovis_aries ENSOARG00000005194
cavia_porcellus ENSCPOG00000033210
cavia_porcellus ENSCPOG00000035928
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090471
myotis_lucifugus ENSMLUG00000003582
macaca_nemestrina ENSMNEG00000039331
chinchilla_lanigera ENSCLAG00000014871
cavia_porcellus ENSCPOG00000031634
chinchilla_lanigera ENSCLAG00000014332
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031828
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030718
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045236
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073785
peromyscus_maniculatus_bairdii ENSPEMG00000016432
nannospalax_galili ENSNGAG00000005882
chinchilla_lanigera ENSCLAG00000016589
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030717
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031827
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013915
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000066100
rattus_norvegicus ENSRNOG00000024991
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012083
chinchilla_lanigera ENSCLAG00000015802
cricetulus_griseus_crigri_1.0 ENSCGRG00000002579
cricetulus_griseus_crigri_1.0 ENSCGRG00000003630
mesocricetus_auratus ENSMAUG00000003401
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000109655
cavia_porcellus ENSCPOG00000039157
ictidomys_tridecemlineatus ENSSTOG00000025772
ictidomys_tridecemlineatus ENSSTOG00000012537
microcebus_murinus ENSMICG00000044655
octodon_degus ENSODEG00000016806
equus_caballus ENSECAG00000033098
bison_bison_bison ENSBBBG00000002497
equus_asinus_asinus ENSEASG00005015256
ursus_maritimus ENSUMAG00000006080
ursus_maritimus ENSUMAG00000006055
ursus_americanus ENSUAMG00000020903
neovison_vison ENSNVIG00000007121
neovison_vison ENSNVIG00000007118
callithrix_jacchus ENSCJAG00000018400
aotus_nancymaae ENSANAG00000027769
cercocebus_atys ENSCATG00000031529
castor_canadensis ENSCCNG00000030459
castor_canadensis ENSCCNG00000030462
castor_canadensis ENSCCNG00000030461
canis_lupus_familiaris ENSCAFG00000031762
ursus_americanus ENSUAMG00000020902
equus_caballus ENSECAG00000040297
equus_asinus_asinus ENSEASG00005015255
cebus_capucinus_imitator ENSCCAG00000027973
choloepus_hoffmanni ENSCHOG00000007228
