astyanax_mexicanus ENSAMXG00000020101
pygocentrus_nattereri ENSPNAG00000014570
ictalurus_punctatus ENSIPUG00000012984
danio_rerio ENSDARG00000040632
labrus_bergylta ENSLBEG00000024523
takifugu_rubripes ENSTRUG00000007182
seriola_dumerili ENSSDUG00000023670
seriola_lalandi_dorsalis ENSSLDG00000022297
scophthalmus_maximus ENSSMAG00000010562
mastacembelus_armatus ENSMAMG00000015139
monopterus_albus ENSMALG00000000134
anabas_testudineus ENSATEG00000018493
xiphophorus_maculatus ENSXMAG00000025275
xiphophorus_couchianus ENSXCOG00000010699
gambusia_affinis ENSGAFG00000014051
poecilia_latipinna ENSPLAG00000007606
poecilia_mexicana ENSPMEG00000016610
poecilia_formosa ENSPFOG00000007242
poecilia_reticulata ENSPREG00000012375
cyprinodon_variegatus ENSCVAG00000006739
kryptolebias_marmoratus ENSKMAG00000017825
oryzias_latipes_asm223471v1 ENSORLG00020000124
oryzias_latipes_asm223467v1 ENSORLG00000005648
oryzias_latipes_asm223469v1 ENSORLG00015010240
oryzias_melastigma ENSOMEG00000007947
astatotilapia_calliptera ENSACLG00000012096
maylandia_zebra ENSMZEG00005002649
maylandia_zebra ENSMZEG00005002578
amphilophus_citrinellus ENSACIG00000011158
amphilophus_citrinellus ENSACIG00000011187
maylandia_zebra ENSMZEG00005002690
astatotilapia_calliptera ENSACLG00000012007
pundamilia_nyererei ENSPNYG00000011636
amphilophus_citrinellus ENSACIG00000023715
maylandia_zebra ENSMZEG00005002608
oreochromis_niloticus ENSONIG00000007928
astatotilapia_calliptera ENSACLG00000011613
maylandia_zebra ENSMZEG00005002971
maylandia_zebra ENSMZEG00005002712
astatotilapia_calliptera ENSACLG00000011936
oreochromis_niloticus ENSONIG00000010923
maylandia_zebra ENSMZEG00005002557
astatotilapia_calliptera ENSACLG00000012154
pundamilia_nyererei ENSPNYG00000011602
neolamprologus_brichardi ENSNBRG00000000806
amphiprion_percula ENSAPEG00000004584
amphiprion_ocellaris ENSAOCG00000019746
acanthochromis_polyacanthus ENSAPOG00000017743
stegastes_partitus ENSSPAG00000007084
periophthalmus_magnuspinnatus ENSPMGG00000011567
esox_lucius ENSELUG00000011382
paramormyrops_kingsleyae ENSPKIG00000024822
scleropages_formosus ENSSFOG00015001006
lepisosteus_oculatus ENSLOCG00000002932
eptatretus_burgeri ENSEBUG00000013654
