neovison_vison ENSNVIG00000005251
ovis_aries ENSOARG00000011060
spermophilus_dauricus ENSSDAG00000005982
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016380
dasypus_novemcinctus ENSDNOG00000032301
cebus_capucinus_imitator ENSCCAG00000035160
monodelphis_domestica ENSMODG00000005486
ornithorhynchus_anatinus ENSOANG00000021312
serinus_canaria ENSSCAG00000006324
lonchura_striata_domestica ENSLSDG00000014828
cyanistes_caeruleus ENSCCEG00000002049
parus_major ENSPMJG00000011523
zonotrichia_albicollis ENSZALG00000011769
lepidothrix_coronata ENSLCOG00000013339
dromaius_novaehollandiae ENSDNVG00000012311
anolis_carolinensis ENSACAG00000007209
