pundamilia_nyererei ENSPNYG00000012049
haplochromis_burtoni ENSHBUG00000020068
neolamprologus_brichardi ENSNBRG00000017827
astatotilapia_calliptera ENSACLG00000009563
maylandia_zebra ENSMZEG00005026493
amphilophus_citrinellus ENSACIG00000010745
xiphophorus_maculatus ENSXMAG00000020983
xiphophorus_couchianus ENSXCOG00000019732
gambusia_affinis ENSGAFG00000004033
poecilia_latipinna ENSPLAG00000008565
poecilia_mexicana ENSPMEG00000009545
poecilia_reticulata ENSPREG00000018798
cyprinodon_variegatus ENSCVAG00000018184
periophthalmus_magnuspinnatus ENSPMGG00000001325
cynoglossus_semilaevis ENSCSEG00000008006
tetraodon_nigroviridis ENSTNIG00000017574
takifugu_rubripes ENSTRUG00000022589
mola_mola ENSMMOG00000015787
oryzias_latipes_asm223467v1 ENSORLG00000023686
oryzias_latipes_asm223471v1 ENSORLG00020008060
anabas_testudineus ENSATEG00000008798
scophthalmus_maximus ENSSMAG00000002396
amphiprion_ocellaris ENSAOCG00000023914
amphiprion_percula ENSAPEG00000009175
acanthochromis_polyacanthus ENSAPOG00000006141
stegastes_partitus ENSSPAG00000003731
labrus_bergylta ENSLBEG00000027008
mastacembelus_armatus ENSMAMG00000001581
seriola_dumerili ENSSDUG00000018794
seriola_lalandi_dorsalis ENSSLDG00000013844
hippocampus_comes ENSHCOG00000001556
