ochotona_princeps ENSOPRG00000010079
oryctolagus_cuniculus ENSOCUG00000002447
tupaia_belangeri ENSTBEG00000014498
pan_troglodytes ENSPTRG00000019455
pan_paniscus ENSPPAG00000035814
gorilla_gorilla ENSGGOG00000009555
homo_sapiens ENSG00000196652
pongo_abelii ENSPPYG00000017382
nomascus_leucogenys ENSNLEG00000011141
colobus_angolensis_palliatus ENSCANG00000030613
piliocolobus_tephrosceles ENSPTEG00000018916
rhinopithecus_bieti ENSRBIG00000013383
rhinopithecus_roxellana ENSRROG00000034392
papio_anubis ENSPANG00000000548
theropithecus_gelada ENSTGEG00000012381
cercocebus_atys ENSCATG00000043807
mandrillus_leucophaeus ENSMLEG00000034683
macaca_fascicularis ENSMFAG00000037519
macaca_mulatta ENSMMUG00000020141
macaca_nemestrina ENSMNEG00000036993
chlorocebus_sabaeus ENSCSAG00000017802
cebus_capucinus_imitator ENSCCAG00000030902
saimiri_boliviensis_boliviensis ENSSBOG00000020293
callithrix_jacchus ENSCJAG00000015788
aotus_nancymaae ENSANAG00000032873
carlito_syrichta ENSTSYG00000014107
propithecus_coquereli ENSPCOG00000024797
microcebus_murinus ENSMICG00000005991
prolemur_simus ENSPSMG00000004768
otolemur_garnettii ENSOGAG00000010899
cricetulus_griseus_crigri-picr ENSCGRG00015016094
cricetulus_griseus_crigri_1.0 ENSCGRG00000006877
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021752
mesocricetus_auratus ENSMAUG00000014532
peromyscus_maniculatus_bairdii ENSPEMG00000010963
microtus_ochrogaster ENSMOCG00000011909
mus_spicilegus ENSMSIG00000028906
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029016
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055991
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028015
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024584
nannospalax_galili ENSNGAG00000017855
jaculus_jaculus ENSJJAG00000017033
chinchilla_lanigera ENSCLAG00000006450
octodon_degus ENSODEG00000012014
cavia_porcellus ENSCPOG00000032578
cavia_aperea ENSCAPG00000007169
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009175
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010461
fukomys_damarensis ENSFDAG00000019434
ictidomys_tridecemlineatus ENSSTOG00000019879
spermophilus_dauricus ENSSDAG00000011265
urocitellus_parryii ENSUPAG00010008019
marmota_marmota_marmota ENSMMMG00000005213
castor_canadensis ENSCCNG00000011439
sorex_araneus ENSSARG00000009087
equus_caballus ENSECAG00000012353
equus_asinus_asinus ENSEASG00005007748
pteropus_vampyrus ENSPVAG00000009665
bos_taurus ENSBTAG00000049731
bos_mutus ENSBMUG00000023259
bison_bison_bison ENSBBBG00000001814
capra_hircus ENSCHIG00000024258
tursiops_truncatus ENSTTRG00000016188
sus_scrofa ENSSSCG00000031809
vicugna_pacos ENSVPAG00000004291
erinaceus_europaeus ENSEEUG00000012727
ursus_maritimus ENSUMAG00000009486
ursus_americanus ENSUAMG00000004063
ailuropoda_melanoleuca ENSAMEG00000006213
neovison_vison ENSNVIG00000008113
canis_lupus_dingo ENSCAFG00020014453
canis_lupus_familiaris ENSCAFG00000023158
vulpes_vulpes ENSVVUG00000008758
panthera_tigris_altaica ENSPTIG00000018483
panthera_pardus ENSPPRG00000000685
felis_catus ENSFCAG00000026733
choloepus_hoffmanni ENSCHOG00000006310
dasypus_novemcinctus ENSDNOG00000007054
procavia_capensis ENSPCAG00000014628
echinops_telfairi ENSETEG00000011622
notamacropus_eugenii ENSMEUG00000011858
phascolarctos_cinereus ENSPCIG00000016295
sarcophilus_harrisii ENSSHAG00000002854
