takifugu_rubripes ENSTRUG00000025393
tetraodon_nigroviridis ENSTNIG00000005851
cynoglossus_semilaevis ENSCSEG00000000526
acanthochromis_polyacanthus ENSAPOG00000015636
xiphophorus_maculatus ENSXMAG00000002299
xiphophorus_couchianus ENSXCOG00000011536
gambusia_affinis ENSGAFG00000002783
poecilia_latipinna ENSPLAG00000021839
poecilia_formosa ENSPFOG00000016589
poecilia_mexicana ENSPMEG00000022306
poecilia_reticulata ENSPREG00000008276
cyprinodon_variegatus ENSCVAG00000006926
kryptolebias_marmoratus ENSKMAG00000013552
oryzias_latipes_asm223471v1 ENSORLG00020009975
oryzias_latipes_asm223469v1 ENSORLG00015009942
oryzias_latipes_asm223467v1 ENSORLG00000010829
oryzias_melastigma ENSOMEG00000003656
pundamilia_nyererei ENSPNYG00000000616
astatotilapia_calliptera ENSACLG00000000767
maylandia_zebra ENSMZEG00005000951
haplochromis_burtoni ENSHBUG00000000770
neolamprologus_brichardi ENSNBRG00000015797
oreochromis_niloticus ENSONIG00000006030
amphilophus_citrinellus ENSACIG00000008567
amphiprion_ocellaris ENSAOCG00000020422
amphiprion_percula ENSAPEG00000015308
stegastes_partitus ENSSPAG00000012371
labrus_bergylta ENSLBEG00000009388
labrus_bergylta ENSLBEG00000017190
gasterosteus_aculeatus ENSGACG00000004036
mola_mola ENSMMOG00000004266
seriola_dumerili ENSSDUG00000007489
seriola_lalandi_dorsalis ENSSLDG00000021397
scophthalmus_maximus ENSSMAG00000011548
mastacembelus_armatus ENSMAMG00000004840
monopterus_albus ENSMALG00000020385
anabas_testudineus ENSATEG00000004656
hippocampus_comes ENSHCOG00000007854
periophthalmus_magnuspinnatus ENSPMGG00000002865
gadus_morhua ENSGMOG00000002546
esox_lucius ENSELUG00000005055
pygocentrus_nattereri ENSPNAG00000007804
astyanax_mexicanus ENSAMXG00000029321
ictalurus_punctatus ENSIPUG00000014283
danio_rerio ENSDARG00000036489
scleropages_formosus ENSSFOG00015014127
paramormyrops_kingsleyae ENSPKIG00000007008
lepisosteus_oculatus ENSLOCG00000008827
latimeria_chalumnae ENSLACG00000005480
anolis_carolinensis ENSACAG00000007306
pogona_vitticeps ENSPVIG00000015061
notechis_scutatus ENSNSUG00000018519
salvator_merianae ENSSMRG00000008271
sphenodon_punctatus ENSSPUG00000017906
anas_platyrhynchos_platyrhynchos ENSAPLG00000009580
anser_brachyrhynchus ENSABRG00000007957
calidris_pygmaea ENSCPGG00000007577
calidris_pugnax ENSCPUG00000008591
apteryx_owenii ENSAOWG00000014288
apteryx_rowi ENSARWG00000004525
apteryx_haastii ENSAHAG00000016300
dromaius_novaehollandiae ENSDNVG00000017570
chelonoidis_abingdonii ENSCABG00000006252
gopherus_agassizii ENSGAGG00000011967
chrysemys_picta_bellii ENSCPBG00000018867
pelodiscus_sinensis ENSPSIG00000012896
coturnix_japonica ENSCJPG00005002617
gallus_gallus ENSGALG00000047359
meleagris_gallopavo ENSMGAG00000001995
numida_meleagris ENSNMEG00000004182
lonchura_striata_domestica ENSLSDG00000015789
cyanistes_caeruleus ENSCCEG00000015413
fundulus_heteroclitus ENSFHEG00000014595
phascolarctos_cinereus ENSPCIG00000009090
notamacropus_eugenii ENSMEUG00000011076
