acanthochromis_polyacanthus ENSAPOG00000002969
amphiprion_percula ENSAPEG00000021058
stegastes_partitus ENSSPAG00000004485
cyprinodon_variegatus ENSCVAG00000006362
fundulus_heteroclitus ENSFHEG00000005427
poecilia_formosa ENSPFOG00000013782
poecilia_latipinna ENSPLAG00000003041
poecilia_mexicana ENSPMEG00000024208
gambusia_affinis ENSGAFG00000000868
xiphophorus_maculatus ENSXMAG00000009883
kryptolebias_marmoratus ENSKMAG00000017049
oryzias_latipes_asm223467v1 ENSORLG00000005820
oryzias_latipes_asm223471v1 ENSORLG00020011955
oryzias_melastigma ENSOMEG00000021393
astatotilapia_calliptera ENSACLG00000026446
maylandia_zebra ENSMZEG00005007102
haplochromis_burtoni ENSHBUG00000021719
oreochromis_niloticus ENSONIG00000002460
seriola_dumerili ENSSDUG00000008300
seriola_lalandi_dorsalis ENSSLDG00000001913
scophthalmus_maximus ENSSMAG00000018801
anabas_testudineus ENSATEG00000018749
labrus_bergylta ENSLBEG00000020381
gadus_morhua ENSGMOG00000004040
esox_lucius ENSELUG00000016634
pygocentrus_nattereri ENSPNAG00000023359
ictalurus_punctatus ENSIPUG00000003875
scleropages_formosus ENSSFOG00015013230
esox_lucius ENSELUG00000014874
lepisosteus_oculatus ENSLOCG00000011279
pogona_vitticeps ENSPVIG00000002481
anolis_carolinensis ENSACAG00000005896
notechis_scutatus ENSNSUG00000013951
salvator_merianae ENSSMRG00000004466
sphenodon_punctatus ENSSPUG00000005506
apteryx_haastii ENSAHAG00000018979
apteryx_rowi ENSARWG00000017493
apteryx_owenii ENSAOWG00000009402
dromaius_novaehollandiae ENSDNVG00000012307
nothoprocta_perdicaria ENSNPEG00000007798
gallus_gallus ENSGALG00000001373
coturnix_japonica ENSCJPG00005016654
numida_meleagris ENSNMEG00000012617
anas_platyrhynchos_platyrhynchos ENSAPLG00000009312
calidris_pugnax ENSCPUG00000010973
manacus_vitellinus ENSMVIG00005017129
melopsittacus_undulatus ENSMUNG00000008351
anser_brachyrhynchus ENSABRG00000008730
cyanistes_caeruleus ENSCCEG00000004109
parus_major ENSPMJG00000017563
ficedula_albicollis ENSFALG00000000506
taeniopygia_guttata ENSTGUG00000001493
serinus_canaria ENSSCAG00000015613
meleagris_gallopavo ENSMGAG00000004306
calidris_pygmaea ENSCPGG00000018924
lonchura_striata_domestica ENSLSDG00000005501
junco_hyemalis ENSJHYG00000016927
crocodylus_porosus ENSCPRG00005000061
chelonoidis_abingdonii ENSCABG00000008839
gopherus_agassizii ENSGAGG00000002980
chrysemys_picta_bellii ENSCPBG00000021277
pelodiscus_sinensis ENSPSIG00000003591
phascolarctos_cinereus ENSPCIG00000028247
notamacropus_eugenii ENSMEUG00000002365
sarcophilus_harrisii ENSSHAG00000011020
monodelphis_domestica ENSMODG00000002520
ursus_americanus ENSUAMG00000016533
ursus_americanus ENSUAMG00000016530
octodon_degus ENSODEG00000009905
cavia_aperea ENSCAPG00000013628
jaculus_jaculus ENSJJAG00000024101
dipodomys_ordii ENSDORG00000008886
castor_canadensis ENSCCNG00000025075
dasypus_novemcinctus ENSDNOG00000038393
cavia_porcellus ENSCPOG00000014792
cavia_porcellus ENSCPOG00000033186
castor_canadensis ENSCCNG00000025087
oryctolagus_cuniculus ENSOCUG00000004027
ochotona_princeps ENSOPRG00000014264
urocitellus_parryii ENSUPAG00010016581
ictidomys_tridecemlineatus ENSSTOG00000016542
marmota_marmota_marmota ENSMMMG00000001053
spermophilus_dauricus ENSSDAG00000005643
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015867
mus_spicilegus ENSMSIG00000024130
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037318
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015067
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028299
rattus_norvegicus ENSRNOG00000005565
meriones_unguiculatus ENSMUGG00000015290
peromyscus_maniculatus_bairdii ENSPEMG00000021211
microtus_ochrogaster ENSMOCG00000010371
cricetulus_griseus_crigri-picr ENSCGRG00015017117
mesocricetus_auratus ENSMAUG00000000850
cricetulus_griseus_crigri_1.0 ENSCGRG00000016563
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004266
nannospalax_galili ENSNGAG00000000847
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003905
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014101
fukomys_damarensis ENSFDAG00000005865
chinchilla_lanigera ENSCLAG00000004809
tupaia_belangeri ENSTBEG00000017347
piliocolobus_tephrosceles ENSPTEG00000036785
colobus_angolensis_palliatus ENSCANG00000031116
rhinopithecus_bieti ENSRBIG00000009984
rhinopithecus_roxellana ENSRROG00000021875
papio_anubis ENSPANG00000001376
theropithecus_gelada ENSTGEG00000009893
mandrillus_leucophaeus ENSMLEG00000044307
macaca_nemestrina ENSMNEG00000027884
macaca_mulatta ENSMMUG00000022062
macaca_fascicularis ENSMFAG00000003810
cercocebus_atys ENSCATG00000031459
chlorocebus_sabaeus ENSCSAG00000015258
pan_troglodytes ENSPTRG00000001939
pan_paniscus ENSPPAG00000035769
homo_sapiens ENSG00000009790
gorilla_gorilla ENSGGOG00000006197
pongo_abelii ENSPPYG00000000255
nomascus_leucogenys ENSNLEG00000001747
saimiri_boliviensis_boliviensis ENSSBOG00000021891
callithrix_jacchus ENSCJAG00000014957
cebus_capucinus_imitator ENSCCAG00000037546
aotus_nancymaae ENSANAG00000027340
carlito_syrichta ENSTSYG00000010956
prolemur_simus ENSPSMG00000015269
microcebus_murinus ENSMICG00000001216
propithecus_coquereli ENSPCOG00000010555
otolemur_garnettii ENSOGAG00000010700
ursus_maritimus ENSUMAG00000021311
ailuropoda_melanoleuca ENSAMEG00000017989
neovison_vison ENSNVIG00000016629
mustela_putorius_furo ENSMPUG00000003033
canis_lupus_familiaris ENSCAFG00000011943
canis_lupus_dingo ENSCAFG00020013209
vulpes_vulpes ENSVVUG00000009437
panthera_pardus ENSPPRG00000012046
panthera_tigris_altaica ENSPTIG00000017995
felis_catus ENSFCAG00000015135
pteropus_vampyrus ENSPVAG00000004850
ovis_aries ENSOARG00000012918
capra_hircus ENSCHIG00000021484
bos_taurus ENSBTAG00000002846
bos_mutus ENSBMUG00000006838
bison_bison_bison ENSBBBG00000013804
tursiops_truncatus ENSTTRG00000001119
vicugna_pacos ENSVPAG00000010245
sus_scrofa ENSSSCG00000032721
myotis_lucifugus ENSMLUG00000004499
equus_caballus ENSECAG00000011355
equus_asinus_asinus ENSEASG00005002677
choloepus_hoffmanni ENSCHOG00000010379
loxodonta_africana ENSLAFG00000001370
procavia_capensis ENSPCAG00000006298
echinops_telfairi ENSETEG00000008362
ornithorhynchus_anatinus ENSOANG00000022477
xenopus_tropicalis ENSXETG00000032456
latimeria_chalumnae ENSLACG00000018605
