rhinopithecus_roxellana ENSRROG00000027115
piliocolobus_tephrosceles ENSPTEG00000028068
theropithecus_gelada ENSTGEG00000017746
homo_sapiens ENSG00000204025
pan_troglodytes ENSPTRG00000045594
gorilla_gorilla ENSGGOG00000040904
pongo_abelii ENSPPYG00000020639
callithrix_jacchus ENSCJAG00000046018
prolemur_simus ENSPSMG00000022104
mus_spicilegus ENSMSIG00000000961
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000072934
rattus_norvegicus ENSRNOG00000039233
meriones_unguiculatus ENSMUGG00000019403
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011623
cricetulus_griseus_crigri-picr ENSCGRG00015015934
peromyscus_maniculatus_bairdii ENSPEMG00000024453
castor_canadensis ENSCCNG00000015616
spermophilus_dauricus ENSSDAG00000023178
urocitellus_parryii ENSUPAG00010014274
marmota_marmota_marmota ENSMMMG00000010228
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001225
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005839
fukomys_damarensis ENSFDAG00000010283
chinchilla_lanigera ENSCLAG00000002699
ochotona_princeps ENSOPRG00000014447
bos_mutus ENSBMUG00000001858
bos_taurus ENSBTAG00000049974
bison_bison_bison ENSBBBG00000019520
tursiops_truncatus ENSTTRG00000015690
vicugna_pacos ENSVPAG00000008934
erinaceus_europaeus ENSEEUG00000007377
equus_asinus_asinus ENSEASG00005019627
equus_caballus ENSECAG00000004084
pteropus_vampyrus ENSPVAG00000001552
ursus_americanus ENSUAMG00000020645
ursus_maritimus ENSUMAG00000022941
ailuropoda_melanoleuca ENSAMEG00000018968
neovison_vison ENSNVIG00000008343
vulpes_vulpes ENSVVUG00000010960
canis_lupus_dingo ENSCAFG00020005229
panthera_pardus ENSPPRG00000022580
panthera_tigris_altaica ENSPTIG00000009220
felis_catus ENSFCAG00000044915
dasypus_novemcinctus ENSDNOG00000005639
