urocitellus_parryii ENSUPAG00010016372
spermophilus_dauricus ENSSDAG00000001424
marmota_marmota_marmota ENSMMMG00000020194
ictidomys_tridecemlineatus ENSSTOG00000011560
tupaia_belangeri ENSTBEG00000016234
saimiri_boliviensis_boliviensis ENSSBOG00000021857
cebus_capucinus_imitator ENSCCAG00000037160
callithrix_jacchus ENSCJAG00000012988
aotus_nancymaae ENSANAG00000026698
pan_paniscus ENSPPAG00000039598
pan_troglodytes ENSPTRG00000007422
homo_sapiens ENSG00000181026
gorilla_gorilla ENSGGOG00000010180
pongo_abelii ENSPPYG00000006755
nomascus_leucogenys ENSNLEG00000032314
papio_anubis ENSPANG00000005905
chlorocebus_sabaeus ENSCSAG00000017196
mandrillus_leucophaeus ENSMLEG00000032850
cercocebus_atys ENSCATG00000034567
theropithecus_gelada ENSTGEG00000008196
macaca_fascicularis ENSMFAG00000001458
macaca_mulatta ENSMMUG00000022516
macaca_nemestrina ENSMNEG00000040133
rhinopithecus_roxellana ENSRROG00000043282
rhinopithecus_bieti ENSRBIG00000031540
colobus_angolensis_palliatus ENSCANG00000037330
piliocolobus_tephrosceles ENSPTEG00000000898
carlito_syrichta ENSTSYG00000012416
propithecus_coquereli ENSPCOG00000020924
microcebus_murinus ENSMICG00000027602
prolemur_simus ENSPSMG00000005545
otolemur_garnettii ENSOGAG00000029852
cricetulus_griseus_crigri_1.0 ENSCGRG00000000641
cricetulus_griseus_crigri-picr ENSCGRG00015000708
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021559
mesocricetus_auratus ENSMAUG00000000489
peromyscus_maniculatus_bairdii ENSPEMG00000020445
microtus_ochrogaster ENSMOCG00000011735
mus_spicilegus ENSMSIG00000018598
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030609
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029872
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030974
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013094
rattus_norvegicus ENSRNOG00000018421
meriones_unguiculatus ENSMUGG00000019108
nannospalax_galili ENSNGAG00000011590
jaculus_jaculus ENSJJAG00000022647
chinchilla_lanigera ENSCLAG00000008791
octodon_degus ENSODEG00000015278
cavia_aperea ENSCAPG00000006550
cavia_porcellus ENSCPOG00000021693
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008738
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013826
fukomys_damarensis ENSFDAG00000009743
oryctolagus_cuniculus ENSOCUG00000028037
dipodomys_ordii ENSDORG00000015546
erinaceus_europaeus ENSEEUG00000007015
capra_hircus ENSCHIG00000001561
ovis_aries ENSOARG00000010957
bos_taurus ENSBTAG00000017632
bos_mutus ENSBMUG00000003025
bison_bison_bison ENSBBBG00000007610
sus_scrofa ENSSSCG00000005102
equus_caballus ENSECAG00000037942
equus_asinus_asinus ENSEASG00005015361
tursiops_truncatus ENSTTRG00000014668
pteropus_vampyrus ENSPVAG00000007189
ursus_americanus ENSUAMG00000019063
ailuropoda_melanoleuca ENSAMEG00000012798
mustela_putorius_furo ENSMPUG00000015821
neovison_vison ENSNVIG00000018093
canis_lupus_familiaris ENSCAFG00000011521
canis_lupus_dingo ENSCAFG00020018839
vulpes_vulpes ENSVVUG00000012020
felis_catus ENSFCAG00000023571
panthera_pardus ENSPPRG00000022756
ursus_maritimus ENSUMAG00000006271
panthera_tigris_altaica ENSPTIG00000018966
castor_canadensis ENSCCNG00000005928
myotis_lucifugus ENSMLUG00000023065
loxodonta_africana ENSLAFG00000015182
procavia_capensis ENSPCAG00000015481
echinops_telfairi ENSETEG00000006167
dasypus_novemcinctus ENSDNOG00000001849
dasypus_novemcinctus ENSDNOG00000042348
phascolarctos_cinereus ENSPCIG00000006401
notamacropus_eugenii ENSMEUG00000005303
sarcophilus_harrisii ENSSHAG00000017070
monodelphis_domestica ENSMODG00000019584
chrysemys_picta_bellii ENSCPBG00000017884
gopherus_agassizii ENSGAGG00000013545
pelodiscus_sinensis ENSPSIG00000014281
ficedula_albicollis ENSFALG00000010440
parus_major ENSPMJG00000001222
zonotrichia_albicollis ENSZALG00000001603
junco_hyemalis ENSJHYG00000010487
serinus_canaria ENSSCAG00000005768
taeniopygia_guttata ENSTGUG00000008335
manacus_vitellinus ENSMVIG00005013792
anser_brachyrhynchus ENSABRG00000021889
