mola_mola ENSMMOG00000007795
tetraodon_nigroviridis ENSTNIG00000016586
labrus_bergylta ENSLBEG00000012132
gasterosteus_aculeatus ENSGACG00000005865
mastacembelus_armatus ENSMAMG00000021760
monopterus_albus ENSMALG00000002916
anabas_testudineus ENSATEG00000020266
scophthalmus_maximus ENSSMAG00000007081
cynoglossus_semilaevis ENSCSEG00000005255
seriola_lalandi_dorsalis ENSSLDG00000020200
seriola_dumerili ENSSDUG00000023566
xiphophorus_maculatus ENSXMAG00000009600
xiphophorus_couchianus ENSXCOG00000011779
gambusia_affinis ENSGAFG00000007387
poecilia_mexicana ENSPMEG00000017857
poecilia_latipinna ENSPLAG00000006044
poecilia_formosa ENSPFOG00000013020
poecilia_reticulata ENSPREG00000022753
cyprinodon_variegatus ENSCVAG00000003899
fundulus_heteroclitus ENSFHEG00000007565
kryptolebias_marmoratus ENSKMAG00000017546
oryzias_latipes_asm223467v1 ENSORLG00000010529
oryzias_latipes_asm223469v1 ENSORLG00015003276
oryzias_latipes_asm223471v1 ENSORLG00020019264
maylandia_zebra ENSMZEG00005005751
haplochromis_burtoni ENSHBUG00000008877
pundamilia_nyererei ENSPNYG00000019135
oreochromis_niloticus ENSONIG00000009789
stegastes_partitus ENSSPAG00000007213
acanthochromis_polyacanthus ENSAPOG00000016419
labrus_bergylta ENSLBEG00000008830
takifugu_rubripes ENSTRUG00000021368
hippocampus_comes ENSHCOG00000013439
periophthalmus_magnuspinnatus ENSPMGG00000019801
astatotilapia_calliptera ENSACLG00000002018
neolamprologus_brichardi ENSNBRG00000014368
amphilophus_citrinellus ENSACIG00000020931
amphiprion_ocellaris ENSAOCG00000009950
amphiprion_percula ENSAPEG00000012906
cyprinodon_variegatus ENSCVAG00000011124
oryzias_melastigma ENSOMEG00000001519
gadus_morhua ENSGMOG00000004549
esox_lucius ENSELUG00000012193
pygocentrus_nattereri ENSPNAG00000019497
astyanax_mexicanus ENSAMXG00000018028
pygocentrus_nattereri ENSPNAG00000025688
ictalurus_punctatus ENSIPUG00000005249
danio_rerio ENSDARG00000092550
danio_rerio ENSDARG00000079055
paramormyrops_kingsleyae ENSPKIG00000016716
scleropages_formosus ENSSFOG00015002660
lepisosteus_oculatus ENSLOCG00000016214
calidris_pygmaea ENSCPGG00000001405
calidris_pugnax ENSCPUG00000011824
melopsittacus_undulatus ENSMUNG00000016783
lepidothrix_coronata ENSLCOG00000006818
manacus_vitellinus ENSMVIG00005015051
parus_major ENSPMJG00000003899
cyanistes_caeruleus ENSCCEG00000020696
ficedula_albicollis ENSFALG00000013565
zonotrichia_albicollis ENSZALG00000015878
junco_hyemalis ENSJHYG00000008804
serinus_canaria ENSSCAG00000003773
taeniopygia_guttata ENSTGUG00000010214
lonchura_striata_domestica ENSLSDG00000016230
anser_brachyrhynchus ENSABRG00000002605
anas_platyrhynchos_platyrhynchos ENSAPLG00000007666
gallus_gallus ENSGALG00000011000
coturnix_japonica ENSCJPG00005003419
meleagris_gallopavo ENSMGAG00000011933
numida_meleagris ENSNMEG00000017585
apteryx_haastii ENSAHAG00000003554
apteryx_owenii ENSAOWG00000017168
apteryx_rowi ENSARWG00000013496
dromaius_novaehollandiae ENSDNVG00000002737
nothoprocta_perdicaria ENSNPEG00000005623
crocodylus_porosus ENSCPRG00005016928
gopherus_agassizii ENSGAGG00000012102
chelonoidis_abingdonii ENSCABG00000006231
chrysemys_picta_bellii ENSCPBG00000005587
pelodiscus_sinensis ENSPSIG00000010699
pogona_vitticeps ENSPVIG00000018237
anolis_carolinensis ENSACAG00000001142
notechis_scutatus ENSNSUG00000001044
salvator_merianae ENSSMRG00000021996
sphenodon_punctatus ENSSPUG00000015364
phascolarctos_cinereus ENSPCIG00000029710
notamacropus_eugenii ENSMEUG00000011370
sarcophilus_harrisii ENSSHAG00000000013
monodelphis_domestica ENSMODG00000008504
bos_mutus ENSBMUG00000002470
bison_bison_bison ENSBBBG00000012166
bos_taurus ENSBTAG00000004517
ovis_aries ENSOARG00000003434
capra_hircus ENSCHIG00000011437
tursiops_truncatus ENSTTRG00000008707
sus_scrofa ENSSSCG00000010160
vicugna_pacos ENSVPAG00000007665
ursus_americanus ENSUAMG00000017075
ursus_maritimus ENSUMAG00000006730
ailuropoda_melanoleuca ENSAMEG00000003359
neovison_vison ENSNVIG00000007492
mustela_putorius_furo ENSMPUG00000002802
canis_lupus_familiaris ENSCAFG00000011533
canis_lupus_dingo ENSCAFG00020027141
vulpes_vulpes ENSVVUG00000007460
panthera_tigris_altaica ENSPTIG00000009281
panthera_pardus ENSPPRG00000013561
felis_catus ENSFCAG00000014183
equus_caballus ENSECAG00000023673
equus_asinus_asinus ENSEASG00005000252
homo_sapiens ENSG00000059588
gorilla_gorilla ENSGGOG00000022879
pan_troglodytes ENSPTRG00000002124
pan_paniscus ENSPPAG00000028097
pongo_abelii ENSPPYG00000000102
nomascus_leucogenys ENSNLEG00000002518
mandrillus_leucophaeus ENSMLEG00000044182
cercocebus_atys ENSCATG00000011754
theropithecus_gelada ENSTGEG00000012830
papio_anubis ENSPANG00000021933
macaca_fascicularis ENSMFAG00000041068
macaca_mulatta ENSMMUG00000021703
macaca_nemestrina ENSMNEG00000045002
chlorocebus_sabaeus ENSCSAG00000010100
colobus_angolensis_palliatus ENSCANG00000034343
piliocolobus_tephrosceles ENSPTEG00000035886
rhinopithecus_roxellana ENSRROG00000029527
rhinopithecus_bieti ENSRBIG00000043362
saimiri_boliviensis_boliviensis ENSSBOG00000034503
callithrix_jacchus ENSCJAG00000018155
cebus_capucinus_imitator ENSCCAG00000037278
aotus_nancymaae ENSANAG00000022031
carlito_syrichta ENSTSYG00000010382
propithecus_coquereli ENSPCOG00000005666
microcebus_murinus ENSMICG00000015280
otolemur_garnettii ENSOGAG00000002379
oryctolagus_cuniculus ENSOCUG00000017418
ochotona_princeps ENSOPRG00000013822
sorex_araneus ENSSARG00000012207
erinaceus_europaeus ENSEEUG00000009210
dasypus_novemcinctus ENSDNOG00000008637
choloepus_hoffmanni ENSCHOG00000008680
loxodonta_africana ENSLAFG00000011394
procavia_capensis ENSPCAG00000004808
echinops_telfairi ENSETEG00000004737
castor_canadensis ENSCCNG00000005101
castor_canadensis ENSCCNG00000013248
dipodomys_ordii ENSDORG00000007984
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016690
cricetulus_griseus_crigri_1.0 ENSCGRG00000016893
cricetulus_griseus_crigri-picr ENSCGRG00015007382
mesocricetus_auratus ENSMAUG00000020968
peromyscus_maniculatus_bairdii ENSPEMG00000006888
microtus_ochrogaster ENSMOCG00000004128
mus_spicilegus ENSMSIG00000022537
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032846
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090290
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031729
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023326
rattus_norvegicus ENSRNOG00000053574
meriones_unguiculatus ENSMUGG00000008538
nannospalax_galili ENSNGAG00000012556
jaculus_jaculus ENSJJAG00000017840
urocitellus_parryii ENSUPAG00010021424
ictidomys_tridecemlineatus ENSSTOG00000032291
marmota_marmota_marmota ENSMMMG00000015900
chinchilla_lanigera ENSCLAG00000003655
octodon_degus ENSODEG00000005238
cavia_porcellus ENSCPOG00000013995
cavia_aperea ENSCAPG00000010831
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011592
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015169
fukomys_damarensis ENSFDAG00000001308
tupaia_belangeri ENSTBEG00000001932
pteropus_vampyrus ENSPVAG00000014798
myotis_lucifugus ENSMLUG00000002414
xenopus_tropicalis ENSXETG00000016224
latimeria_chalumnae ENSLACG00000004337
petromyzon_marinus ENSPMAG00000005848
ciona_intestinalis ENSCING00000006232
ciona_savignyi ENSCSAVG00000005745
saccharomyces_cerevisiae_strain_s288c YDL112W
