macaca_fascicularis ENSMFAG00000029059
macaca_nemestrina ENSMNEG00000037974
cercocebus_atys ENSCATG00000018741
theropithecus_gelada ENSTGEG00000011881
papio_anubis ENSPANG00000032618
mandrillus_leucophaeus ENSMLEG00000027410
rhinopithecus_bieti ENSRBIG00000036061
rhinopithecus_roxellana ENSRROG00000007870
colobus_angolensis_palliatus ENSCANG00000040751
pan_troglodytes ENSPTRG00000047302
pan_troglodytes ENSPTRG00000043423
pan_paniscus ENSPPAG00000042175
gorilla_gorilla ENSGGOG00000041822
cebus_capucinus_imitator ENSCCAG00000028727
