cyanistes_caeruleus ENSCCEG00000009494
serinus_canaria ENSSCAG00000011947
ficedula_albicollis ENSFALG00000011777
taeniopygia_guttata ENSTGUG00000008616
anser_brachyrhynchus ENSABRG00000020233
nothoprocta_perdicaria ENSNPEG00000006753
zonotrichia_albicollis ENSZALG00000003365
parus_major ENSPMJG00000015114
junco_hyemalis ENSJHYG00000001571
calidris_pygmaea ENSCPGG00000013704
calidris_pugnax ENSCPUG00000002684
numida_meleagris ENSNMEG00000018197
coturnix_japonica ENSCJPG00005013293
anas_platyrhynchos_platyrhynchos ENSAPLG00000017901
apteryx_rowi ENSARWG00000000099
apteryx_haastii ENSAHAG00000018746
apteryx_owenii ENSAOWG00000007726
dromaius_novaehollandiae ENSDNVG00000006532
