panthera_tigris_altaica ENSPTIG00000013917
panthera_pardus ENSPPRG00000024311
felis_catus ENSFCAG00000024655
canis_lupus_familiaris ENSCAFG00000023065
canis_lupus_dingo ENSCAFG00020012995
vulpes_vulpes ENSVVUG00000029342
ursus_americanus ENSUAMG00000009773
ursus_maritimus ENSUMAG00000004590
ailuropoda_melanoleuca ENSAMEG00000008751
neovison_vison ENSNVIG00000004419
pteropus_vampyrus ENSPVAG00000013998
sus_scrofa ENSSSCG00000001743
vicugna_pacos ENSVPAG00000012129
erinaceus_europaeus ENSEEUG00000011238
equus_caballus ENSECAG00000012256
equus_asinus_asinus ENSEASG00005004137
capra_hircus ENSCHIG00000017625
ovis_aries ENSOARG00000012628
bos_taurus ENSBTAG00000051453
myotis_lucifugus ENSMLUG00000006294
microtus_ochrogaster ENSMOCG00000014245
mesocricetus_auratus ENSMAUG00000005698
peromyscus_maniculatus_bairdii ENSPEMG00000031425
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000067773
mus_spicilegus ENSMSIG00000027149
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014783
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0013978
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027228
rattus_norvegicus ENSRNOG00000039640
cavia_porcellus ENSCPOG00000004557
cavia_aperea ENSCAPG00000007503
chinchilla_lanigera ENSCLAG00000011894
fukomys_damarensis ENSFDAG00000020177
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004350
ictidomys_tridecemlineatus ENSSTOG00000033113
spermophilus_dauricus ENSSDAG00000006615
tupaia_belangeri ENSTBEG00000016589
saimiri_boliviensis_boliviensis ENSSBOG00000019583
cebus_capucinus_imitator ENSCCAG00000030485
callithrix_jacchus ENSCJAG00000011602
aotus_nancymaae ENSANAG00000027463
pan_paniscus ENSPPAG00000042577
pan_troglodytes ENSPTRG00000029615
homo_sapiens ENSG00000203970
gorilla_gorilla ENSGGOG00000001322
pongo_abelii ENSPPYG00000016697
nomascus_leucogenys ENSNLEG00000003996
chlorocebus_sabaeus ENSCSAG00000012904
cercocebus_atys ENSCATG00000038500
papio_anubis ENSPANG00000006857
theropithecus_gelada ENSTGEG00000000293
mandrillus_leucophaeus ENSMLEG00000031600
macaca_nemestrina ENSMNEG00000042902
macaca_fascicularis ENSMFAG00000045112
rhinopithecus_roxellana ENSRROG00000034953
rhinopithecus_bieti ENSRBIG00000030990
colobus_angolensis_palliatus ENSCANG00000033046
microcebus_murinus ENSMICG00000047331
otolemur_garnettii ENSOGAG00000016643
oryctolagus_cuniculus ENSOCUG00000015973
ochotona_princeps ENSOPRG00000014233
choloepus_hoffmanni ENSCHOG00000000283
dasypus_novemcinctus ENSDNOG00000015443
procavia_capensis ENSPCAG00000001996
