cebus_capucinus_imitator ENSCCAG00000031512
saimiri_boliviensis_boliviensis ENSSBOG00000029886
callithrix_jacchus ENSCJAG00000002058
aotus_nancymaae ENSANAG00000028503
gorilla_gorilla ENSGGOG00000022712
homo_sapiens ENSG00000196267
pan_troglodytes ENSPTRG00000023174
pan_paniscus ENSPPAG00000027463
pongo_abelii ENSPPYG00000010335
nomascus_leucogenys ENSNLEG00000005991
cercocebus_atys ENSCATG00000031154
mandrillus_leucophaeus ENSMLEG00000034727
macaca_nemestrina ENSMNEG00000031661
macaca_fascicularis ENSMFAG00000035733
macaca_mulatta ENSMMUG00000001999
papio_anubis ENSPANG00000004571
theropithecus_gelada ENSTGEG00000004660
chlorocebus_sabaeus ENSCSAG00000001992
rhinopithecus_bieti ENSRBIG00000011854
rhinopithecus_roxellana ENSRROG00000022527
piliocolobus_tephrosceles ENSPTEG00000024901
colobus_angolensis_palliatus ENSCANG00000032977
