junco_hyemalis ENSJHYG00000008991
zonotrichia_albicollis ENSZALG00000009524
serinus_canaria ENSSCAG00000010779
taeniopygia_guttata ENSTGUG00000001346
lonchura_striata_domestica ENSLSDG00000007655
cyanistes_caeruleus ENSCCEG00000013445
ficedula_albicollis ENSFALG00000015042
calidris_pugnax ENSCPUG00000006263
anser_brachyrhynchus ENSABRG00000016190
anas_platyrhynchos_platyrhynchos ENSAPLG00000023893
meleagris_gallopavo ENSMGAG00000008785
gallus_gallus ENSGALG00000037851
coturnix_japonica ENSCJPG00005020987
numida_meleagris ENSNMEG00000020488
apteryx_owenii ENSAOWG00000008642
apteryx_rowi ENSARWG00000001932
apteryx_haastii ENSAHAG00000007704
dromaius_novaehollandiae ENSDNVG00000010149
nothoprocta_perdicaria ENSNPEG00000002210
