dipodomys_ordii ENSDORG00000008272
castor_canadensis ENSCCNG00000024023
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023558
mus_spicilegus ENSMSIG00000031188
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024650
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022645
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014140
rattus_norvegicus ENSRNOG00000018215
meriones_unguiculatus ENSMUGG00000013863
cricetulus_griseus_crigri-picr ENSCGRG00015005467
cricetulus_griseus_crigri_1.0 ENSCGRG00000014669
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015989
mesocricetus_auratus ENSMAUG00000013676
microtus_ochrogaster ENSMOCG00000021104
peromyscus_maniculatus_bairdii ENSPEMG00000010064
nannospalax_galili ENSNGAG00000017578
jaculus_jaculus ENSJJAG00000009093
ictidomys_tridecemlineatus ENSSTOG00000007863
urocitellus_parryii ENSUPAG00010005504
spermophilus_dauricus ENSSDAG00000005772
marmota_marmota_marmota ENSMMMG00000003706
oryctolagus_cuniculus ENSOCUG00000025824
ochotona_princeps ENSOPRG00000011693
dasypus_novemcinctus ENSDNOG00000035908
papio_anubis ENSPANG00000013726
mandrillus_leucophaeus ENSMLEG00000031737
theropithecus_gelada ENSTGEG00000014961
cercocebus_atys ENSCATG00000033614
macaca_fascicularis ENSMFAG00000003484
macaca_mulatta ENSMMUG00000016227
macaca_nemestrina ENSMNEG00000043253
chlorocebus_sabaeus ENSCSAG00000006803
colobus_angolensis_palliatus ENSCANG00000043562
piliocolobus_tephrosceles ENSPTEG00000015675
rhinopithecus_roxellana ENSRROG00000028501
rhinopithecus_bieti ENSRBIG00000039106
pongo_abelii ENSPPYG00000003138
nomascus_leucogenys ENSNLEG00000004394
pan_paniscus ENSPPAG00000035836
pan_troglodytes ENSPTRG00000023694
homo_sapiens ENSG00000197901
gorilla_gorilla ENSGGOG00000003915
saimiri_boliviensis_boliviensis ENSSBOG00000016011
cebus_capucinus_imitator ENSCCAG00000029767
callithrix_jacchus ENSCJAG00000018534
aotus_nancymaae ENSANAG00000033554
carlito_syrichta ENSTSYG00000002150
prolemur_simus ENSPSMG00000023289
microcebus_murinus ENSMICG00000026456
propithecus_coquereli ENSPCOG00000017938
otolemur_garnettii ENSOGAG00000003585
tupaia_belangeri ENSTBEG00000000530
capra_hircus ENSCHIG00000023566
ovis_aries ENSOARG00000000386
bos_taurus ENSBTAG00000013642
bos_mutus ENSBMUG00000023728
bison_bison_bison ENSBBBG00000019919
tursiops_truncatus ENSTTRG00000002487
sus_scrofa ENSSSCG00000023571
ursus_americanus ENSUAMG00000017121
ursus_maritimus ENSUMAG00000014598
ailuropoda_melanoleuca ENSAMEG00000006012
mustela_putorius_furo ENSMPUG00000013551
neovison_vison ENSNVIG00000020357
canis_lupus_familiaris ENSCAFG00000015418
canis_lupus_dingo ENSCAFG00020013234
vulpes_vulpes ENSVVUG00000029822
panthera_pardus ENSPPRG00000000682
panthera_tigris_altaica ENSPTIG00000008570
felis_catus ENSFCAG00000005247
equus_asinus_asinus ENSEASG00005011412
equus_caballus ENSECAG00000010602
loxodonta_africana ENSLAFG00000009174
procavia_capensis ENSPCAG00000001050
echinops_telfairi ENSETEG00000014643
dasypus_novemcinctus ENSDNOG00000034059
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019254
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003133
fukomys_damarensis ENSFDAG00000017234
chinchilla_lanigera ENSCLAG00000001057
octodon_degus ENSODEG00000002780
cavia_aperea ENSCAPG00000014719
cavia_porcellus ENSCPOG00000015195
erinaceus_europaeus ENSEEUG00000006456
capra_hircus ENSCHIG00000027134
ovis_aries ENSOARG00000017871
bos_taurus ENSBTAG00000047110
bos_mutus ENSBMUG00000023697
bison_bison_bison ENSBBBG00000019891
equus_caballus ENSECAG00000034010
equus_asinus_asinus ENSEASG00005011406
notamacropus_eugenii ENSMEUG00000015504
phascolarctos_cinereus ENSPCIG00000015223
sarcophilus_harrisii ENSSHAG00000007804
monodelphis_domestica ENSMODG00000008309
sarcophilus_harrisii ENSSHAG00000005237
monodelphis_domestica ENSMODG00000021145
dasypus_novemcinctus ENSDNOG00000041790
myotis_lucifugus ENSMLUG00000024427
loxodonta_africana ENSLAFG00000029374
dasypus_novemcinctus ENSDNOG00000043719
mus_spicilegus ENSMSIG00000003460
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022366
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020700
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019803
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019813
rattus_norvegicus ENSRNOG00000004958
meriones_unguiculatus ENSMUGG00000024620
peromyscus_maniculatus_bairdii ENSPEMG00000004863
microtus_ochrogaster ENSMOCG00000017838
cricetulus_griseus_crigri-picr ENSCGRG00015007524
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000204
mesocricetus_auratus ENSMAUG00000014742
nannospalax_galili ENSNGAG00000009950
jaculus_jaculus ENSJJAG00000019774
urocitellus_parryii ENSUPAG00010002419
spermophilus_dauricus ENSSDAG00000020744
ictidomys_tridecemlineatus ENSSTOG00000021688
marmota_marmota_marmota ENSMMMG00000001230
castor_canadensis ENSCCNG00000014706
oryctolagus_cuniculus ENSOCUG00000027218
ornithorhynchus_anatinus ENSOANG00000009447
monodelphis_domestica ENSMODG00000008357
monodelphis_domestica ENSMODG00000008374
phascolarctos_cinereus ENSPCIG00000015537
notamacropus_eugenii ENSMEUG00000011843
sarcophilus_harrisii ENSSHAG00000005173
monodelphis_domestica ENSMODG00000028025
ornithorhynchus_anatinus ENSOANG00000020464
coturnix_japonica ENSCJPG00005005838
phascolarctos_cinereus ENSPCIG00000017395
monodelphis_domestica ENSMODG00000015659
sarcophilus_harrisii ENSSHAG00000004589
ornithorhynchus_anatinus ENSOANG00000020976
chelonoidis_abingdonii ENSCABG00000021431
gopherus_agassizii ENSGAGG00000005094
gopherus_agassizii ENSGAGG00000007209
chrysemys_picta_bellii ENSCPBG00000023679
