anas_platyrhynchos_platyrhynchos ENSAPLG00000005368
anser_brachyrhynchus ENSABRG00000017375
coturnix_japonica ENSCJPG00005013209
meleagris_gallopavo ENSMGAG00000014813
numida_meleagris ENSNMEG00000017718
calidris_pygmaea ENSCPGG00000003369
calidris_pugnax ENSCPUG00000007261
melopsittacus_undulatus ENSMUNG00000012999
junco_hyemalis ENSJHYG00000018431
zonotrichia_albicollis ENSZALG00000016283
serinus_canaria ENSSCAG00000002935
taeniopygia_guttata ENSTGUG00000009828
taeniopygia_guttata ENSTGUG00000014767
lonchura_striata_domestica ENSLSDG00000015468
cyanistes_caeruleus ENSCCEG00000022584
parus_major ENSPMJG00000011664
ficedula_albicollis ENSFALG00000003679
manacus_vitellinus ENSMVIG00005017391
lepidothrix_coronata ENSLCOG00000014219
apteryx_haastii ENSAHAG00000012172
apteryx_rowi ENSARWG00000003383
apteryx_owenii ENSAOWG00000007717
dromaius_novaehollandiae ENSDNVG00000005346
nothoprocta_perdicaria ENSNPEG00000006891
crocodylus_porosus ENSCPRG00005014401
gopherus_agassizii ENSGAGG00000019436
chelonoidis_abingdonii ENSCABG00000011439
chrysemys_picta_bellii ENSCPBG00000007287
pelodiscus_sinensis ENSPSIG00000007354
pogona_vitticeps ENSPVIG00000022178
notechis_scutatus ENSNSUG00000002050
salvator_merianae ENSSMRG00000004192
sphenodon_punctatus ENSSPUG00000005720
phascolarctos_cinereus ENSPCIG00000001448
notamacropus_eugenii ENSMEUG00000008128
sarcophilus_harrisii ENSSHAG00000003225
monodelphis_domestica ENSMODG00000002416
pteropus_vampyrus ENSPVAG00000005876
myotis_lucifugus ENSMLUG00000000828
capra_hircus ENSCHIG00000003162
ovis_aries ENSOARG00000013068
bos_mutus ENSBMUG00000002918
bos_taurus ENSBTAG00000024075
bison_bison_bison ENSBBBG00000021388
tursiops_truncatus ENSTTRG00000011173
sus_scrofa ENSSSCG00000008155
vicugna_pacos ENSVPAG00000008858
erinaceus_europaeus ENSEEUG00000002129
sorex_araneus ENSSARG00000012572
ursus_maritimus ENSUMAG00000020834
ursus_americanus ENSUAMG00000006459
ailuropoda_melanoleuca ENSAMEG00000013201
mustela_putorius_furo ENSMPUG00000010866
neovison_vison ENSNVIG00000019260
canis_lupus_dingo ENSCAFG00020010554
canis_lupus_familiaris ENSCAFG00000029466
vulpes_vulpes ENSVVUG00000012698
panthera_tigris_altaica ENSPTIG00000021921
panthera_pardus ENSPPRG00000009096
felis_catus ENSFCAG00000018204
equus_asinus_asinus ENSEASG00005022063
equus_caballus ENSECAG00000021967
gorilla_gorilla ENSGGOG00000014583
homo_sapiens ENSG00000180251
pan_troglodytes ENSPTRG00000012304
pan_paniscus ENSPPAG00000033960
pongo_abelii ENSPPYG00000012114
nomascus_leucogenys ENSNLEG00000014687
piliocolobus_tephrosceles ENSPTEG00000019139
colobus_angolensis_palliatus ENSCANG00000030966
rhinopithecus_bieti ENSRBIG00000038959
rhinopithecus_roxellana ENSRROG00000042094
papio_anubis ENSPANG00000019901
theropithecus_gelada ENSTGEG00000004714
mandrillus_leucophaeus ENSMLEG00000014766
cercocebus_atys ENSCATG00000034216
macaca_mulatta ENSMMUG00000004164
macaca_fascicularis ENSMFAG00000044816
macaca_nemestrina ENSMNEG00000043901
chlorocebus_sabaeus ENSCSAG00000017094
cebus_capucinus_imitator ENSCCAG00000020485
saimiri_boliviensis_boliviensis ENSSBOG00000033687
callithrix_jacchus ENSCJAG00000008163
aotus_nancymaae ENSANAG00000035161
carlito_syrichta ENSTSYG00000011942
propithecus_coquereli ENSPCOG00000021248
microcebus_murinus ENSMICG00000039809
prolemur_simus ENSPSMG00000021533
otolemur_garnettii ENSOGAG00000014009
tupaia_belangeri ENSTBEG00000005803
castor_canadensis ENSCCNG00000024263
dipodomys_ordii ENSDORG00000009801
mus_spicilegus ENSMSIG00000025357
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014887
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026065
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014083
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027328
rattus_norvegicus ENSRNOG00000015306
meriones_unguiculatus ENSMUGG00000025783
peromyscus_maniculatus_bairdii ENSPEMG00000017892
microtus_ochrogaster ENSMOCG00000019168
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013202
cricetulus_griseus_crigri_1.0 ENSCGRG00000002639
cricetulus_griseus_crigri-picr ENSCGRG00015005921
mesocricetus_auratus ENSMAUG00000011978
nannospalax_galili ENSNGAG00000003462
jaculus_jaculus ENSJJAG00000016032
ictidomys_tridecemlineatus ENSSTOG00000004218
urocitellus_parryii ENSUPAG00010010967
marmota_marmota_marmota ENSMMMG00000018936
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015136
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014541
fukomys_damarensis ENSFDAG00000016297
chinchilla_lanigera ENSCLAG00000005526
octodon_degus ENSODEG00000010039
cavia_porcellus ENSCPOG00000033768
cavia_aperea ENSCAPG00000007434
oryctolagus_cuniculus ENSOCUG00000006075
ochotona_princeps ENSOPRG00000001278
dasypus_novemcinctus ENSDNOG00000002284
choloepus_hoffmanni ENSCHOG00000007695
loxodonta_africana ENSLAFG00000011553
echinops_telfairi ENSETEG00000018115
procavia_capensis ENSPCAG00000014845
ornithorhynchus_anatinus ENSOANG00000012242
xenopus_tropicalis ENSXETG00000033166
