kryptolebias_marmoratus ENSKMAG00000012337
cyprinodon_variegatus ENSCVAG00000022331
oryzias_melastigma ENSOMEG00000021005
oryzias_latipes_asm223471v1 ENSORLG00020001425
amphiprion_ocellaris ENSAOCG00000015953
amphiprion_percula ENSAPEG00000003285
stegastes_partitus ENSSPAG00000005149
acanthochromis_polyacanthus ENSAPOG00000006633
acanthochromis_polyacanthus ENSAPOG00000006642
hippocampus_comes ENSHCOG00000008551
cynoglossus_semilaevis ENSCSEG00000020531
periophthalmus_magnuspinnatus ENSPMGG00000017150
danio_rerio ENSDARG00000110464
scleropages_formosus ENSSFOG00015019478
apteryx_rowi ENSARWG00000003146
cricetulus_griseus_crigri-picr ENSCGRG00015018602
