ciona_savignyi ENSCSAVG00000003527
ciona_intestinalis ENSCING00000020031
drosophila_melanogaster FBgn0261789
caenorhabditis_elegans_strain_n2 WBGene00004917
cebus_capucinus_imitator ENSCCAG00000020956
cebus_capucinus_imitator ENSCCAG00000018327
ochotona_princeps ENSOPRG00000008321
panthera_tigris_altaica ENSPTIG00000006666
ailuropoda_melanoleuca ENSAMEG00000000818
pteropus_vampyrus ENSPVAG00000001345
ovis_aries ENSOARG00000010203
carlito_syrichta ENSTSYG00000011207
otolemur_garnettii ENSOGAG00000030128
octodon_degus ENSODEG00000008857
octodon_degus ENSODEG00000012799
cavia_porcellus ENSCPOG00000035154
cavia_aperea ENSCAPG00000011695
monodelphis_domestica ENSMODG00000021539
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003078
cricetulus_griseus_crigri-picr ENSCGRG00015024261
cricetulus_griseus_crigri_1.0 ENSCGRG00000011635
mus_spicilegus ENSMSIG00000015966
canis_lupus_familiaris ENSCAFG00000000634
canis_lupus_dingo ENSCAFG00020002921
vulpes_vulpes ENSVVUG00000016748
sarcophilus_harrisii ENSSHAG00000003772
sorex_araneus ENSSARG00000009167
ornithorhynchus_anatinus ENSOANG00000000813
anolis_carolinensis ENSACAG00000016779
mustela_putorius_furo ENSMPUG00000005733
calidris_pygmaea ENSCPGG00000009555
dasypus_novemcinctus ENSDNOG00000002365
loxodonta_africana ENSLAFG00000004205
zonotrichia_albicollis ENSZALG00000000531
chelonoidis_abingdonii ENSCABG00000013521
pelodiscus_sinensis ENSPSIG00000015823
phascolarctos_cinereus ENSPCIG00000022986
capra_hircus ENSCHIG00000015755
xenopus_tropicalis ENSXETG00000002173
vulpes_vulpes ENSVVUG00000003181
canis_lupus_dingo ENSCAFG00020003532
equus_caballus ENSECAG00000007824
ovis_aries ENSOARG00000016742
macaca_fascicularis ENSMFAG00000009957
macaca_mulatta ENSMMUG00000032525
macaca_nemestrina ENSMNEG00000010649
macaca_mulatta ENSMMUG00000006937
mandrillus_leucophaeus ENSMLEG00000008325
colobus_angolensis_palliatus ENSCANG00000002575
callithrix_jacchus ENSCJAG00000040939
aotus_nancymaae ENSANAG00000019777
prolemur_simus ENSPSMG00000020391
octodon_degus ENSODEG00000020096
microtus_ochrogaster ENSMOCG00000006567
ursus_maritimus ENSUMAG00000024241
ursus_americanus ENSUAMG00000008271
capra_hircus ENSCHIG00000016476
myotis_lucifugus ENSMLUG00000025417
myotis_lucifugus ENSMLUG00000026025
colobus_angolensis_palliatus ENSCANG00000018415
theropithecus_gelada ENSTGEG00000027405
macaca_nemestrina ENSMNEG00000039787
callithrix_jacchus ENSCJAG00000044478
callithrix_jacchus ENSCJAG00000047642
cebus_capucinus_imitator ENSCCAG00000011183
callithrix_jacchus ENSCJAG00000042953
cebus_capucinus_imitator ENSCCAG00000030191
aotus_nancymaae ENSANAG00000017079
octodon_degus ENSODEG00000020094
ursus_maritimus ENSUMAG00000023685
ursus_americanus ENSUAMG00000023173
neovison_vison ENSNVIG00000009077
felis_catus ENSFCAG00000022530
bos_taurus ENSBTAG00000012177
myotis_lucifugus ENSMLUG00000001306
chinchilla_lanigera ENSCLAG00000000931
cricetulus_griseus_crigri-picr ENSCGRG00015007921
papio_anubis ENSPANG00000008802
macaca_fascicularis ENSMFAG00000045767
rhinopithecus_roxellana ENSRROG00000034764
saimiri_boliviensis_boliviensis ENSSBOG00000009827
pan_troglodytes ENSPTRG00000011162
homo_sapiens ENSG00000125743
cebus_capucinus_imitator ENSCCAG00000007393
saimiri_boliviensis_boliviensis ENSSBOG00000019992
aotus_nancymaae ENSANAG00000003063
papio_anubis ENSPANG00000017743
propithecus_coquereli ENSPCOG00000001429
peromyscus_maniculatus_bairdii ENSPEMG00000004117
microtus_ochrogaster ENSMOCG00000017135
rattus_norvegicus ENSRNOG00000015844
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030359
mus_spicilegus ENSMSIG00000005096
mesocricetus_auratus ENSMAUG00000018849
spermophilus_dauricus ENSSDAG00000011317
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015694
pongo_abelii ENSPPYG00000010129
gorilla_gorilla ENSGGOG00000002350
theropithecus_gelada ENSTGEG00000016121
propithecus_coquereli ENSPCOG00000028811
