xiphophorus_couchianus ENSXCOG00000016247
gambusia_affinis ENSGAFG00000007669
poecilia_latipinna ENSPLAG00000005852
cyprinodon_variegatus ENSCVAG00000003855
fundulus_heteroclitus ENSFHEG00000003559
oryzias_melastigma ENSOMEG00000022828
oryzias_latipes_asm223467v1 ENSORLG00000028924
amphiprion_percula ENSAPEG00000008285
stegastes_partitus ENSSPAG00000000065
neolamprologus_brichardi ENSNBRG00000004789
haplochromis_burtoni ENSHBUG00000007838
amphilophus_citrinellus ENSACIG00000000955
seriola_lalandi_dorsalis ENSSLDG00000005526
mastacembelus_armatus ENSMAMG00000006692
labrus_bergylta ENSLBEG00000009516
esox_lucius ENSELUG00000005185
