otolemur_garnettii ENSOGAG00000026048
castor_canadensis ENSCCNG00000011886
myotis_lucifugus ENSMLUG00000029117
myotis_lucifugus ENSMLUG00000025216
pteropus_vampyrus ENSPVAG00000012839
bos_mutus ENSBMUG00000025850
bison_bison_bison ENSBBBG00000018130
ovis_aries ENSOARG00000014495
vicugna_pacos ENSVPAG00000010888
loxodonta_africana ENSLAFG00000020859
procavia_capensis ENSPCAG00000001946
notamacropus_eugenii ENSMEUG00000015412
manacus_vitellinus ENSMVIG00005016040
lepidothrix_coronata ENSLCOG00000004126
lonchura_striata_domestica ENSLSDG00000014084
ficedula_albicollis ENSFALG00000005204
calidris_pygmaea ENSCPGG00000000379
gallus_gallus ENSGALG00000055117
apteryx_owenii ENSAOWG00000009937
apteryx_haastii ENSAHAG00000008081
apteryx_rowi ENSARWG00000016086
nothoprocta_perdicaria ENSNPEG00000014035
crocodylus_porosus ENSCPRG00005018291
chelonoidis_abingdonii ENSCABG00000012537
pogona_vitticeps ENSPVIG00000006741
