piliocolobus_tephrosceles ENSPTEG00000015500
colobus_angolensis_palliatus ENSCANG00000042588
rhinopithecus_bieti ENSRBIG00000038454
rhinopithecus_roxellana ENSRROG00000008411
macaca_nemestrina ENSMNEG00000026732
macaca_mulatta ENSMMUG00000041351
macaca_fascicularis ENSMFAG00000004331
theropithecus_gelada ENSTGEG00000013836
cercocebus_atys ENSCATG00000043482
papio_anubis ENSPANG00000018916
mandrillus_leucophaeus ENSMLEG00000028222
gorilla_gorilla ENSGGOG00000023285
pan_troglodytes ENSPTRG00000016173
homo_sapiens ENSG00000174792
nomascus_leucogenys ENSNLEG00000007979
saimiri_boliviensis_boliviensis ENSSBOG00000030615
cebus_capucinus_imitator ENSCCAG00000021891
microcebus_murinus ENSMICG00000027502
