rhinopithecus_roxellana ENSRROG00000004732
rhinopithecus_bieti ENSRBIG00000030045
piliocolobus_tephrosceles ENSPTEG00000023991
colobus_angolensis_palliatus ENSCANG00000024688
papio_anubis ENSPANG00000031061
theropithecus_gelada ENSTGEG00000002249
cercocebus_atys ENSCATG00000020143
macaca_fascicularis ENSMFAG00000030877
macaca_nemestrina ENSMNEG00000012411
macaca_mulatta ENSMMUG00000041034
pan_troglodytes ENSPTRG00000046034
pan_paniscus ENSPPAG00000028705
gorilla_gorilla ENSGGOG00000043994
nomascus_leucogenys ENSNLEG00000031410
microcebus_murinus ENSMICG00000049372
