pteropus_vampyrus ENSPVAG00000012705
myotis_lucifugus ENSMLUG00000009066
vicugna_pacos ENSVPAG00000002148
equus_caballus ENSECAG00000024043
equus_asinus_asinus ENSEASG00005015467
ursus_maritimus ENSUMAG00000025225
ailuropoda_melanoleuca ENSAMEG00000014297
neovison_vison ENSNVIG00000014470
mustela_putorius_furo ENSMPUG00000004783
canis_lupus_familiaris ENSCAFG00000011877
canis_lupus_dingo ENSCAFG00020005785
vulpes_vulpes ENSVVUG00000022498
panthera_tigris_altaica ENSPTIG00000014105
panthera_pardus ENSPPRG00000012891
felis_catus ENSFCAG00000008718
tursiops_truncatus ENSTTRG00000013397
pan_troglodytes ENSPTRG00000015290
pan_paniscus ENSPPAG00000042804
homo_sapiens ENSG00000121552
gorilla_gorilla ENSGGOG00000024959
pongo_abelii ENSPPYG00000013487
nomascus_leucogenys ENSNLEG00000000289
rhinopithecus_roxellana ENSRROG00000042404
rhinopithecus_bieti ENSRBIG00000027845
colobus_angolensis_palliatus ENSCANG00000038199
piliocolobus_tephrosceles ENSPTEG00000017585
mandrillus_leucophaeus ENSMLEG00000032600
cercocebus_atys ENSCATG00000037381
chlorocebus_sabaeus ENSCSAG00000007377
macaca_fascicularis ENSMFAG00000044624
macaca_nemestrina ENSMNEG00000035064
macaca_mulatta ENSMMUG00000006269
theropithecus_gelada ENSTGEG00000007232
papio_anubis ENSPANG00000022047
cebus_capucinus_imitator ENSCCAG00000034510
saimiri_boliviensis_boliviensis ENSSBOG00000032240
callithrix_jacchus ENSCJAG00000039985
aotus_nancymaae ENSANAG00000021670
carlito_syrichta ENSTSYG00000013795
microcebus_murinus ENSMICG00000049119
microcebus_murinus ENSMICG00000049550
microcebus_murinus ENSMICG00000049409
prolemur_simus ENSPSMG00000005879
mus_spicilegus ENSMSIG00000004928
mus_spicilegus ENSMSIG00000008288
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034362
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021611
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020713
rattus_norvegicus ENSRNOG00000023953
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000095620
mus_spicilegus ENSMSIG00000004773
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079597
mus_spicilegus ENSMSIG00000004876
rattus_norvegicus ENSRNOG00000045804
mus_spicilegus ENSMSIG00000004863
rattus_norvegicus ENSRNOG00000030984
rattus_norvegicus ENSRNOG00000050110
rattus_norvegicus ENSRNOG00000050586
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000059657
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022902
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021612
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021613
rattus_norvegicus ENSRNOG00000033929
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054905
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021615
mus_spicilegus ENSMSIG00000004743
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020715
rattus_norvegicus ENSRNOG00000033933
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094733
mus_spicilegus ENSMSIG00000004900
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000071561
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000071562
mus_spicilegus ENSMSIG00000004796
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079594
rattus_norvegicus ENSRNOG00000032728
meriones_unguiculatus ENSMUGG00000000496
cricetulus_griseus_crigri-picr ENSCGRG00015018323
cricetulus_griseus_crigri_1.0 ENSCGRG00000004495
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013254
mesocricetus_auratus ENSMAUG00000011953
peromyscus_maniculatus_bairdii ENSPEMG00000003391
microtus_ochrogaster ENSMOCG00000004379
nannospalax_galili ENSNGAG00000000990
jaculus_jaculus ENSJJAG00000005528
urocitellus_parryii ENSUPAG00010020512
spermophilus_dauricus ENSSDAG00000006827
ictidomys_tridecemlineatus ENSSTOG00000028515
marmota_marmota_marmota ENSMMMG00000013578
castor_canadensis ENSCCNG00000004285
castor_canadensis ENSCCNG00000004116
dipodomys_ordii ENSDORG00000003164
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001592
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002381
fukomys_damarensis ENSFDAG00000008647
fukomys_damarensis ENSFDAG00000001348
cavia_aperea ENSCAPG00000015349
cavia_porcellus ENSCPOG00000008691
cavia_aperea ENSCAPG00000011419
cavia_porcellus ENSCPOG00000033142
chinchilla_lanigera ENSCLAG00000012262
octodon_degus ENSODEG00000007909
oryctolagus_cuniculus ENSOCUG00000029025
propithecus_coquereli ENSPCOG00000016710
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023133
dasypus_novemcinctus ENSDNOG00000033555
ovis_aries ENSOARG00000020121
capra_hircus ENSCHIG00000017256
bos_mutus ENSBMUG00000014423
bos_taurus ENSBTAG00000010688
bison_bison_bison ENSBBBG00000011929
sus_scrofa ENSSSCG00000028871
sorex_araneus ENSSARG00000004041
erinaceus_europaeus ENSEEUG00000008806
otolemur_garnettii ENSOGAG00000032747
choloepus_hoffmanni ENSCHOG00000007780
loxodonta_africana ENSLAFG00000016046
notamacropus_eugenii ENSMEUG00000013578
phascolarctos_cinereus ENSPCIG00000025712
monodelphis_domestica ENSMODG00000018295
monodelphis_domestica ENSMODG00000018296
sarcophilus_harrisii ENSSHAG00000013559
myotis_lucifugus ENSMLUG00000029819
ornithorhynchus_anatinus ENSOANG00000008653
chrysemys_picta_bellii ENSCPBG00000000611
chrysemys_picta_bellii ENSCPBG00000000698
chrysemys_picta_bellii ENSCPBG00000004197
chrysemys_picta_bellii ENSCPBG00000000710
gopherus_agassizii ENSGAGG00000019660
chelonoidis_abingdonii ENSCABG00000001696
pelodiscus_sinensis ENSPSIG00000017000
lepidothrix_coronata ENSLCOG00000001996
manacus_vitellinus ENSMVIG00005012283
taeniopygia_guttata ENSTGUG00000013346
lonchura_striata_domestica ENSLSDG00000006720
serinus_canaria ENSSCAG00000011490
junco_hyemalis ENSJHYG00000009479
zonotrichia_albicollis ENSZALG00000018012
parus_major ENSPMJG00000010103
cyanistes_caeruleus ENSCCEG00000015115
ficedula_albicollis ENSFALG00000004961
manacus_vitellinus ENSMVIG00005019327
manacus_vitellinus ENSMVIG00005016671
manacus_vitellinus ENSMVIG00005012287
calidris_pygmaea ENSCPGG00000006349
calidris_pugnax ENSCPUG00000006011
melopsittacus_undulatus ENSMUNG00000004732
gallus_gallus ENSGALG00000014412
meleagris_gallopavo ENSMGAG00000013994
numida_meleagris ENSNMEG00000016916
apteryx_haastii ENSAHAG00000011633
apteryx_owenii ENSAOWG00000005626
apteryx_rowi ENSARWG00000008769
dromaius_novaehollandiae ENSDNVG00000015957
nothoprocta_perdicaria ENSNPEG00000008762
anolis_carolinensis ENSACAG00000015604
anolis_carolinensis ENSACAG00000015627
salvator_merianae ENSSMRG00000011070
anolis_carolinensis ENSACAG00000029512
pogona_vitticeps ENSPVIG00000021379
notechis_scutatus ENSNSUG00000007152
xenopus_tropicalis ENSXETG00000032236
oryzias_latipes_asm223471v1 ENSORLG00020013489
oryzias_latipes_asm223471v1 ENSORLG00020013446
oryzias_melastigma ENSOMEG00000017181
haplochromis_burtoni ENSHBUG00000016899
astatotilapia_calliptera ENSACLG00000026957
pundamilia_nyererei ENSPNYG00000004417
maylandia_zebra ENSMZEG00005021972
astatotilapia_calliptera ENSACLG00000026901
maylandia_zebra ENSMZEG00005021970
pundamilia_nyererei ENSPNYG00000004408
haplochromis_burtoni ENSHBUG00000016985
astatotilapia_calliptera ENSACLG00000026940
astatotilapia_calliptera ENSACLG00000026906
haplochromis_burtoni ENSHBUG00000016993
astatotilapia_calliptera ENSACLG00000026892
neolamprologus_brichardi ENSNBRG00000022779
amphilophus_citrinellus ENSACIG00000021911
amphilophus_citrinellus ENSACIG00000021383
periophthalmus_magnuspinnatus ENSPMGG00000023691
monopterus_albus ENSMALG00000021557
neolamprologus_brichardi ENSNBRG00000022630
oreochromis_niloticus ENSONIG00000005767
oreochromis_niloticus ENSONIG00000005768
amphilophus_citrinellus ENSACIG00000021286
poecilia_reticulata ENSPREG00000020397
amphiprion_ocellaris ENSAOCG00000009622
amphiprion_ocellaris ENSAOCG00000009607
amphiprion_percula ENSAPEG00000019211
anabas_testudineus ENSATEG00000009500
kryptolebias_marmoratus ENSKMAG00000009919
kryptolebias_marmoratus ENSKMAG00000009946
kryptolebias_marmoratus ENSKMAG00000009931
xiphophorus_maculatus ENSXMAG00000030037
xiphophorus_couchianus ENSXCOG00000009964
anabas_testudineus ENSATEG00000015929
mola_mola ENSMMOG00000009848
seriola_lalandi_dorsalis ENSSLDG00000013580
seriola_lalandi_dorsalis ENSSLDG00000003226
seriola_dumerili ENSSDUG00000015517
seriola_dumerili ENSSDUG00000016479
seriola_lalandi_dorsalis ENSSLDG00000013715
pygocentrus_nattereri ENSPNAG00000004571
pygocentrus_nattereri ENSPNAG00000018311
danio_rerio ENSDARG00000117133
