capra_hircus ENSCHIG00000004885
ovis_aries ENSOARG00000007209
bos_mutus ENSBMUG00000020847
bos_taurus ENSBTAG00000010994
bison_bison_bison ENSBBBG00000001887
tursiops_truncatus ENSTTRG00000006666
vicugna_pacos ENSVPAG00000006415
sus_scrofa ENSSSCG00000038918
erinaceus_europaeus ENSEEUG00000004314
pteropus_vampyrus ENSPVAG00000010479
myotis_lucifugus ENSMLUG00000000850
ursus_americanus ENSUAMG00000014784
ursus_maritimus ENSUMAG00000011517
ailuropoda_melanoleuca ENSAMEG00000010968
mustela_putorius_furo ENSMPUG00000003426
neovison_vison ENSNVIG00000013963
canis_lupus_familiaris ENSCAFG00000012434
canis_lupus_dingo ENSCAFG00020015507
vulpes_vulpes ENSVVUG00000027004
panthera_pardus ENSPPRG00000004349
felis_catus ENSFCAG00000007389
equus_caballus ENSECAG00000022139
equus_asinus_asinus ENSEASG00005005052
choloepus_hoffmanni ENSCHOG00000011032
dasypus_novemcinctus ENSDNOG00000009351
sorex_araneus ENSSARG00000006497
castor_canadensis ENSCCNG00000024441
dipodomys_ordii ENSDORG00000009169
cricetulus_griseus_crigri_1.0 ENSCGRG00000009158
cricetulus_griseus_crigri-picr ENSCGRG00015017289
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000078
mesocricetus_auratus ENSMAUG00000015809
peromyscus_maniculatus_bairdii ENSPEMG00000012907
microtus_ochrogaster ENSMOCG00000015786
mus_spicilegus ENSMSIG00000004954
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023434
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000083282
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022520
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014017
rattus_norvegicus ENSRNOG00000019708
meriones_unguiculatus ENSMUGG00000005341
nannospalax_galili ENSNGAG00000012979
jaculus_jaculus ENSJJAG00000016384
octodon_degus ENSODEG00000017575
chinchilla_lanigera ENSCLAG00000016720
cavia_aperea ENSCAPG00000007104
cavia_porcellus ENSCPOG00000032470
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012478
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010139
fukomys_damarensis ENSFDAG00000018398
urocitellus_parryii ENSUPAG00010008596
marmota_marmota_marmota ENSMMMG00000021758
ictidomys_tridecemlineatus ENSSTOG00000009775
spermophilus_dauricus ENSSDAG00000011487
oryctolagus_cuniculus ENSOCUG00000013700
ochotona_princeps ENSOPRG00000009084
tupaia_belangeri ENSTBEG00000010197
nomascus_leucogenys ENSNLEG00000006182
pongo_abelii ENSPPYG00000003018
pan_troglodytes ENSPTRG00000003929
pan_paniscus ENSPPAG00000042820
homo_sapiens ENSG00000174080
gorilla_gorilla ENSGGOG00000016007
theropithecus_gelada ENSTGEG00000005734
mandrillus_leucophaeus ENSMLEG00000000290
macaca_fascicularis ENSMFAG00000033862
macaca_nemestrina ENSMNEG00000033337
macaca_mulatta ENSMMUG00000002496
chlorocebus_sabaeus ENSCSAG00000008339
piliocolobus_tephrosceles ENSPTEG00000030789
colobus_angolensis_palliatus ENSCANG00000030234
rhinopithecus_bieti ENSRBIG00000036533
papio_anubis ENSPANG00000009835
rhinopithecus_roxellana ENSRROG00000043989
cebus_capucinus_imitator ENSCCAG00000034376
saimiri_boliviensis_boliviensis ENSSBOG00000023016
callithrix_jacchus ENSCJAG00000001318
aotus_nancymaae ENSANAG00000034738
carlito_syrichta ENSTSYG00000037233
propithecus_coquereli ENSPCOG00000027767
microcebus_murinus ENSMICG00000003796
prolemur_simus ENSPSMG00000025884
otolemur_garnettii ENSOGAG00000002726
loxodonta_africana ENSLAFG00000015888
procavia_capensis ENSPCAG00000014676
sarcophilus_harrisii ENSSHAG00000008784
phascolarctos_cinereus ENSPCIG00000008533
