myotis_lucifugus ENSMLUG00000002616
sus_scrofa ENSSSCG00000016278
equus_asinus_asinus ENSEASG00005008714
equus_caballus ENSECAG00000000827
canis_lupus_dingo ENSCAFG00020023162
canis_lupus_familiaris ENSCAFG00000011088
vulpes_vulpes ENSVVUG00000025561
neovison_vison ENSNVIG00000003140
ailuropoda_melanoleuca ENSAMEG00000018794
erinaceus_europaeus ENSEEUG00000006620
prolemur_simus ENSPSMG00000018510
otolemur_garnettii ENSOGAG00000029946
pan_paniscus ENSPPAG00000022143
pan_troglodytes ENSPTRG00000013028
gorilla_gorilla ENSGGOG00000012003
homo_sapiens ENSG00000177673
pongo_abelii ENSPPYG00000013268
theropithecus_gelada ENSTGEG00000018757
chlorocebus_sabaeus ENSCSAG00000018787
piliocolobus_tephrosceles ENSPTEG00000039843
cricetulus_griseus_crigri-picr ENSCGRG00015010061
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010477
microtus_ochrogaster ENSMOCG00000011907
peromyscus_maniculatus_bairdii ENSPEMG00000026410
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015166
mus_spicilegus ENSMSIG00000003306
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000036574
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014364
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027601
rattus_norvegicus ENSRNOG00000018559
meriones_unguiculatus ENSMUGG00000002603
castor_canadensis ENSCCNG00000004646
oryctolagus_cuniculus ENSOCUG00000007325
loxodonta_africana ENSLAFG00000027223
dasypus_novemcinctus ENSDNOG00000018042
