oryzias_melastigma ENSOMEG00000010668
oryzias_latipes_asm223471v1 ENSORLG00020020087
stegastes_partitus ENSSPAG00000014772
amphilophus_citrinellus ENSACIG00000011023
neolamprologus_brichardi ENSNBRG00000024087
astatotilapia_calliptera ENSACLG00000009689
labrus_bergylta ENSLBEG00000003134
labrus_bergylta ENSLBEG00000012149
astatotilapia_calliptera ENSACLG00000012632
labrus_bergylta ENSLBEG00000011251
labrus_bergylta ENSLBEG00000018131
astatotilapia_calliptera ENSACLG00000012641
maylandia_zebra ENSMZEG00005014819
pundamilia_nyererei ENSPNYG00000001426
neolamprologus_brichardi ENSNBRG00000024073
amphilophus_citrinellus ENSACIG00000020226
anabas_testudineus ENSATEG00000021904
