otolemur_garnettii ENSOGAG00000007576
prolemur_simus ENSPSMG00000000356
gorilla_gorilla ENSGGOG00000021936
gorilla_gorilla ENSGGOG00000028344
homo_sapiens ENSG00000223609
pan_paniscus ENSPPAG00000029670
pan_troglodytes ENSPTRG00000003238
nomascus_leucogenys ENSNLEG00000031401
rhinopithecus_bieti ENSRBIG00000022747
rhinopithecus_roxellana ENSRROG00000029898
colobus_angolensis_palliatus ENSCANG00000038181
theropithecus_gelada ENSTGEG00000022547
papio_anubis ENSPANG00000030004
mandrillus_leucophaeus ENSMLEG00000031009
chlorocebus_sabaeus ENSCSAG00000004265
aotus_nancymaae ENSANAG00000026489
saimiri_boliviensis_boliviensis ENSSBOG00000005432
rhinopithecus_bieti ENSRBIG00000035614
rhinopithecus_roxellana ENSRROG00000036284
colobus_angolensis_palliatus ENSCANG00000038250
theropithecus_gelada ENSTGEG00000022625
papio_anubis ENSPANG00000034492
macaca_mulatta ENSMMUG00000041831
mandrillus_leucophaeus ENSMLEG00000023800
chlorocebus_sabaeus ENSCSAG00000004264
pan_troglodytes ENSPTRG00000040047
pan_paniscus ENSPPAG00000019351
homo_sapiens ENSG00000244734
gorilla_gorilla ENSGGOG00000043805
pongo_abelii ENSPPYG00000003585
nomascus_leucogenys ENSNLEG00000026827
callithrix_jacchus ENSCJAG00000020214
cebus_capucinus_imitator ENSCCAG00000032053
saimiri_boliviensis_boliviensis ENSSBOG00000029907
aotus_nancymaae ENSANAG00000002506
carlito_syrichta ENSTSYG00000002750
carlito_syrichta ENSTSYG00000008115
oryctolagus_cuniculus ENSOCUG00000000568
ailuropoda_melanoleuca ENSAMEG00000013463
mustela_putorius_furo ENSMPUG00000010152
vulpes_vulpes ENSVVUG00000015582
vulpes_vulpes ENSVVUG00000015586
tursiops_truncatus ENSTTRG00000009506
