microcebus_murinus ENSMICG00000017614
propithecus_coquereli ENSPCOG00000018132
prolemur_simus ENSPSMG00000020636
otolemur_garnettii ENSOGAG00000013801
oryctolagus_cuniculus ENSOCUG00000015212
ochotona_princeps ENSOPRG00000009725
pan_troglodytes ENSPTRG00000003365
pan_paniscus ENSPPAG00000040594
homo_sapiens ENSG00000110328
gorilla_gorilla ENSGGOG00000005614
pongo_abelii ENSPPYG00000003481
nomascus_leucogenys ENSNLEG00000017643
macaca_nemestrina ENSMNEG00000039457
macaca_mulatta ENSMMUG00000004777
mandrillus_leucophaeus ENSMLEG00000010001
chlorocebus_sabaeus ENSCSAG00000004622
macaca_fascicularis ENSMFAG00000041231
cercocebus_atys ENSCATG00000008794
theropithecus_gelada ENSTGEG00000015429
papio_anubis ENSPANG00000022855
piliocolobus_tephrosceles ENSPTEG00000008579
colobus_angolensis_palliatus ENSCANG00000034196
rhinopithecus_roxellana ENSRROG00000040757
rhinopithecus_bieti ENSRBIG00000028122
saimiri_boliviensis_boliviensis ENSSBOG00000026966
cebus_capucinus_imitator ENSCCAG00000034911
callithrix_jacchus ENSCJAG00000010607
aotus_nancymaae ENSANAG00000025486
carlito_syrichta ENSTSYG00000010023
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038296
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031446
mus_spicilegus ENSMSIG00000028271
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030331
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013543
rattus_norvegicus ENSRNOG00000017021
meriones_unguiculatus ENSMUGG00000010932
peromyscus_maniculatus_bairdii ENSPEMG00000013223
microtus_ochrogaster ENSMOCG00000000476
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017979
cricetulus_griseus_crigri-picr ENSCGRG00015006806
cricetulus_griseus_crigri_1.0 ENSCGRG00000012260
mesocricetus_auratus ENSMAUG00000011682
nannospalax_galili ENSNGAG00000024177
jaculus_jaculus ENSJJAG00000021987
cavia_porcellus ENSCPOG00000006859
cavia_aperea ENSCAPG00000005424
chinchilla_lanigera ENSCLAG00000016928
octodon_degus ENSODEG00000008436
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016517
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007786
fukomys_damarensis ENSFDAG00000001101
spermophilus_dauricus ENSSDAG00000021682
castor_canadensis ENSCCNG00000008035
ictidomys_tridecemlineatus ENSSTOG00000016193
urocitellus_parryii ENSUPAG00010016098
marmota_marmota_marmota ENSMMMG00000001161
dipodomys_ordii ENSDORG00000005508
tupaia_belangeri ENSTBEG00000003160
tursiops_truncatus ENSTTRG00000001153
sus_scrofa ENSSSCG00000013403
bos_taurus ENSBTAG00000002914
bos_mutus ENSBMUG00000009846
bison_bison_bison ENSBBBG00000011998
capra_hircus ENSCHIG00000012207
ovis_aries ENSOARG00000010050
vicugna_pacos ENSVPAG00000000254
erinaceus_europaeus ENSEEUG00000010894
sorex_araneus ENSSARG00000008291
myotis_lucifugus ENSMLUG00000007703
pteropus_vampyrus ENSPVAG00000016832
neovison_vison ENSNVIG00000010124
mustela_putorius_furo ENSMPUG00000012990
canis_lupus_familiaris ENSCAFG00000007691
canis_lupus_dingo ENSCAFG00020016314
vulpes_vulpes ENSVVUG00000025293
ursus_maritimus ENSUMAG00000016168
ursus_americanus ENSUAMG00000017387
ursus_americanus ENSUAMG00000006598
ailuropoda_melanoleuca ENSAMEG00000001150
panthera_pardus ENSPPRG00000009793
panthera_tigris_altaica ENSPTIG00000014136
felis_catus ENSFCAG00000002235
equus_caballus ENSECAG00000019364
equus_asinus_asinus ENSEASG00005005887
choloepus_hoffmanni ENSCHOG00000009684
dasypus_novemcinctus ENSDNOG00000005864
loxodonta_africana ENSLAFG00000014130
procavia_capensis ENSPCAG00000002296
echinops_telfairi ENSETEG00000016282
ornithorhynchus_anatinus ENSOANG00000029538
sarcophilus_harrisii ENSSHAG00000011606
dasypus_novemcinctus ENSDNOG00000040170
notamacropus_eugenii ENSMEUG00000004733
phascolarctos_cinereus ENSPCIG00000025287
sarcophilus_harrisii ENSSHAG00000008532
monodelphis_domestica ENSMODG00000008440
ornithorhynchus_anatinus ENSOANG00000031076
ornithorhynchus_anatinus ENSOANG00000005324
latimeria_chalumnae ENSLACG00000009591
latimeria_chalumnae ENSLACG00000005837
anolis_carolinensis ENSACAG00000010002
anolis_carolinensis ENSACAG00000008342
pogona_vitticeps ENSPVIG00000022555
notechis_scutatus ENSNSUG00000013592
salvator_merianae ENSSMRG00000015955
sphenodon_punctatus ENSSPUG00000002893
chelonoidis_abingdonii ENSCABG00000019706
gopherus_agassizii ENSGAGG00000001337
chrysemys_picta_bellii ENSCPBG00000005101
pelodiscus_sinensis ENSPSIG00000015374
pelodiscus_sinensis ENSPSIG00000006369
crocodylus_porosus ENSCPRG00005006133
calidris_pygmaea ENSCPGG00000005264
calidris_pugnax ENSCPUG00000014720
manacus_vitellinus ENSMVIG00005014047
lepidothrix_coronata ENSLCOG00000001917
taeniopygia_guttata ENSTGUG00000016192
lonchura_striata_domestica ENSLSDG00000008197
serinus_canaria ENSSCAG00000006071
zonotrichia_albicollis ENSZALG00000002662
junco_hyemalis ENSJHYG00000015712
ficedula_albicollis ENSFALG00000010702
cyanistes_caeruleus ENSCCEG00000008994
parus_major ENSPMJG00000007463
melopsittacus_undulatus ENSMUNG00000009843
anser_brachyrhynchus ENSABRG00000022452
anas_platyrhynchos_platyrhynchos ENSAPLG00000014984
gallus_gallus ENSGALG00000005584
meleagris_gallopavo ENSMGAG00000005796
coturnix_japonica ENSCJPG00005001779
numida_meleagris ENSNMEG00000009584
apteryx_owenii ENSAOWG00000001595
apteryx_rowi ENSARWG00000015418
apteryx_haastii ENSAHAG00000006616
dromaius_novaehollandiae ENSDNVG00000007709
nothoprocta_perdicaria ENSNPEG00000013540
xenopus_tropicalis ENSXETG00000032453
astyanax_mexicanus ENSAMXG00000010122
pygocentrus_nattereri ENSPNAG00000014685
ictalurus_punctatus ENSIPUG00000010222
danio_rerio ENSDARG00000059438
takifugu_rubripes ENSTRUG00000017462
tetraodon_nigroviridis ENSTNIG00000009362
cynoglossus_semilaevis ENSCSEG00000019504
mola_mola ENSMMOG00000017004
gasterosteus_aculeatus ENSGACG00000015704
labrus_bergylta ENSLBEG00000026957
xiphophorus_maculatus ENSXMAG00000003053
xiphophorus_couchianus ENSXCOG00000011287
gambusia_affinis ENSGAFG00000017119
poecilia_formosa ENSPFOG00000011944
poecilia_latipinna ENSPLAG00000019070
poecilia_mexicana ENSPMEG00000021407
poecilia_reticulata ENSPREG00000023127
cyprinodon_variegatus ENSCVAG00000018694
fundulus_heteroclitus ENSFHEG00000006731
kryptolebias_marmoratus ENSKMAG00000005711
oryzias_latipes_asm223469v1 ENSORLG00015008846
oryzias_latipes_asm223467v1 ENSORLG00000007327
oryzias_latipes_asm223471v1 ENSORLG00020010727
oryzias_melastigma ENSOMEG00000001548
amphiprion_percula ENSAPEG00000010441
amphiprion_ocellaris ENSAOCG00000013984
acanthochromis_polyacanthus ENSAPOG00000003983
stegastes_partitus ENSSPAG00000012555
astatotilapia_calliptera ENSACLG00000000530
maylandia_zebra ENSMZEG00005014713
pundamilia_nyererei ENSPNYG00000009154
haplochromis_burtoni ENSHBUG00000018110
neolamprologus_brichardi ENSNBRG00000011725
oreochromis_niloticus ENSONIG00000006002
amphilophus_citrinellus ENSACIG00000022382
monopterus_albus ENSMALG00000020551
mastacembelus_armatus ENSMAMG00000021712
anabas_testudineus ENSATEG00000005907
seriola_dumerili ENSSDUG00000023317
seriola_lalandi_dorsalis ENSSLDG00000021934
scophthalmus_maximus ENSSMAG00000021427
gambusia_affinis ENSGAFG00000017121
hippocampus_comes ENSHCOG00000002567
periophthalmus_magnuspinnatus ENSPMGG00000002062
gadus_morhua ENSGMOG00000002111
esox_lucius ENSELUG00000015733
fundulus_heteroclitus ENSFHEG00000021587
cyprinodon_variegatus ENSCVAG00000002058
xiphophorus_maculatus ENSXMAG00000015650
xiphophorus_couchianus ENSXCOG00000020686
gambusia_affinis ENSGAFG00000021926
poecilia_mexicana ENSPMEG00000016313
poecilia_latipinna ENSPLAG00000008073
poecilia_latipinna ENSPLAG00000008001
poecilia_formosa ENSPFOG00000007621
poecilia_reticulata ENSPREG00000002291
kryptolebias_marmoratus ENSKMAG00000006373
oryzias_latipes_asm223469v1 ENSORLG00015003487
oryzias_latipes_asm223467v1 ENSORLG00000025633
oryzias_melastigma ENSOMEG00000015986
astatotilapia_calliptera ENSACLG00000024512
maylandia_zebra ENSMZEG00005000508
pundamilia_nyererei ENSPNYG00000007610
haplochromis_burtoni ENSHBUG00000019040
neolamprologus_brichardi ENSNBRG00000017054
oreochromis_niloticus ENSONIG00000010691
amphilophus_citrinellus ENSACIG00000005209
mastacembelus_armatus ENSMAMG00000014015
monopterus_albus ENSMALG00000003961
anabas_testudineus ENSATEG00000008210
hippocampus_comes ENSHCOG00000016354
seriola_dumerili ENSSDUG00000003423
seriola_lalandi_dorsalis ENSSLDG00000013822
scophthalmus_maximus ENSSMAG00000017129
takifugu_rubripes ENSTRUG00000008973
tetraodon_nigroviridis ENSTNIG00000006208
mola_mola ENSMMOG00000019418
labrus_bergylta ENSLBEG00000028756
gasterosteus_aculeatus ENSGACG00000002430
periophthalmus_magnuspinnatus ENSPMGG00000020917
amphiprion_percula ENSAPEG00000009621
amphiprion_ocellaris ENSAOCG00000024692
acanthochromis_polyacanthus ENSAPOG00000005505
stegastes_partitus ENSSPAG00000005877
periophthalmus_magnuspinnatus ENSPMGG00000020923
esox_lucius ENSELUG00000014626
pygocentrus_nattereri ENSPNAG00000004228
ictalurus_punctatus ENSIPUG00000012807
danio_rerio ENSDARG00000100889
scleropages_formosus ENSSFOG00015013902
paramormyrops_kingsleyae ENSPKIG00000011070
scleropages_formosus ENSSFOG00015004745
scleropages_formosus ENSSFOG00015014470
paramormyrops_kingsleyae ENSPKIG00000022679
monopterus_albus ENSMALG00000008182
lepisosteus_oculatus ENSLOCG00000003930
eptatretus_burgeri ENSEBUG00000012709
petromyzon_marinus ENSPMAG00000004808
