peromyscus_maniculatus_bairdii ENSPEMG00000029504
meriones_unguiculatus ENSMUGG00000014445
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002407
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076471
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002253
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0002055
spermophilus_dauricus ENSSDAG00000006355
spermophilus_dauricus ENSSDAG00000006350
homo_sapiens ENSG00000211720
gorilla_gorilla ENSGGOG00000042430
pan_troglodytes ENSPTRG00000047320
piliocolobus_tephrosceles ENSPTEG00000034208
cercocebus_atys ENSCATG00000042423
chlorocebus_sabaeus ENSCSAG00000007779
theropithecus_gelada ENSTGEG00000027960
piliocolobus_tephrosceles ENSPTEG00000034049
pan_paniscus ENSPPAG00000016520
pan_troglodytes ENSPTRG00000049250
homo_sapiens ENSG00000276597
gorilla_gorilla ENSGGOG00000040535
pongo_abelii ENSPPYG00000018089
nomascus_leucogenys ENSNLEG00000029071
prolemur_simus ENSPSMG00000000004
equus_asinus_asinus ENSEASG00005009394
equus_caballus ENSECAG00000012942
sus_scrofa ENSSSCG00000032495
dasypus_novemcinctus ENSDNOG00000045141
monodelphis_domestica ENSMODG00000025465
monodelphis_domestica ENSMODG00000025462
monodelphis_domestica ENSMODG00000025464
monodelphis_domestica ENSMODG00000025463
phascolarctos_cinereus ENSPCIG00000033014
