heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016243
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008114
octodon_degus ENSODEG00000009748
cricetulus_griseus_crigri-picr ENSCGRG00015019637
ictidomys_tridecemlineatus ENSSTOG00000030759
choloepus_hoffmanni ENSCHOG00000004392
dasypus_novemcinctus ENSDNOG00000023697
notamacropus_eugenii ENSMEUG00000001542
numida_meleagris ENSNMEG00000013499
coturnix_japonica ENSCJPG00005020033
anser_brachyrhynchus ENSABRG00000006326
anas_platyrhynchos_platyrhynchos ENSAPLG00000018000
melopsittacus_undulatus ENSMUNG00000008501
lonchura_striata_domestica ENSLSDG00000009802
serinus_canaria ENSSCAG00000015752
junco_hyemalis ENSJHYG00000008059
zonotrichia_albicollis ENSZALG00000004256
lepidothrix_coronata ENSLCOG00000016427
parus_major ENSPMJG00000005209
calidris_pygmaea ENSCPGG00000012608
calidris_pugnax ENSCPUG00000003212
dromaius_novaehollandiae ENSDNVG00000015473
monopterus_albus ENSMALG00000001162
eptatretus_burgeri ENSEBUG00000008874
