ictalurus_punctatus ENSIPUG00000023798
astyanax_mexicanus ENSAMXG00000029710
danio_rerio ENSDARG00000099151
danio_rerio ENSDARG00000101411
seriola_dumerili ENSSDUG00000018179
seriola_lalandi_dorsalis ENSSLDG00000018127
scophthalmus_maximus ENSSMAG00000004211
mastacembelus_armatus ENSMAMG00000008929
anabas_testudineus ENSATEG00000010261
gasterosteus_aculeatus ENSGACG00000007131
amphiprion_ocellaris ENSAOCG00000015240
amphiprion_percula ENSAPEG00000014458
acanthochromis_polyacanthus ENSAPOG00000021695
stegastes_partitus ENSSPAG00000016401
fundulus_heteroclitus ENSFHEG00000011385
cyprinodon_variegatus ENSCVAG00000017987
xiphophorus_maculatus ENSXMAG00000008281
xiphophorus_couchianus ENSXCOG00000015876
gambusia_affinis ENSGAFG00000017399
poecilia_formosa ENSPFOG00000003568
poecilia_latipinna ENSPLAG00000014288
poecilia_mexicana ENSPMEG00000018583
poecilia_reticulata ENSPREG00000015536
kryptolebias_marmoratus ENSKMAG00000013030
oryzias_latipes_asm223467v1 ENSORLG00000014992
oryzias_latipes_asm223471v1 ENSORLG00020005556
oryzias_latipes_asm223469v1 ENSORLG00015017732
oryzias_melastigma ENSOMEG00000008020
maylandia_zebra ENSMZEG00005004838
oreochromis_niloticus ENSONIG00000008328
amphilophus_citrinellus ENSACIG00000022829
tetraodon_nigroviridis ENSTNIG00000004417
hippocampus_comes ENSHCOG00000005519
