ciona_intestinalis ENSCING00000008763
ciona_savignyi ENSCSAVG00000004399
pygocentrus_nattereri ENSPNAG00000001232
astyanax_mexicanus ENSAMXG00000004457
ictalurus_punctatus ENSIPUG00000023423
danio_rerio ENSDARG00000022614
oryzias_latipes_asm223467v1 ENSORLG00000002267
oryzias_latipes_asm223471v1 ENSORLG00020018592
oryzias_latipes_asm223469v1 ENSORLG00015004854
oryzias_melastigma ENSOMEG00000023418
hippocampus_comes ENSHCOG00000014704
tetraodon_nigroviridis ENSTNIG00000009822
takifugu_rubripes ENSTRUG00000012795
cynoglossus_semilaevis ENSCSEG00000000532
cyprinodon_variegatus ENSCVAG00000009980
gasterosteus_aculeatus ENSGACG00000012072
monopterus_albus ENSMALG00000020673
mastacembelus_armatus ENSMAMG00000022128
anabas_testudineus ENSATEG00000012664
labrus_bergylta ENSLBEG00000007913
mola_mola ENSMMOG00000007346
seriola_dumerili ENSSDUG00000020120
seriola_lalandi_dorsalis ENSSLDG00000017225
scophthalmus_maximus ENSSMAG00000019288
amphiprion_ocellaris ENSAOCG00000001331
amphiprion_percula ENSAPEG00000001133
acanthochromis_polyacanthus ENSAPOG00000001712
stegastes_partitus ENSSPAG00000006858
haplochromis_burtoni ENSHBUG00000011653
pundamilia_nyererei ENSPNYG00000009064
maylandia_zebra ENSMZEG00005027349
astatotilapia_calliptera ENSACLG00000026081
neolamprologus_brichardi ENSNBRG00000010942
oreochromis_niloticus ENSONIG00000001195
amphilophus_citrinellus ENSACIG00000012170
periophthalmus_magnuspinnatus ENSPMGG00000019854
xiphophorus_maculatus ENSXMAG00000017126
xiphophorus_couchianus ENSXCOG00000013810
gambusia_affinis ENSGAFG00000012622
poecilia_formosa ENSPFOG00000004241
poecilia_mexicana ENSPMEG00000004870
poecilia_latipinna ENSPLAG00000023362
poecilia_reticulata ENSPREG00000000923
fundulus_heteroclitus ENSFHEG00000011226
kryptolebias_marmoratus ENSKMAG00000016167
gadus_morhua ENSGMOG00000004178
esox_lucius ENSELUG00000012126
paramormyrops_kingsleyae ENSPKIG00000002941
scleropages_formosus ENSSFOG00015012193
lepisosteus_oculatus ENSLOCG00000016170
pogona_vitticeps ENSPVIG00000019808
anolis_carolinensis ENSACAG00000004387
notechis_scutatus ENSNSUG00000005425
salvator_merianae ENSSMRG00000015418
sphenodon_punctatus ENSSPUG00000018097
apteryx_owenii ENSAOWG00000015378
apteryx_haastii ENSAHAG00000017318
apteryx_rowi ENSARWG00000001530
dromaius_novaehollandiae ENSDNVG00000003824
nothoprocta_perdicaria ENSNPEG00000014207
calidris_pygmaea ENSCPGG00000012363
calidris_pugnax ENSCPUG00000017616
melopsittacus_undulatus ENSMUNG00000010672
taeniopygia_guttata ENSTGUG00000012684
lonchura_striata_domestica ENSLSDG00000012734
serinus_canaria ENSSCAG00000007663
junco_hyemalis ENSJHYG00000017620
zonotrichia_albicollis ENSZALG00000002970
ficedula_albicollis ENSFALG00000007042
cyanistes_caeruleus ENSCCEG00000020765
parus_major ENSPMJG00000008495
manacus_vitellinus ENSMVIG00005009333
lepidothrix_coronata ENSLCOG00000015775
anser_brachyrhynchus ENSABRG00000000525
anas_platyrhynchos_platyrhynchos ENSAPLG00000010182
gallus_gallus ENSGALG00000015928
coturnix_japonica ENSCJPG00005007018
meleagris_gallopavo ENSMGAG00000013832
numida_meleagris ENSNMEG00000015011
crocodylus_porosus ENSCPRG00005013243
chelonoidis_abingdonii ENSCABG00000019992
gopherus_agassizii ENSGAGG00000025230
pelodiscus_sinensis ENSPSIG00000002202
sarcophilus_harrisii ENSSHAG00000001847
monodelphis_domestica ENSMODG00000018546
phascolarctos_cinereus ENSPCIG00000017981
phascolarctos_cinereus ENSPCIG00000002492
sarcophilus_harrisii ENSSHAG00000016933
monodelphis_domestica ENSMODG00000014335
echinops_telfairi ENSETEG00000014626
echinops_telfairi ENSETEG00000019547
ornithorhynchus_anatinus ENSOANG00000010479
ornithorhynchus_anatinus ENSOANG00000006467
xenopus_tropicalis ENSXETG00000011767
latimeria_chalumnae ENSLACG00000000741
fundulus_heteroclitus ENSFHEG00000008109
eptatretus_burgeri ENSEBUG00000010146
petromyzon_marinus ENSPMAG00000006112
eptatretus_burgeri ENSEBUG00000000772
drosophila_melanogaster FBgn0037549
caenorhabditis_elegans_strain_n2 WBGene00013214
