seriola_lalandi_dorsalis ENSSLDG00000008964
periophthalmus_magnuspinnatus ENSPMGG00000013278
anabas_testudineus ENSATEG00000017783
haplochromis_burtoni ENSHBUG00000022181
maylandia_zebra ENSMZEG00005006679
pundamilia_nyererei ENSPNYG00000005246
maylandia_zebra ENSMZEG00005006751
astatotilapia_calliptera ENSACLG00000021813
maylandia_zebra ENSMZEG00005006619
pundamilia_nyererei ENSPNYG00000005115
neolamprologus_brichardi ENSNBRG00000024126
poecilia_latipinna ENSPLAG00000010516
gasterosteus_aculeatus ENSGACG00000018899
