cynoglossus_semilaevis ENSCSEG00000009328
seriola_lalandi_dorsalis ENSSLDG00000005380
periophthalmus_magnuspinnatus ENSPMGG00000020107
hippocampus_comes ENSHCOG00000010041
takifugu_rubripes ENSTRUG00000023345
xiphophorus_couchianus ENSXCOG00000017503
xiphophorus_maculatus ENSXMAG00000024278
poecilia_mexicana ENSPMEG00000023189
kryptolebias_marmoratus ENSKMAG00000008826
oryzias_melastigma ENSOMEG00000004938
oryzias_latipes_asm223467v1 ENSORLG00000027090
ornithorhynchus_anatinus ENSOANG00000031682
ciona_savignyi ENSCSAVG00000007477
