heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004308
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002241
fukomys_damarensis ENSFDAG00000011825
cavia_porcellus ENSCPOG00000036752
chinchilla_lanigera ENSCLAG00000002213
octodon_degus ENSODEG00000002809
ictidomys_tridecemlineatus ENSSTOG00000009091
urocitellus_parryii ENSUPAG00010010124
spermophilus_dauricus ENSSDAG00000005281
marmota_marmota_marmota ENSMMMG00000015721
dipodomys_ordii ENSDORG00000029964
dipodomys_ordii ENSDORG00000024829
dipodomys_ordii ENSDORG00000007770
castor_canadensis ENSCCNG00000028524
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034564
mus_spicilegus ENSMSIG00000018912
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000049047
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033400
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031940
rattus_norvegicus ENSRNOG00000025730
meriones_unguiculatus ENSMUGG00000025297
microtus_ochrogaster ENSMOCG00000017561
peromyscus_maniculatus_bairdii ENSPEMG00000029826
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007065
cricetulus_griseus_crigri_1.0 ENSCGRG00000012885
mesocricetus_auratus ENSMAUG00000012195
nannospalax_galili ENSNGAG00000009201
jaculus_jaculus ENSJJAG00000022995
oryctolagus_cuniculus ENSOCUG00000004865
ochotona_princeps ENSOPRG00000012735
tupaia_belangeri ENSTBEG00000013382
homo_sapiens ENSG00000102401
pongo_abelii ENSPPYG00000020558
cercocebus_atys ENSCATG00000036750
papio_anubis ENSPANG00000017972
macaca_mulatta ENSMMUG00000015655
theropithecus_gelada ENSTGEG00000012175
chlorocebus_sabaeus ENSCSAG00000000329
piliocolobus_tephrosceles ENSPTEG00000016916
callithrix_jacchus ENSCJAG00000039375
cebus_capucinus_imitator ENSCCAG00000019727
saimiri_boliviensis_boliviensis ENSSBOG00000020948
cebus_capucinus_imitator ENSCCAG00000030354
aotus_nancymaae ENSANAG00000026956
otolemur_garnettii ENSOGAG00000009662
myotis_lucifugus ENSMLUG00000022956
pteropus_vampyrus ENSPVAG00000003817
ursus_maritimus ENSUMAG00000001229
ursus_americanus ENSUAMG00000014595
ailuropoda_melanoleuca ENSAMEG00000008624
neovison_vison ENSNVIG00000014664
mustela_putorius_furo ENSMPUG00000019135
canis_lupus_familiaris ENSCAFG00000017704
canis_lupus_dingo ENSCAFG00020007346
vulpes_vulpes ENSVVUG00000005295
panthera_pardus ENSPPRG00000011484
panthera_tigris_altaica ENSPTIG00000004712
felis_catus ENSFCAG00000005099
tursiops_truncatus ENSTTRG00000010696
sus_scrofa ENSSSCG00000040281
bos_mutus ENSBMUG00000019239
bos_taurus ENSBTAG00000037996
bison_bison_bison ENSBBBG00000006855
ovis_aries ENSOARG00000001687
capra_hircus ENSCHIG00000003482
equus_asinus_asinus ENSEASG00005022249
equus_caballus ENSECAG00000001648
erinaceus_europaeus ENSEEUG00000013753
sorex_araneus ENSSARG00000006401
loxodonta_africana ENSLAFG00000010556
procavia_capensis ENSPCAG00000014278
dasypus_novemcinctus ENSDNOG00000044300
