urocitellus_parryii ENSUPAG00010006921
marmota_marmota_marmota ENSMMMG00000005875
spermophilus_dauricus ENSSDAG00000014920
chinchilla_lanigera ENSCLAG00000010524
castor_canadensis ENSCCNG00000027845
castor_canadensis ENSCCNG00000027843
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000068349
mus_spicilegus ENSMSIG00000018942
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020782
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019882
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019881
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000068600
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020781
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019888
rattus_norvegicus ENSRNOG00000025641
cricetulus_griseus_crigri-picr ENSCGRG00015017067
cricetulus_griseus_crigri_1.0 ENSCGRG00000000814
cricetulus_griseus_crigri-picr ENSCGRG00015017015
mesocricetus_auratus ENSMAUG00000002265
peromyscus_maniculatus_bairdii ENSPEMG00000009436
equus_caballus ENSECAG00000000445
equus_caballus ENSECAG00000028998
canis_lupus_dingo ENSCAFG00020018604
canis_lupus_dingo ENSCAFG00020018611
canis_lupus_familiaris ENSCAFG00000031361
vulpes_vulpes ENSVVUG00000022678
erinaceus_europaeus ENSEEUG00000002662
cebus_capucinus_imitator ENSCCAG00000025913
callithrix_jacchus ENSCJAG00000021469
saimiri_boliviensis_boliviensis ENSSBOG00000012474
pan_troglodytes ENSPTRG00000020642
pan_paniscus ENSPPAG00000042849
homo_sapiens ENSG00000104499
pongo_abelii ENSPPYG00000018924
nomascus_leucogenys ENSNLEG00000001366
papio_anubis ENSPANG00000013324
chlorocebus_sabaeus ENSCSAG00000009188
mandrillus_leucophaeus ENSMLEG00000039887
cercocebus_atys ENSCATG00000041734
macaca_mulatta ENSMMUG00000013627
macaca_nemestrina ENSMNEG00000040362
macaca_fascicularis ENSMFAG00000001480
theropithecus_gelada ENSTGEG00000016222
colobus_angolensis_palliatus ENSCANG00000039929
piliocolobus_tephrosceles ENSPTEG00000026988
rhinopithecus_bieti ENSRBIG00000043186
rhinopithecus_roxellana ENSRROG00000042862
propithecus_coquereli ENSPCOG00000028485
microcebus_murinus ENSMICG00000045085
oryctolagus_cuniculus ENSOCUG00000015010
ochotona_princeps ENSOPRG00000005540
tupaia_belangeri ENSTBEG00000007341
canis_lupus_familiaris ENSCAFG00000029388
canis_lupus_dingo ENSCAFG00020018609
neovison_vison ENSNVIG00000006899
ursus_maritimus ENSUMAG00000007998
ailuropoda_melanoleuca ENSAMEG00000019421
vicugna_pacos ENSVPAG00000007451
prolemur_simus ENSPSMG00000010260
sus_scrofa ENSSSCG00000031205
sus_scrofa ENSSSCG00000039313
bos_mutus ENSBMUG00000016906
bos_taurus ENSBTAG00000054483
bison_bison_bison ENSBBBG00000023340
bos_taurus ENSBTAG00000004595
capra_hircus ENSCHIG00000015469
ovis_aries ENSOARG00000000173
myotis_lucifugus ENSMLUG00000009748
panthera_tigris_altaica ENSPTIG00000014236
felis_catus ENSFCAG00000045069
choloepus_hoffmanni ENSCHOG00000002972
dasypus_novemcinctus ENSDNOG00000038867
bos_taurus ENSBTAG00000050161
ovis_aries ENSOARG00000001506
sus_scrofa ENSSSCG00000033594
tursiops_truncatus ENSTTRG00000000259
equus_caballus ENSECAG00000031771
erinaceus_europaeus ENSEEUG00000003266
canis_lupus_familiaris ENSCAFG00000029038
ochotona_princeps ENSOPRG00000002113
oryctolagus_cuniculus ENSOCUG00000021008
castor_canadensis ENSCCNG00000027847
prolemur_simus ENSPSMG00000002033
otolemur_garnettii ENSOGAG00000031540
pan_troglodytes ENSPTRG00000020637
pan_paniscus ENSPPAG00000037331
homo_sapiens ENSG00000160886
gorilla_gorilla ENSGGOG00000003816
pongo_abelii ENSPPYG00000018920
nomascus_leucogenys ENSNLEG00000029363
piliocolobus_tephrosceles ENSPTEG00000027156
colobus_angolensis_palliatus ENSCANG00000034999
macaca_mulatta ENSMMUG00000019458
macaca_nemestrina ENSMNEG00000035301
macaca_fascicularis ENSMFAG00000042906
mandrillus_leucophaeus ENSMLEG00000033901
papio_anubis ENSPANG00000019613
chlorocebus_sabaeus ENSCSAG00000009240
cercocebus_atys ENSCATG00000043689
theropithecus_gelada ENSTGEG00000016049
cebus_capucinus_imitator ENSCCAG00000026052
saimiri_boliviensis_boliviensis ENSSBOG00000021017
callithrix_jacchus ENSCJAG00000021484
dasypus_novemcinctus ENSDNOG00000040299
dasypus_novemcinctus ENSDNOG00000032957
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020779
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044678
mus_spicilegus ENSMSIG00000018961
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019887
rattus_norvegicus ENSRNOG00000025725
meriones_unguiculatus ENSMUGG00000009547
cricetulus_griseus_crigri-picr ENSCGRG00015016969
cricetulus_griseus_crigri-picr ENSCGRG00015016975
cricetulus_griseus_crigri-picr ENSCGRG00015016993
cricetulus_griseus_crigri-picr ENSCGRG00015017006
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021995
microtus_ochrogaster ENSMOCG00000015409
peromyscus_maniculatus_bairdii ENSPEMG00000017865
echinops_telfairi ENSETEG00000005209
