piliocolobus_tephrosceles ENSPTEG00000027362
rhinopithecus_bieti ENSRBIG00000034534
theropithecus_gelada ENSTGEG00000017490
theropithecus_gelada ENSTGEG00000017419
mandrillus_leucophaeus ENSMLEG00000035116
homo_sapiens ENSG00000253846
otolemur_garnettii ENSOGAG00000025963
macaca_nemestrina ENSMNEG00000031767
macaca_mulatta ENSMMUG00000041185
mandrillus_leucophaeus ENSMLEG00000000712
microtus_ochrogaster ENSMOCG00000018867
octodon_degus ENSODEG00000019952
cavia_aperea ENSCAPG00000012951
dipodomys_ordii ENSDORG00000024528
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000102222
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023104
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022195
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018928
rattus_norvegicus ENSRNOG00000027253
meriones_unguiculatus ENSMUGG00000004442
microtus_ochrogaster ENSMOCG00000001572
mesocricetus_auratus ENSMAUG00000000803
jaculus_jaculus ENSJJAG00000015213
equus_asinus_asinus ENSEASG00005018151
myotis_lucifugus ENSMLUG00000026036
bison_bison_bison ENSBBBG00000006979
bos_mutus ENSBMUG00000017417
sus_scrofa ENSSSCG00000021051
vulpes_vulpes ENSVVUG00000017531
canis_lupus_dingo ENSCAFG00020021113
ursus_americanus ENSUAMG00000000661
panthera_pardus ENSPPRG00000009677
panthera_tigris_altaica ENSPTIG00000021534
