mastacembelus_armatus ENSMAMG00000020932
monopterus_albus ENSMALG00000017125
anabas_testudineus ENSATEG00000015922
seriola_lalandi_dorsalis ENSSLDG00000016110
seriola_dumerili ENSSDUG00000002210
scophthalmus_maximus ENSSMAG00000019467
takifugu_rubripes ENSTRUG00000013079
tetraodon_nigroviridis ENSTNIG00000016754
mola_mola ENSMMOG00000014680
labrus_bergylta ENSLBEG00000007551
gasterosteus_aculeatus ENSGACG00000012903
amphiprion_ocellaris ENSAOCG00000009754
amphiprion_percula ENSAPEG00000005284
acanthochromis_polyacanthus ENSAPOG00000000419
stegastes_partitus ENSSPAG00000009447
maylandia_zebra ENSMZEG00005018711
astatotilapia_calliptera ENSACLG00000020092
haplochromis_burtoni ENSHBUG00000008924
pundamilia_nyererei ENSPNYG00000004029
oreochromis_niloticus ENSONIG00000011102
neolamprologus_brichardi ENSNBRG00000001650
amphilophus_citrinellus ENSACIG00000019655
cyprinodon_variegatus ENSCVAG00000008839
fundulus_heteroclitus ENSFHEG00000007241
poecilia_formosa ENSPFOG00000011481
poecilia_latipinna ENSPLAG00000006890
poecilia_mexicana ENSPMEG00000003545
poecilia_reticulata ENSPREG00000019246
xiphophorus_maculatus ENSXMAG00000002473
gambusia_affinis ENSGAFG00000006352
kryptolebias_marmoratus ENSKMAG00000009479
oryzias_latipes_asm223469v1 ENSORLG00015013040
oryzias_latipes_asm223467v1 ENSORLG00000014995
oryzias_latipes_asm223471v1 ENSORLG00020022311
oryzias_melastigma ENSOMEG00000018886
hippocampus_comes ENSHCOG00000003101
periophthalmus_magnuspinnatus ENSPMGG00000021219
gadus_morhua ENSGMOG00000007630
esox_lucius ENSELUG00000007647
astyanax_mexicanus ENSAMXG00000040647
astyanax_mexicanus ENSAMXG00000042485
pygocentrus_nattereri ENSPNAG00000005486
pygocentrus_nattereri ENSPNAG00000017786
ictalurus_punctatus ENSIPUG00000015901
danio_rerio ENSDARG00000075347
scleropages_formosus ENSSFOG00015016911
paramormyrops_kingsleyae ENSPKIG00000009865
lepisosteus_oculatus ENSLOCG00000002699
phascolarctos_cinereus ENSPCIG00000026999
notamacropus_eugenii ENSMEUG00000005375
monodelphis_domestica ENSMODG00000015272
sarcophilus_harrisii ENSSHAG00000002883
choloepus_hoffmanni ENSCHOG00000013783
dasypus_novemcinctus ENSDNOG00000039462
loxodonta_africana ENSLAFG00000000419
procavia_capensis ENSPCAG00000010778
echinops_telfairi ENSETEG00000020176
castor_canadensis ENSCCNG00000027439
dipodomys_ordii ENSDORG00000008352
mus_spicilegus ENSMSIG00000002729
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000014668
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028536
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027538
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024120
rattus_norvegicus ENSRNOG00000037430
meriones_unguiculatus ENSMUGG00000017453
cricetulus_griseus_crigri_1.0 ENSCGRG00000008455
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021486
cricetulus_griseus_crigri-picr ENSCGRG00015019862
mesocricetus_auratus ENSMAUG00000018146
microtus_ochrogaster ENSMOCG00000018701
peromyscus_maniculatus_bairdii ENSPEMG00000012566
nannospalax_galili ENSNGAG00000002897
jaculus_jaculus ENSJJAG00000021405
ictidomys_tridecemlineatus ENSSTOG00000020343
urocitellus_parryii ENSUPAG00010023358
marmota_marmota_marmota ENSMMMG00000004363
spermophilus_dauricus ENSSDAG00000006160
chinchilla_lanigera ENSCLAG00000010189
octodon_degus ENSODEG00000007635
cavia_porcellus ENSCPOG00000013980
cavia_aperea ENSCAPG00000012817
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015975
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005401
fukomys_damarensis ENSFDAG00000014356
